이산화탄소 (CO2),메탄 (CH4),아산화질소(N2O),sum,2020_mm
10796,43,72,10911,0.595973996350365
6199,13,53,6265,0.331033302919708
4252,9,30,4291,0.21846487226277372
5510,9,35,5554,0.2904881386861314
2638,5,19,2662,0.12557025547445255
2364,6,17,2387,0.10988822992700731
1765,3,12,1780,0.07527372262773722
458,0,2,460,0.0
17869,19,108,17996,0.9999999999999999
2179,1,13,2193,0.09882527372262773
2735,2,18,2755,0.1308736313868613
3424,2,22,3448,0.17039233576642335
2935,3,19,2957,0.14239279197080293
3903,4,27,3934,0.19810675182481752
4363,3,29,4395,0.22439552919708028
5504,5,36,5545,0.2899749087591241
2015,0,11,2026,0.08930200729927007
