,사고번호,사고일시,시군구,구,구변수,시간,시간별사고(전체),시간별사고(구)
0,2021010100100175,2021년 1월 1일 18시,대구광역시 달서구 본리동,달서구,1,18,177,47
1,2021010200100028,2021년 1월 2일 06시,대구광역시 달서구 신당동,달서구,1,6,43,9
2,2021010200100192,2021년 1월 2일 14시,대구광역시 달서구 상인동,달서구,1,14,127,34
3,2021010200100227,2021년 1월 2일 15시,대구광역시 북구 관음동,북구,4,15,152,22
4,2021010200100306,2021년 1월 2일 18시,대구광역시 달서구 이곡동,달서구,1,18,177,47
5,2021010200100374,2021년 1월 2일 20시,대구광역시 달서구 본동,달서구,1,20,133,39
6,2021010200100375,2021년 1월 2일 20시,대구광역시 북구 침산동,북구,4,20,133,12
7,2021010300100105,2021년 1월 3일 14시,대구광역시 동구 효목동,동구,3,14,127,17
8,2021010300100120,2021년 1월 3일 15시,대구광역시 서구 비산동,서구,5,15,152,12
9,2021010300100149,2021년 1월 3일 17시,대구광역시 동구 신암동,동구,3,17,145,15
10,2021010300100171,2021년 1월 3일 18시,대구광역시 달서구 신당동,달서구,1,18,177,47
11,2021010400100143,2021년 1월 4일 12시,대구광역시 수성구 범어동,수성구,6,12,104,24
12,2021010400100389,2021년 1월 4일 20시,대구광역시 남구 봉덕동,남구,0,20,133,11
13,2021010500100034,2021년 1월 5일 07시,대구광역시 달서구 죽전동,달서구,1,7,47,15
14,2021010500100223,2021년 1월 5일 15시,대구광역시 달서구 감삼동,달서구,1,15,152,28
15,2021010500100247,2021년 1월 5일 16시,대구광역시 동구 방촌동,동구,3,16,159,26
16,2021010500100451,2021년 1월 5일 23시,대구광역시 북구 태전동,북구,4,23,54,8
17,2021010600100227,2021년 1월 6일 14시,대구광역시 달서구 성당동,달서구,1,14,127,34
18,2021010600100272,2021년 1월 6일 15시,대구광역시 수성구 중동,수성구,6,15,152,26
19,2021010600100328,2021년 1월 6일 17시,대구광역시 수성구 두산동,수성구,6,17,145,28
20,2021010600100372,2021년 1월 6일 18시,대구광역시 달성군 옥포읍,달성군,2,18,177,10
21,2021010600100373,2021년 1월 6일 18시,대구광역시 중구 삼덕동1가,중구,7,18,177,20
22,2021010600100374,2021년 1월 6일 18시,대구광역시 북구 태전동,북구,4,18,177,28
23,2021010600100464,2021년 1월 6일 20시,대구광역시 동구 신천동,동구,3,20,133,17
24,2021010600100465,2021년 1월 6일 20시,대구광역시 수성구 두산동,수성구,6,20,133,25
25,2021010600100467,2021년 1월 6일 20시,대구광역시 서구 상리동,서구,5,20,133,14
26,2021010700100097,2021년 1월 7일 09시,대구광역시 남구 봉덕동,남구,0,9,92,7
27,2021010700100166,2021년 1월 7일 12시,대구광역시 수성구 범어동,수성구,6,12,104,24
28,2021010700100226,2021년 1월 7일 14시,대구광역시 달서구 신당동,달서구,1,14,127,34
29,2021010700100348,2021년 1월 7일 20시,대구광역시 서구 내당동,서구,5,20,133,14
30,2021010700100361,2021년 1월 7일 21시,대구광역시 중구 삼덕동1가,중구,7,21,118,11
31,2021010800100301,2021년 1월 8일 16시,대구광역시 동구 신암동,동구,3,16,159,26
32,2021010800100329,2021년 1월 8일 17시,대구광역시 수성구 지산동,수성구,6,17,145,28
33,2021010800100330,2021년 1월 8일 17시,대구광역시 수성구 지산동,수성구,6,17,145,28
34,2021010800100369,2021년 1월 8일 18시,대구광역시 달서구 장기동,달서구,1,18,177,47
35,2021010800100408,2021년 1월 8일 19시,대구광역시 서구 평리동,서구,5,19,142,11
36,2021010800100445,2021년 1월 8일 20시,대구광역시 남구 대명동,남구,0,20,133,11
37,2021010800100449,2021년 1월 8일 20시,대구광역시 수성구 중동,수성구,6,20,133,25
38,2021010900100281,2021년 1월 9일 16시,대구광역시 동구 신암동,동구,3,16,159,26
39,2021010900100282,2021년 1월 9일 16시,대구광역시 수성구 지산동,수성구,6,16,159,30
40,2021010900100316,2021년 1월 9일 17시,대구광역시 남구 대명동,남구,0,17,145,12
41,2021010900100320,2021년 1월 9일 17시,대구광역시 달서구 송현동,달서구,1,17,145,38
42,2021010900100453,2021년 1월 9일 21시,대구광역시 수성구 노변동,수성구,6,21,118,20
43,2021010900100475,2021년 1월 9일 22시,대구광역시 달성군 구지면,달성군,2,22,104,7
44,2021011000100260,2021년 1월 10일 18시,대구광역시 서구 평리동,서구,5,18,177,13
45,2021011000100282,2021년 1월 10일 19시,대구광역시 북구 팔달동,북구,4,19,142,28
46,2021011000100332,2021년 1월 10일 21시,대구광역시 서구 평리동,서구,5,21,118,11
47,2021011100100025,2021년 1월 11일 06시,대구광역시 남구 대명동,남구,0,6,43,2
48,2021011100100026,2021년 1월 11일 06시,대구광역시 북구 검단동,북구,4,6,43,8
49,2021011100100184,2021년 1월 11일 12시,대구광역시 수성구 만촌동,수성구,6,12,104,24
50,2021011100100432,2021년 1월 11일 19시,대구광역시 남구 봉덕동,남구,0,19,142,7
51,2021011100100435,2021년 1월 11일 19시,대구광역시 북구 복현동,북구,4,19,142,28
52,2021011100100436,2021년 1월 11일 19시,대구광역시 서구 평리동,서구,5,19,142,11
53,2021011100100512,2021년 1월 11일 21시,대구광역시 달서구 이곡동,달서구,1,21,118,42
54,2021011200100070,2021년 1월 12일 08시,대구광역시 동구 신암동,동구,3,8,81,8
55,2021011200100088,2021년 1월 12일 09시,대구광역시 중구 서야동,중구,7,9,92,4
56,2021011200100168,2021년 1월 12일 12시,대구광역시 동구 율암동,동구,3,12,104,12
57,2021011200100265,2021년 1월 12일 15시,대구광역시 수성구 지산동,수성구,6,15,152,26
58,2021011200100366,2021년 1월 12일 18시,대구광역시 북구 산격동,북구,4,18,177,28
59,2021011200100416,2021년 1월 12일 20시,대구광역시 중구 공평동,중구,7,20,133,6
60,2021011200100447,2021년 1월 12일 21시,대구광역시 중구 사일동,중구,7,21,118,11
61,2021011300100040,2021년 1월 13일 06시,대구광역시 북구 노원동3가,북구,4,6,43,8
62,2021011300100269,2021년 1월 13일 15시,대구광역시 동구 신서동,동구,3,15,152,22
63,2021011300100325,2021년 1월 13일 17시,대구광역시 달서구 신당동,달서구,1,17,145,38
64,2021011300100327,2021년 1월 13일 17시,대구광역시 북구 팔달동,북구,4,17,145,27
65,2021011300100422,2021년 1월 13일 19시,대구광역시 수성구 범어동,수성구,6,19,142,23
66,2021011400100175,2021년 1월 14일 10시,대구광역시 달성군 화원읍,달성군,2,10,91,5
67,2021011400100233,2021년 1월 14일 12시,대구광역시 동구 율하동,동구,3,12,104,12
68,2021011400100264,2021년 1월 14일 13시,대구광역시 달서구 성당동,달서구,1,13,101,26
69,2021011400100337,2021년 1월 14일 15시,대구광역시 중구 삼덕동1가,중구,7,15,152,19
70,2021011400100339,2021년 1월 14일 15시,대구광역시 달서구 두류동,달서구,1,15,152,28
71,2021011400100471,2021년 1월 14일 18시,대구광역시 북구 동천동,북구,4,18,177,28
72,2021011400100592,2021년 1월 14일 21시,대구광역시 중구 삼덕동1가,중구,7,21,118,11
73,2021011400100593,2021년 1월 14일 21시,대구광역시 중구 삼덕동1가,중구,7,21,118,11
