region,2018_mm,2019_mm,2020_mm
서울특별시,0.630028141,0.637478109,0.595973996
부산광역시,0.33565083,0.347343841,0.331033303
대구광역시,0.22733543,0.230823117,0.218464872
인천광역시,0.293108205,0.304670169,0.290488139
광주광역시,0.128290018,0.13158202,0.125570255
대전광역시,0.11532307,0.116579101,0.10988823
울산광역시,0.0793466865,0.0792177466,0.0752737226
세종특별자치시,0,0,0
경기도,1,1,1
강원도,0.101583623,0.102860479,0.0988252737
충청북도,0.130938586,0.134967893,0.130873631
충청남도,0.173977818,0.176532399,0.170392336
전라북도,0.145119461,0.149562172,0.142392792
전라남도,0.196490647,0.201342674,0.198106752
경상북도,0.22772168,0.232866316,0.224395529
경상남도,0.287976604,0.295738471,0.289974909
제주도,0.0871268554,0.0971978984,0.0893020073
