구분(1),구분(2),2018.01 ,2018.02 ,2018.03 ,2018.04 ,2018.05 ,2018.06 ,2018.07 ,2018.08 ,2018.09 ,2018.10 ,2018.11 ,2018.12 ,2019.01 ,2019.02 ,2019.03 ,2019.04 ,2019.05 ,2019.06 ,2019.07 ,2019.08 ,2019.09 ,2019.10 ,2019.11 ,2019.12 ,2020.01 ,2020.02 ,2020.03 ,2020.04 ,2020.05 ,2020.06 ,2020.07 ,2020.08 ,2020.09 ,2020.10 ,2020.11 ,2020.12 ,2021.01 ,2021.02 ,2021.03 ,2021.04 ,2021.05 ,2021.06 ,2021.07 ,2021.08 ,2021.09 ,2021.10 
총계,소계,0.018,0.024,0.031,0.037,0.039,0.04,0.026,0.029,0.029,0.023,0.016,0.016,0.019,0.025,0.036,0.036,0.05,0.042,0.032,0.032,0.026,0.025,0.019,0.017,0.02,0.025,0.033,0.042,0.041,0.045,0.031,0.023,0.032,0.028,0.021,0.02,0.022,0.029,0.034,0.043,0.042,0.044,0.033,0.032,0.032,0.027
서울특별시,서울특별시,0.014,0.018,0.026,0.031,0.034,0.035,0.024,0.03,0.027,0.018,0.011,0.012,0.012,0.018,0.028,0.029,0.043,0.039,0.031,0.03,0.024,0.021,0.013,0.011,0.014,0.018,0.027,0.036,0.034,0.044,0.031,0.019,0.028,0.022,0.015,0.014,0.015,0.022,0.025,0.037,0.036,0.041,0.038,0.034,0.031,0.022
부산광역시,부산광역시,0.021,0.027,0.034,0.039,0.039,0.038,0.026,0.025,0.031,0.028,0.02,0.019,0.023,0.029,0.039,0.037,0.048,0.038,0.028,0.03,0.028,0.029,0.023,0.018,0.023,0.027,0.034,0.044,0.041,0.04,0.028,0.026,0.035,0.033,0.023,0.022,0.025,0.031,0.036,0.043,0.041,0.041,0.028,0.034,0.036,0.031
대구광역시,대구광역시,0.017,0.023,0.03,0.038,0.041,0.043,0.03,0.026,0.025,0.02,0.012,0.013,0.017,0.024,0.036,0.036,0.048,0.044,0.03,0.03,0.025,0.022,0.017,0.014,0.018,0.023,0.03,0.04,0.04,0.045,0.027,0.023,0.028,0.026,0.017,0.017,0.02,0.025,0.032,0.043,0.04,0.045,0.031,0.031,0.029,0.024
인천광역시,인천광역시,0.017,0.022,0.027,0.032,0.034,0.034,0.021,0.031,0.029,0.022,0.016,0.016,0.017,0.023,0.033,0.033,0.046,0.041,0.032,0.037,0.026,0.024,0.017,0.015,0.02,0.023,0.032,0.041,0.039,0.044,0.034,0.021,0.032,0.028,0.02,0.019,0.018,0.026,0.03,0.04,0.042,0.044,0.041,0.036,0.032,0.026
광주광역시,광주광역시,0.02,0.026,0.033,0.036,0.039,0.041,0.022,0.027,0.029,0.024,0.015,0.018,0.021,0.028,0.036,0.036,0.048,0.039,0.029,0.031,0.027,0.025,0.021,0.019,0.022,0.027,0.033,0.043,0.041,0.04,0.028,0.021,0.029,0.028,0.021,0.018,0.021,0.028,0.036,0.045,0.047,0.048,0.033,0.03,0.035,0.031
대전광역시,대전광역시,0.016,0.023,0.032,0.039,0.045,0.046,0.028,0.031,0.027,0.018,0.011,0.011,0.013,0.016,0.028,0.03,0.045,0.038,0.028,0.029,0.025,0.02,0.016,0.013,0.015,0.019,0.029,0.038,0.037,0.048,0.03,0.022,0.032,0.025,0.017,0.015,0.016,0.027,0.029,0.04,0.04,0.043,0.031,0.033,0.033,0.024
울산광역시,울산광역시,0.023,0.03,0.033,0.036,0.035,0.033,0.028,0.023,0.031,0.027,0.021,0.021,0.025,0.03,0.039,0.037,0.047,0.038,0.028,0.029,0.027,0.029,0.023,0.02,0.025,0.028,0.035,0.043,0.041,0.039,0.028,0.026,0.034,0.034,0.024,0.025,0.026,0.034,0.037,0.042,0.041,0.04,0.027,0.032,0.033,0.032
세종특별자치시,세종특별자치시,0.015,0.022,0.032,0.04,0.043,0.046,0.029,0.031,0.027,0.019,0.011,0.012,0.014,0.02,0.034,0.036,0.051,0.044,0.031,0.031,0.025,0.021,0.016,0.013,0.016,0.021,0.032,0.042,0.044,0.05,0.032,0.023,0.032,0.024,0.019,0.016,0.018,0.03,0.034,0.045,0.042,0.047,0.034,0.033,0.031,0.024
