,사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
1339,2019010100100032,2019년 1월 1일 01시,화요일,강원도 원주시 봉산동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,23세,상해없음,보행자,남,24세,경상
1340,2019010100100120,2019년 1월 1일 09시,화요일,강원도 강릉시 주문진읍,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,주차장 - 주차장,승용,남,57세,상해없음,보행자,남,26세,경상
1341,2019010100100255,2019년 1월 1일 18시,화요일,강원도 홍천군 홍천읍,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,65세,상해없음,보행자,여,54세,경상
1342,2019010100100347,2019년 1월 1일 23시,화요일,강원도 원주시 반곡동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,이륜,남,17세,상해없음,보행자,여,20세,경상
1343,2019010200100111,2019년 1월 2일 08시,수요일,강원도 원주시 우산동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,26세,상해없음,보행자,여,63세,중상
1344,2019010200100435,2019년 1월 2일 19시,수요일,강원도 강릉시 연곡면,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,61세,상해없음,보행자,여,60세,중상
1345,2019010300100325,2019년 1월 3일 16시,목요일,강원도 원주시 단계동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,승합,남,61세,상해없음,보행자,여,19세,경상
1346,2019010400100110,2019년 1월 4일 08시,금요일,강원도 춘천시 후평동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,66세,상해없음,보행자,남,10세,경상
1347,2019010400100185,2019년 1월 4일 11시,금요일,강원도 강릉시 강동면,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,49세,상해없음,보행자,남,72세,경상
1348,2019010400100227,2019년 1월 4일 13시,금요일,강원도 동해시 천곡동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,주차장 - 주차장,화물,남,73세,상해없음,보행자,남,66세,경상
1349,2019010400100500,2019년 1월 4일 21시,금요일,강원도 원주시 단계동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,72세,상해없음,보행자,남,44세,경상
1350,2019010400100501,2019년 1월 4일 21시,금요일,강원도 동해시 발한동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,69세,상해없음,보행자,남,35세,중상
1351,2019010500100061,2019년 1월 5일 02시,토요일,강원도 평창군 봉평면,사망사고,1,0,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 기타,기타,단일로 - 기타,승용,남,20세,상해없음,보행자,남,67세,사망
1352,2019010500100328,2019년 1월 5일 16시,토요일,강원도 원주시 지정면,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,비포장 - 건조,맑음,교차로 - 교차로안,승용,남,32세,상해없음,보행자,여,82세,중상
1353,2019010500100460,2019년 1월 5일 20시,토요일,강원도 정선군 사북읍,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,55세,상해없음,보행자,남,68세,경상
1354,2019010600100149,2019년 1월 6일 12시,일요일,강원도 원주시 흥업면,중상사고,0,1,0,0,차대사람 - 기타,기타,포장 - 건조,맑음,단일로 - 기타,화물,남,38세,상해없음,보행자,여,58세,중상
1355,2019010600100343,2019년 1월 6일 21시,일요일,강원도 속초시 중앙동,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,59세,상해없음,보행자,남,46세,중상
1356,2019010700100314,2019년 1월 7일 15시,월요일,강원도 춘천시 석사동,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,24세,상해없음,보행자,여,74세,중상
1357,2019010700100315,2019년 1월 7일 15시,월요일,강원도 원주시 중앙동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,화물,남,56세,상해없음,보행자,여,70세,중상
1358,2019010700100482,2019년 1월 7일 20시,월요일,강원도 동해시 천곡동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,21세,상해없음,보행자,여,25세,경상
1359,2019010800100112,2019년 1월 8일 08시,화요일,강원도 춘천시 후평동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,60세,상해없음,보행자,남,12세,경상
1360,2019010800100176,2019년 1월 8일 10시,화요일,강원도 평창군 평창읍,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,33세,상해없음,보행자,여,90세 이상,중상
1361,2019010800100371,2019년 1월 8일 17시,화요일,강원도 태백시 황지동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,37세,상해없음,보행자,여,74세,중상
1362,2019010900100219,2019년 1월 9일 12시,수요일,강원도 홍천군 홍천읍,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,80세,상해없음,보행자,남,20세,경상
1363,2019010900100300,2019년 1월 9일 15시,수요일,강원도 원주시 인동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,승용,여,42세,상해없음,보행자,여,71세,중상
1364,2019011000100021,2019년 1월 10일 00시,목요일,강원도 강릉시 죽헌동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,43세,상해없음,보행자,남,19세,중상
1365,2019011000100132,2019년 1월 10일 09시,목요일,강원도 춘천시 교동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,31세,상해없음,보행자,여,66세,경상
1366,2019011000100203,2019년 1월 10일 12시,목요일,강원도 강릉시 교동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,54세,상해없음,보행자,여,71세,중상
1367,2019011000100204,2019년 1월 10일 12시,목요일,강원도 원주시 우산동,경상사고,0,0,1,0,차대사람 - 횡단중,기타,포장 - 건조,맑음,기타 - 기타,이륜,남,49세,상해없음,보행자,남,26세,경상
1368,2019011000100387,2019년 1월 10일 18시,목요일,강원도 횡성군 횡성읍,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,77세,상해없음,보행자,남,71세,경상
1369,2019011100100033,2019년 1월 11일 00시,금요일,강원도 춘천시 효자동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,24세,상해없음,보행자,남,22세,중상
1370,2019011100100073,2019년 1월 11일 04시,금요일,강원도 원주시 일산동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,25세,상해없음,보행자,남,41세,중상
1371,2019011100100074,2019년 1월 11일 04시,금요일,강원도 삼척시 남양동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,66세,상해없음,보행자,여,32세,경상
1372,2019011100100230,2019년 1월 11일 11시,금요일,강원도 고성군 거진읍,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,49세,기타불명,보행자,남,78세,경상
1373,2019011100100371,2019년 1월 11일 16시,금요일,강원도 강릉시 임당동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,단일로 - 기타,승용,여,30세,상해없음,보행자,남,16세,경상
1374,2019011200100302,2019년 1월 12일 14시,토요일,강원도 원주시 단구동,중상사고,0,1,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,29세,상해없음,보행자,남,42세,경상
1375,2019011200100553,2019년 1월 12일 23시,토요일,강원도 강릉시 포남동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 젖음/습기,흐림,교차로 - 교차로횡단보도내,승용,남,63세,상해없음,보행자,여,61세,중상
1376,2019011400100183,2019년 1월 14일 09시,월요일,강원도 강릉시 포남동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,승용,여,55세,상해없음,보행자,여,75세,경상
1377,2019011400100241,2019년 1월 14일 11시,월요일,강원도 삼척시 남양동,사망사고,1,0,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,21세,상해없음,보행자,남,73세,사망
1378,2019011400100395,2019년 1월 14일 17시,월요일,강원도 강릉시 내곡동,경상사고,0,0,1,0,차대사람 - 보도통행중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로안,화물,남,44세,상해없음,보행자,여,21세,경상
1379,2019011500100160,2019년 1월 15일 10시,화요일,강원도 횡성군 우천면,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,70세,상해없음,보행자,남,67세,중상
1380,2019011500100211,2019년 1월 15일 12시,화요일,강원도 춘천시 우두동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,48세,상해없음,보행자,여,54세,경상
1381,2019011500100379,2019년 1월 15일 18시,화요일,강원도 속초시 조양동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,이륜,남,25세,기타불명,보행자,여,60세,중상
1382,2019011600100044,2019년 1월 16일 02시,수요일,강원도 원주시 학성동,경상사고,0,0,1,0,차대사람 - 보도통행중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 지하차도(도로)내,승용,남,41세,상해없음,보행자,남,57세,경상
1383,2019011600100412,2019년 1월 16일 18시,수요일,강원도 강릉시 대전동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,화물,남,48세,상해없음,보행자,여,21세,중상
