,사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
0,2018010100100082,2018년 1월 1일 04시,월요일,경기도 평택시 서정동,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,46세,상해없음,보행자,여,19세,부상신고
1,2018010100100083,2018년 1월 1일 04시,월요일,경기도 안산시 상록구 본오동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,29세,상해없음,보행자,남,22세,중상
2,2018010100100122,2018년 1월 1일 07시,월요일,경기도 수원시 팔달구 남창동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 서리/결빙,맑음,단일로 - 기타,승합,남,44세,상해없음,보행자,여,30세,경상
3,2018010100100124,2018년 1월 1일 07시,월요일,경기도 김포시 장기동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,62세,상해없음,보행자,남,61세,중상
4,2018010100100168,2018년 1월 1일 10시,월요일,경기도 성남시 수정구 양지동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,64세,상해없음,보행자,남,78세,경상
5,2018010100100238,2018년 1월 1일 14시,월요일,경기도 부천시 심곡동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,25세,상해없음,보행자,여,15세,중상
6,2018010100100290,2018년 1월 1일 16시,월요일,경기도 의정부시 의정부동,경상사고,0,0,1,0,차대사람 - 횡단중,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승합,남,70세,상해없음,보행자,여,36세,경상
7,2018010100100295,2018년 1월 1일 17시,월요일,경기도 시흥시 정왕동,경상사고,0,0,1,0,차대사람 - 기타,기타,포장 - 건조,맑음,단일로 - 기타,특수,남,36세,상해없음,보행자,남,56세,경상
8,2018010100100296,2018년 1월 1일 17시,월요일,경기도 안성시 원곡면,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,남,22세,상해없음,보행자,남,71세,중상
9,2018010100100317,2018년 1월 1일 18시,월요일,경기도 안산시 단원구 고잔동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,53세,상해없음,보행자,남,63세,중상
10,2018010100100353,2018년 1월 1일 19시,월요일,경기도 오산시 오산동,중상사고,0,1,0,0,차대사람 - 기타,과속,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,20세,상해없음,보행자,남,51세,중상
11,2018010100100374,2018년 1월 1일 20시,월요일,경기도 평택시 신장동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,47세,상해없음,보행자,남,57세,중상
12,2018010100100393,2018년 1월 1일 20시,월요일,경기도 파주시 금촌동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,흐림,기타 - 기타,승용,남,47세,상해없음,보행자,남,78세,중상
13,2018010100100421,2018년 1월 1일 22시,월요일,경기도 의정부시 용현동,부상신고사고,0,0,0,1,차대사람 - 횡단중,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,50세,상해없음,보행자,남,57세,부상신고
14,2018010100100425,2018년 1월 1일 23시,월요일,경기도 안양시 동안구 호계동,경상사고,0,0,1,0,차대사람 - 기타,기타,포장 - 건조,맑음,단일로 - 기타,승합,남,55세,상해없음,보행자,여,65세,경상
15,2018010200100013,2018년 1월 2일 01시,화요일,경기도 남양주시 다산동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,43세,상해없음,보행자,남,26세,중상
16,2018010200100040,2018년 1월 2일 05시,화요일,경기도 시흥시 정왕동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,화물,남,63세,상해없음,보행자,남,51세,경상
17,2018010200100048,2018년 1월 2일 06시,화요일,경기도 수원시 장안구 정자동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,54세,기타불명,보행자,여,58세,경상
18,2018010200100057,2018년 1월 2일 06시,화요일,경기도 의정부시 신곡동,중상사고,0,1,0,0,차대사람 - 기타,기타,포장 - 건조,맑음,단일로 - 기타,승합,여,47세,상해없음,보행자,여,66세,중상
19,2018010200100080,2018년 1월 2일 08시,화요일,경기도 평택시 비전동,사망사고,1,0,0,0,차대사람 - 보도통행중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,49세,상해없음,보행자,여,64세,사망
20,2018010200100082,2018년 1월 2일 08시,화요일,경기도 안성시 공도읍,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,흐림,교차로 - 교차로횡단보도내,승용,여,27세,상해없음,보행자,여,43세,중상
21,2018010200100083,2018년 1월 2일 08시,화요일,경기도 김포시 양촌읍,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,49세,상해없음,보행자,남,18세,중상
22,2018010200100113,2018년 1월 2일 09시,화요일,경기도 화성시 반송동,중상사고,0,1,0,0,차대사람 - 보도통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,이륜,남,28세,상해없음,보행자,남,7세,중상
23,2018010200100114,2018년 1월 2일 09시,화요일,경기도 안산시 단원구 고잔동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,47세,상해없음,보행자,남,70세,중상
24,2018010200100115,2018년 1월 2일 09시,화요일,경기도 성남시 분당구 분당동,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,포장 - 건조,흐림,기타 - 기타,승용,여,41세,상해없음,보행자,남,46세,부상신고
25,2018010200100128,2018년 1월 2일 09시,화요일,경기도 남양주시 호평동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,36세,상해없음,보행자,여,36세,경상
26,2018010200100139,2018년 1월 2일 10시,화요일,경기도 수원시 장안구 정자동,경상사고,0,0,1,0,차대사람 - 횡단중,중앙선침범,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승합,남,62세,상해없음,보행자,여,41세,경상
27,2018010200100169,2018년 1월 2일 11시,화요일,경기도 광명시 광명동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,40세,상해없음,보행자,여,80세,중상
