,사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
0,2021010100100032,2021년 1월 1일 06시,금요일,경기도 성남시 분당구 서현동,경상사고,0,0,1,0,차대사람 - 보도통행중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,28세,상해없음,보행자,남,19세,경상
1,2021010100100058,2021년 1월 1일 10시,금요일,경기도 고양시 일산서구 주엽동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,34세,상해없음,보행자,남,63세,경상
2,2021010100100100,2021년 1월 1일 14시,금요일,경기도 수원시 권선구 고색동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,기타불명,기타불명,미분류,기타불명,보행자,여,9세,경상
3,2021010100100145,2021년 1월 1일 17시,금요일,경기도 부천시 상동,경상사고,0,0,1,0,차대사람 - 보도통행중,기타,포장 - 건조,맑음,기타 - 기타,자전거,남,82세,상해없음,보행자,남,38세,경상
4,2021010100100163,2021년 1월 1일 18시,금요일,경기도 용인시 기흥구 보라동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,59세,상해없음,보행자,남,25세,경상
5,2021010100100164,2021년 1월 1일 18시,금요일,경기도 부천시 중동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,59세,상해없음,보행자,여,60세,중상
6,2021010100100165,2021년 1월 1일 18시,금요일,경기도 시흥시 거모동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,39세,상해없음,보행자,남,12세,경상
7,2021010100100215,2021년 1월 1일 20시,금요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,37세,상해없음,보행자,남,20세,경상
8,2021010100100232,2021년 1월 1일 21시,금요일,경기도 안산시 단원구 원곡동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,24세,상해없음,보행자,남,27세,경상
9,2021010100100234,2021년 1월 1일 21시,금요일,경기도 수원시 권선구 오목천동,사망사고,1,0,0,0,차대사람 - 기타,과속,포장 - 건조,맑음,단일로 - 기타,승용,남,68세,상해없음,보행자,남,54세,사망
10,2021010100100235,2021년 1월 1일 21시,금요일,경기도 수원시 팔달구 매산로2가,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,43세,상해없음,보행자,남,41세,경상
11,2021010200100033,2021년 1월 2일 07시,토요일,경기도 성남시 분당구 야탑동,중상사고,0,1,0,0,차대사람 - 기타,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,31세,상해없음,보행자,남,34세,중상
12,2021010200100039,2021년 1월 2일 08시,토요일,경기도 하남시 교산동,경상사고,0,0,1,0,차대사람 - 기타,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,40세,상해없음,보행자,남,77세,경상
13,2021010200100051,2021년 1월 2일 09시,토요일,경기도 포천시 영북면,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,62세,상해없음,보행자,남,63세,중상
14,2021010200100077,2021년 1월 2일 11시,토요일,경기도 부천시 소사본동,중상사고,0,1,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,화물,남,33세,상해없음,보행자,여,65세,중상
15,2021010200100078,2021년 1월 2일 11시,토요일,경기도 성남시 중원구 은행동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,건설기계,남,38세,상해없음,보행자,남,80세,중상
16,2021010200100092,2021년 1월 2일 11시,토요일,경기도 의정부시 용현동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,56세,상해없음,보행자,남,62세,경상
17,2021010200100103,2021년 1월 2일 12시,토요일,경기도 수원시 장안구 연무동,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,66세,부상신고,보행자,남,68세,상해없음
18,2021010200100104,2021년 1월 2일 12시,토요일,경기도 이천시 창전동,중상사고,0,1,0,0,차대사람 - 기타,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,39세,기타불명,보행자,여,73세,중상
19,2021010200100106,2021년 1월 2일 12시,토요일,경기도 시흥시 정왕동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,55세,상해없음,보행자,여,49세,중상
20,2021010200100108,2021년 1월 2일 12시,토요일,경기도 시흥시 정왕동,경상사고,0,0,1,0,차대사람 - 보도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,62세,상해없음,보행자,여,33세,경상
21,2021010200100112,2021년 1월 2일 12시,토요일,경기도 안양시 만안구 안양동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,남,65세,상해없음,보행자,여,45세,경상
22,2021010200100146,2021년 1월 2일 13시,토요일,경기도 수원시 장안구 정자동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,48세,상해없음,보행자,여,33세,경상
23,2021010200100148,2021년 1월 2일 13시,토요일,경기도 이천시 창전동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,19세,상해없음,보행자,여,57세,경상
24,2021010200100238,2021년 1월 2일 16시,토요일,경기도 광주시 오포읍,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,34세,상해없음,보행자,여,70세,중상
