,사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
0,2021010200100403,2021년 1월 2일 21시,토요일,경상북도 경주시 성건동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,19세,상해없음,보행자,남,18세,경상
1,2021010300100005,2021년 1월 3일 00시,일요일,경상북도 구미시 도량동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,24세,상해없음,보행자,여,38세,중상
2,2021010300100230,2021년 1월 3일 21시,일요일,경상북도 칠곡군 왜관읍,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,29세,상해없음,보행자,남,38세,중상
3,2021010300100241,2021년 1월 3일 22시,일요일,경상북도 포항시 남구 대도동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,이륜,남,28세,상해없음,보행자,여,24세,경상
4,2021010400100141,2021년 1월 4일 12시,월요일,경상북도 상주시 남성동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,59세,상해없음,보행자,여,81세,경상
5,2021010500100326,2021년 1월 5일 18시,화요일,경상북도 영천시 문외동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,승용,남,34세,상해없음,보행자,여,64세,중상
6,2021010600100017,2021년 1월 6일 04시,수요일,경상북도 경주시 강동면,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,67세,상해없음,보행자,남,63세,경상
7,2021010600100105,2021년 1월 6일 09시,수요일,경상북도 칠곡군 왜관읍,사망사고,1,0,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,70세,상해없음,보행자,남,89세,사망
8,2021010600100193,2021년 1월 6일 13시,수요일,경상북도 울진군 울진읍,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,83세,상해없음,보행자,여,53세,중상
9,2021010600100367,2021년 1월 6일 18시,수요일,경상북도 구미시 구포동,사망사고,1,0,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,승용,여,46세,상해없음,보행자,여,87세,사망
10,2021010600100417,2021년 1월 6일 19시,수요일,경상북도 구미시 진평동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,남,69세,상해없음,보행자,여,30세,경상
11,2021010700100115,2021년 1월 7일 10시,목요일,경상북도 문경시 점촌동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,50세,상해없음,보행자,여,61세,중상
12,2021010700100137,2021년 1월 7일 11시,목요일,경상북도 고령군 성산면,사망사고,1,0,0,0,차대사람 - 기타,기타,포장 - 건조,맑음,단일로 - 기타,화물,남,67세,상해없음,보행자,여,65세,사망
13,2021010700100195,2021년 1월 7일 13시,목요일,경상북도 영주시 휴천동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,주차장 - 주차장,승용,여,56세,상해없음,보행자,여,47세,경상
14,2021010700100357,2021년 1월 7일 21시,목요일,경상북도 영주시 가흥동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,35세,기타불명,보행자,남,48세,중상
15,2021010800100091,2021년 1월 8일 10시,금요일,경상북도 경주시 동천동,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승합,남,55세,상해없음,보행자,여,61세,중상
16,2021010800100322,2021년 1월 8일 17시,금요일,경상북도 구미시 인의동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,27세,상해없음,보행자,남,23세,중상
17,2021010900100111,2021년 1월 9일 11시,토요일,경상북도 구미시 진평동,경상사고,0,0,1,0,차대사람 - 차도통행중,교차로운행방법위반,포장 - 건조,맑음,단일로 - 기타,승용,여,71세,상해없음,보행자,여,27세,경상
18,2021010900100188,2021년 1월 9일 13시,토요일,경상북도 구미시 형곡동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,승용,남,48세,상해없음,보행자,여,73세,경상
19,2021010900100254,2021년 1월 9일 15시,토요일,경상북도 포항시 남구 해도동,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,38세,상해없음,보행자,여,50세,중상
20,2021010900100312,2021년 1월 9일 17시,토요일,경상북도 경주시 성동동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,38세,상해없음,보행자,남,41세,경상
21,2021010900100352,2021년 1월 9일 18시,토요일,경상북도 영천시 야사동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,승합,남,57세,상해없음,보행자,남,22세,중상
22,2021010900100411,2021년 1월 9일 20시,토요일,경상북도 포항시 북구 두호동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,56세,상해없음,보행자,여,22세,경상
23,2021010900100444,2021년 1월 9일 21시,토요일,경상북도 경주시 동천동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,60세,상해없음,보행자,남,49세,경상
24,2021011000100003,2021년 1월 10일 00시,일요일,경상북도 포항시 남구 구룡포읍,경상사고,0,0,1,0,차대사람 - 기타,불법유턴,포장 - 건조,맑음,기타 - 기타,승용,남,34세,상해없음,보행자,여,63세,경상
25,2021011000100043,2021년 1월 10일 10시,일요일,경상북도 경주시 황성동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,55세,상해없음,보행자,남,49세,경상
26,2021011000100106,2021년 1월 10일 13시,일요일,경상북도 문경시 모전동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,24세,상해없음,보행자,여,59세,경상
27,2021011000100305,2021년 1월 10일 20시,일요일,경상북도 구미시 산동면,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,이륜,남,33세,상해없음,보행자,여,51세,중상
28,2021011200100322,2021년 1월 12일 17시,화요일,경상북도 칠곡군 왜관읍,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,64세,상해없음,보행자,남,47세,중상
29,2021011200100359,2021년 1월 12일 18시,화요일,경상북도 경산시 서상동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,남,54세,기타불명,보행자,남,56세,경상
30,2021011200100442,2021년 1월 12일 21시,화요일,경상북도 경산시 정평동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,화물,남,41세,상해없음,보행자,남,67세,중상
31,2021011300100006,2021년 1월 13일 01시,수요일,경상북도 포항시 남구 대도동,중상사고,0,2,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,69세,상해없음,보행자,여,51세,중상
32,2021011300100035,2021년 1월 13일 06시,수요일,경상북도 포항시 북구 죽도동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,47세,상해없음,보행자,남,66세,중상
33,2021011300100376,2021년 1월 13일 18시,수요일,경상북도 칠곡군 지천면,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,기타,교차로 - 교차로부근,승용,여,51세,상해없음,보행자,여,66세,경상
34,2021011400100018,2021년 1월 14일 03시,목요일,경상북도 경산시 옥산동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,66세,상해없음,보행자,남,59세,중상
35,2021011400100096,2021년 1월 14일 08시,목요일,경상북도 구미시 원평동,중상사고,0,1,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,승용,남,45세,상해없음,보행자,여,78세,중상
36,2021011400100171,2021년 1월 14일 10시,목요일,경상북도 구미시 도량동,중상사고,0,1,0,0,차대사람 - 보도통행중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,승용,남,65세,상해없음,보행자,여,56세,중상
37,2021011400100258,2021년 1월 14일 13시,목요일,경상북도 포항시 남구 대도동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,64세,상해없음,보행자,여,61세,중상
38,2021011500100058,2021년 1월 15일 07시,금요일,경상북도 포항시 북구 우현동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,화물,남,53세,상해없음,보행자,여,71세,중상
39,2021011500100436,2021년 1월 15일 18시,금요일,경상북도 김천시 평화동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,화물,남,70세,상해없음,보행자,남,61세,경상
40,2021011500100438,2021년 1월 15일 18시,금요일,경상북도 구미시 오태동,중상사고,0,1,0,0,차대사람 - 기타,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,42세,상해없음,보행자,여,9세,중상
41,2021011600100443,2021년 1월 16일 21시,토요일,경상북도 포항시 남구 대도동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,55세,상해없음,보행자,남,68세,중상
42,2021011700100081,2021년 1월 17일 12시,일요일,경상북도 안동시 광석동,사망사고,1,0,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,화물,남,29세,상해없음,보행자,여,71세,사망
43,2021011700100119,2021년 1월 17일 14시,일요일,경상북도 경주시 용강동,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,60세,상해없음,보행자,남,56세,중상
44,2021011800100013,2021년 1월 18일 05시,월요일,경상북도 구미시 상모동,경상사고,0,0,1,0,차대사람 - 기타,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,화물,남,44세,상해없음,보행자,남,49세,경상
45,2021011800100277,2021년 1월 18일 17시,월요일,경상북도 의성군 의성읍,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 젖음/습기,눈,기타 - 기타,승용,남,60세,상해없음,보행자,여,17세,경상
46,2021011800100278,2021년 1월 18일 17시,월요일,경상북도 구미시 원평동,경상사고,0,0,1,0,차대사람 - 보도통행중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,승용,여,43세,상해없음,보행자,여,26세,경상
47,2021011800100321,2021년 1월 18일 18시,월요일,경상북도 영천시 망정동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,58세,상해없음,보행자,여,65세,중상
48,2021011800100379,2021년 1월 18일 19시,월요일,경상북도 경주시 동천동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,27세,상해없음,보행자,여,16세,경상
49,2021011800100486,2021년 1월 18일 23시,월요일,경상북도 포항시 북구 두호동,경상사고,0,0,1,0,차대사람 - 기타,기타,포장 - 건조,맑음,단일로 - 기타,승용,남,56세,상해없음,보행자,남,17세,경상
50,2021011900100033,2021년 1월 19일 06시,화요일,경상북도 의성군 의성읍,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,흐림,단일로 - 기타,승용,남,76세,상해없음,보행자,남,73세,중상
51,2021011900100088,2021년 1월 19일 08시,화요일,경상북도 문경시 모전동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 서리/결빙,맑음,교차로 - 교차로안,화물,남,52세,상해없음,보행자,여,28세,경상
52,2021011900100573,2021년 1월 19일 21시,화요일,경상북도 안동시 태화동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,승용,남,54세,상해없음,보행자,남,76세,중상
53,2021012000100008,2021년 1월 20일 00시,수요일,경상북도 포항시 북구 두호동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,61세,상해없음,보행자,남,90세,중상
54,2021012000100246,2021년 1월 20일 12시,수요일,경상북도 포항시 남구 오천읍,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,20세,상해없음,보행자,남,72세,경상
55,2021012000100385,2021년 1월 20일 16시,수요일,경상북도 경산시 중방동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,30세,상해없음,보행자,여,78세,중상
56,2021012000100503,2021년 1월 20일 18시,수요일,경상북도 김천시 성내동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,기타,교차로 - 교차로횡단보도내,화물,남,46세,상해없음,보행자,남,74세,중상
57,2021012000100598,2021년 1월 20일 20시,수요일,경상북도 구미시 임은동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,53세,상해없음,보행자,남,43세,경상
58,2021012000100689,2021년 1월 20일 23시,수요일,경상북도 영주시 가흥동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 젖음/습기,맑음,단일로 - 기타,승용,여,24세,상해없음,보행자,남,36세,중상
59,2021012100100022,2021년 1월 21일 05시,목요일,경상북도 경산시 중방동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,화물,남,50세,상해없음,보행자,여,65세,경상
