,사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
0,2021010200100248,2021년 1월 2일 16시,토요일,광주광역시 북구 두암동,경상사고,0,0,1,0,차대사람 - 차도통행중,불법유턴,포장 - 젖음/습기,흐림,단일로 - 기타,기타불명,기타불명,미분류,기타불명,보행자,남,61세,경상
1,2021010400100392,2021년 1월 4일 20시,월요일,광주광역시 광산구 산월동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,여,50세,상해없음,보행자,남,46세,중상
2,2021010400100422,2021년 1월 4일 21시,월요일,광주광역시 남구 주월동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,48세,상해없음,보행자,남,58세,경상
3,2021010400100429,2021년 1월 4일 22시,월요일,광주광역시 북구 우산동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,55세,상해없음,보행자,남,46세,경상
4,2021010500100184,2021년 1월 5일 14시,화요일,광주광역시 서구 화정동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,63세,상해없음,보행자,여,32세,경상
5,2021010500100186,2021년 1월 5일 14시,화요일,광주광역시 광산구 신가동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,48세,상해없음,보행자,남,11세,경상
6,2021010500100337,2021년 1월 5일 18시,화요일,광주광역시 북구 두암동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,64세,기타불명,보행자,남,50세,경상
7,2021010600100377,2021년 1월 6일 18시,수요일,광주광역시 광산구 도산동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,흐림,기타 - 기타,승용,여,64세,상해없음,보행자,여,48세,경상
8,2021010600100580,2021년 1월 6일 23시,수요일,광주광역시 남구 주월동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 적설,눈,단일로 - 기타,승용,남,48세,상해없음,보행자,남,51세,경상
9,2021010600100582,2021년 1월 6일 23시,수요일,광주광역시 북구 일곡동,경상사고,0,0,2,0,차대사람 - 기타,안전운전불이행,포장 - 적설,눈,단일로 - 기타,승용,남,48세,상해없음,보행자,남,17세,경상
10,2021010700100202,2021년 1월 7일 13시,목요일,광주광역시 서구 농성동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 서리/결빙,눈,단일로 - 기타,승용,남,65세,상해없음,보행자,남,68세,경상
11,2021010900100023,2021년 1월 9일 06시,토요일,광주광역시 남구 송하동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,48세,상해없음,보행자,여,67세,경상
12,2021010900100196,2021년 1월 9일 13시,토요일,광주광역시 서구 광천동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 적설,맑음,단일로 - 기타,승용,남,25세,상해없음,보행자,여,43세,경상
13,2021011000100283,2021년 1월 10일 19시,일요일,광주광역시 북구 각화동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,기타불명,기타불명,미분류,기타불명,보행자,남,62세,경상
14,2021011100100158,2021년 1월 11일 11시,월요일,광주광역시 동구 광산동,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,65세,상해없음,보행자,남,41세,부상신고
15,2021011100100437,2021년 1월 11일 19시,월요일,광주광역시 서구 유촌동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,25세,상해없음,보행자,남,63세,경상
16,2021011200100396,2021년 1월 12일 19시,화요일,광주광역시 광산구 신창동,경상사고,0,0,2,0,차대사람 - 차도통행중,안전운전불이행,포장 - 서리/결빙,눈,교차로 - 교차로부근,승용,남,29세,상해없음,보행자,여,28세,경상
17,2021011200100420,2021년 1월 12일 20시,화요일,광주광역시 동구 충장로1가,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,25세,상해없음,보행자,남,18세,경상
18,2021011300100015,2021년 1월 13일 02시,수요일,광주광역시 북구 신안동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,보행자,남,71세,경상
19,2021011300100218,2021년 1월 13일 13시,수요일,광주광역시 북구 신안동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승합,남,55세,상해없음,보행자,여,54세,경상
20,2021011300100242,2021년 1월 13일 14시,수요일,광주광역시 북구 두암동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 젖음/습기,맑음,단일로 - 기타,승용,남,68세,상해없음,보행자,여,33세,경상
21,2021011300100452,2021년 1월 13일 20시,수요일,광주광역시 광산구 선암동,중상사고,0,2,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,52세,상해없음,보행자,남,50세,중상
22,2021011400100239,2021년 1월 14일 12시,목요일,광주광역시 북구 우산동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,73세,상해없음,보행자,여,77세,경상
23,2021011400100300,2021년 1월 14일 14시,목요일,광주광역시 북구 각화동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,47세,상해없음,보행자,여,69세,중상
24,2021011400100340,2021년 1월 14일 15시,목요일,광주광역시 동구 계림동,경상사고,0,0,1,0,차대사람 - 기타,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,62세,상해없음,보행자,여,73세,경상
25,2021011400100378,2021년 1월 14일 16시,목요일,광주광역시 남구 주월동,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,28세,상해없음,보행자,여,74세,중상
26,2021011400100554,2021년 1월 14일 20시,목요일,광주광역시 광산구 운남동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,남,32세,상해없음,보행자,남,61세,경상
