,사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2585,2019010100100011,2019년 1월 1일 00시,화요일,대구광역시 중구 대신동,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,51세,상해없음,보행자,여,70세,중상
2586,2019010100100012,2019년 1월 1일 00시,화요일,대구광역시 달서구 감삼동,경상사고,0,0,1,0,차대사람 - 보도통행중,기타,포장 - 건조,흐림,단일로 - 기타,승용,남,39세,상해없음,보행자,남,61세,경상
2587,2019010100100036,2019년 1월 1일 01시,화요일,대구광역시 수성구 두산동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,70세,상해없음,보행자,남,38세,경상
2588,2019010100100296,2019년 1월 1일 19시,화요일,대구광역시 북구 구암동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,74세,상해없음,보행자,남,57세,경상
2589,2019010200100094,2019년 1월 2일 07시,수요일,대구광역시 달서구 두류동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,50세,상해없음,보행자,여,52세,경상
2590,2019010200100159,2019년 1월 2일 10시,수요일,대구광역시 달성군 유가읍,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,주차장 - 주차장,특수,남,46세,상해없음,보행자,남,58세,경상
2591,2019010200100178,2019년 1월 2일 11시,수요일,대구광역시 달성군 논공읍,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,54세,상해없음,보행자,남,45세,경상
2592,2019010200100257,2019년 1월 2일 14시,수요일,대구광역시 달성군 다사읍,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,화물,남,33세,상해없음,보행자,남,76세,중상
2593,2019010200100312,2019년 1월 2일 16시,수요일,대구광역시 달서구 두류동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,이륜,남,20세,상해없음,보행자,남,76세,경상
2594,2019010300100163,2019년 1월 3일 10시,목요일,대구광역시 달서구 월성동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,이륜,남,47세,상해없음,보행자,여,12세,경상
2595,2019010300100217,2019년 1월 3일 12시,목요일,대구광역시 동구 지저동,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,58세,상해없음,보행자,남,60세,부상신고
2596,2019010300100219,2019년 1월 3일 12시,목요일,대구광역시 북구 노원동3가,중상사고,0,1,0,0,차대사람 - 횡단중,과속,포장 - 건조,맑음,단일로 - 기타,화물,남,21세,상해없음,보행자,여,75세,중상
2597,2019010300100244,2019년 1월 3일 13시,목요일,대구광역시 북구 사수동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,59세,상해없음,보행자,남,4세,경상
2598,2019010300100275,2019년 1월 3일 14시,목요일,대구광역시 달서구 월성동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,31세,상해없음,보행자,남,42세,중상
2599,2019010300100411,2019년 1월 3일 18시,목요일,대구광역시 중구 덕산동,중상사고,0,1,1,0,차대사람 - 기타,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,이륜,남,22세,상해없음,보행자,남,23세,경상
2600,2019010300100446,2019년 1월 3일 19시,목요일,대구광역시 동구 신천동,경상사고,0,0,1,0,차대사람 - 기타,기타,포장 - 건조,맑음,단일로 - 기타,자전거,남,52세,상해없음,보행자,남,53세,경상
2601,2019010400100056,2019년 1월 4일 05시,금요일,대구광역시 중구 태평로3가,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,75세,상해없음,보행자,여,30세,중상
2602,2019010400100087,2019년 1월 4일 07시,금요일,대구광역시 달서구 이곡동,사망사고,1,0,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,26세,상해없음,보행자,여,57세,사망
2603,2019010400100240,2019년 1월 4일 13시,금요일,대구광역시 달서구 신당동,중상사고,0,1,0,0,차대사람 - 보도통행중,기타,포장 - 건조,맑음,단일로 - 기타,승용,남,50세,상해없음,보행자,여,58세,중상
2604,2019010400100286,2019년 1월 4일 15시,금요일,대구광역시 북구 태전동,경상사고,0,0,1,0,차대사람 - 기타,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,승용,여,62세,상해없음,보행자,여,67세,경상
2605,2019010400100337,2019년 1월 4일 17시,금요일,대구광역시 남구 대명동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,51세,상해없음,보행자,여,75세,중상
2606,2019010400100339,2019년 1월 4일 17시,금요일,대구광역시 북구 칠성동1가,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,화물,남,58세,상해없음,보행자,여,75세,중상
2607,2019010400100389,2019년 1월 4일 18시,금요일,대구광역시 달서구 장기동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,단일로 - 기타,원동기,남,20세,상해없음,보행자,여,22세,경상
2608,2019010400100390,2019년 1월 4일 18시,금요일,대구광역시 북구 읍내동,부상신고사고,0,0,0,1,차대사람 - 보도통행중,기타,포장 - 건조,흐림,교차로 - 교차로부근,이륜,남,23세,상해없음,보행자,남,47세,부상신고
2609,2019010400100391,2019년 1월 4일 18시,금요일,대구광역시 북구 서변동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,49세,상해없음,보행자,남,16세,경상
2610,2019010400100435,2019년 1월 4일 19시,금요일,대구광역시 수성구 매호동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,34세,상해없음,보행자,남,57세,중상
2611,2019010400100507,2019년 1월 4일 21시,금요일,대구광역시 달서구 월성동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,승용,남,38세,상해없음,보행자,남,38세,경상
2612,2019010500100027,2019년 1월 5일 00시,토요일,대구광역시 중구 삼덕동1가,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,18세,상해없음,보행자,남,28세,부상신고
2613,2019010500100259,2019년 1월 5일 13시,토요일,대구광역시 달서구 진천동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,60세,상해없음,보행자,남,46세,경상
2614,2019010500100312,2019년 1월 5일 15시,토요일,대구광역시 북구 칠성동1가,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,원동기,남,36세,상해없음,보행자,남,45세,경상
2615,2019010500100340,2019년 1월 5일 16시,토요일,대구광역시 수성구 지산동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,24세,상해없음,보행자,여,55세,경상
2616,2019010500100344,2019년 1월 5일 16시,토요일,대구광역시 서구 평리동,중상사고,0,1,0,0,차대사람 - 보도통행중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,화물,남,64세,상해없음,보행자,남,55세,중상
2617,2019010500100368,2019년 1월 5일 17시,토요일,대구광역시 북구 산격동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,보행자,남,36세,경상
2618,2019010500100410,2019년 1월 5일 18시,토요일,대구광역시 동구 신암동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,61세,상해없음,보행자,여,70세,경상
2619,2019010500100484,2019년 1월 5일 21시,토요일,대구광역시 달서구 이곡동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,57세,상해없음,보행자,여,51세,경상
