,사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
1515,2019010100100168,2019년 1월 1일 12시,화요일,대전광역시 동구 가오동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,44세,상해없음,보행자,여,58세,중상
1516,2019010100100298,2019년 1월 1일 19시,화요일,대전광역시 서구 둔산동,사망사고,1,0,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,38세,상해없음,보행자,남,86세,사망
1517,2019010100100318,2019년 1월 1일 20시,화요일,대전광역시 서구 탄방동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,48세,상해없음,보행자,남,59세,중상
1518,2019010200100076,2019년 1월 2일 06시,수요일,대전광역시 대덕구 송촌동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,71세,상해없음,보행자,남,80세,중상
1519,2019010200100293,2019년 1월 2일 15시,수요일,대전광역시 동구 중동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,61세,상해없음,보행자,남,80세,중상
1520,2019010200100418,2019년 1월 2일 18시,수요일,대전광역시 서구 갈마동,중상사고,0,1,0,0,차대사람 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,67세,상해없음,보행자,남,51세,중상
1521,2019010200100447,2019년 1월 2일 19시,수요일,대전광역시 유성구 봉명동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,46세,상해없음,보행자,남,70세,경상
1522,2019010200100510,2019년 1월 2일 22시,수요일,대전광역시 동구 가양동,부상신고사고,0,0,0,1,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,31세,상해없음,보행자,남,51세,부상신고
1523,2019010300100149,2019년 1월 3일 09시,목요일,대전광역시 서구 갈마동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,39세,상해없음,보행자,여,20세,경상
1524,2019010400100075,2019년 1월 4일 06시,금요일,대전광역시 중구 문화동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,26세,기타불명,보행자,남,20세,경상
1525,2019010400100127,2019년 1월 4일 08시,금요일,대전광역시 중구 선화동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,61세,상해없음,보행자,여,15세,중상
