,사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
9978,2019010100100001,2019년 1월 1일 00시,화요일,서울특별시 강서구 방화동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,26세,상해없음,보행자,남,40세,경상
9979,2019010100100020,2019년 1월 1일 01시,화요일,서울특별시 성동구 행당동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,30세,상해없음,보행자,남,32세,경상
9980,2019010100100042,2019년 1월 1일 02시,화요일,서울특별시 강남구 논현동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,30세,상해없음,보행자,남,47세,경상
9981,2019010100100045,2019년 1월 1일 02시,화요일,서울특별시 서초구 방배동,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,보행자,남,45세,중상
9982,2019010100100061,2019년 1월 1일 04시,화요일,서울특별시 서초구 서초동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,특수,남,50세,상해없음,보행자,남,35세,경상
9983,2019010100100072,2019년 1월 1일 05시,화요일,서울특별시 중랑구 망우동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,단일로 - 기타,승용,남,67세,상해없음,보행자,남,75세,경상
9984,2019010100100085,2019년 1월 1일 06시,화요일,서울특별시 노원구 공릉동,경상사고,0,0,1,0,차대사람 - 기타,기타,포장 - 건조,맑음,단일로 - 기타,승용,남,52세,상해없음,보행자,남,63세,경상
9985,2019010100100170,2019년 1월 1일 13시,화요일,서울특별시 서대문구 북아현동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,이륜,남,22세,상해없음,보행자,여,63세,경상
9986,2019010100100233,2019년 1월 1일 17시,화요일,서울특별시 종로구 공평동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,남,45세,상해없음,보행자,남,75세,중상
9987,2019010100100235,2019년 1월 1일 17시,화요일,서울특별시 마포구 동교동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,기타 - 기타,승용,남,30세,상해없음,보행자,여,8세,경상
9988,2019010100100248,2019년 1월 1일 18시,화요일,서울특별시 성북구 하월곡동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,36세,상해없음,보행자,여,66세,중상
9989,2019010100100250,2019년 1월 1일 18시,화요일,서울특별시 노원구 공릉동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,40세,상해없음,보행자,남,74세,경상
9990,2019010100100274,2019년 1월 1일 19시,화요일,서울특별시 중랑구 상봉동,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,기타,포장 - 건조,맑음,교차로 - 교차로부근,기타불명,기타불명,미분류,기타불명,보행자,여,48세,중상
9991,2019010100100275,2019년 1월 1일 19시,화요일,서울특별시 강남구 삼성동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,기타,기타 - 기타,승용,남,26세,상해없음,보행자,여,37세,중상
9992,2019010100100276,2019년 1월 1일 19시,화요일,서울특별시 강서구 방화동,중상사고,0,1,1,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,단일로 - 기타,승용,여,64세,상해없음,보행자,여,17세,중상
9993,2019010100100278,2019년 1월 1일 19시,화요일,서울특별시 노원구 상계동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,기타불명,기타불명,미분류,기타불명,보행자,남,58세,경상
9994,2019010100100301,2019년 1월 1일 20시,화요일,서울특별시 마포구 도화동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,60세,상해없음,보행자,남,44세,경상
9995,2019010100100303,2019년 1월 1일 20시,화요일,서울특별시 구로구 오류동,부상신고사고,0,0,0,1,차대사람 - 기타,기타,포장 - 건조,맑음,기타 - 기타,이륜,여,42세,상해없음,보행자,남,30세,부상신고
9996,2019010100100320,2019년 1월 1일 21시,화요일,서울특별시 은평구 진관동,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,여,55세,상해없음,보행자,남,65세,중상
