,사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
115,2019010100100213,2019년 1월 1일 15시,화요일,세종특별자치시 세종특별자치시 가람동,경상사고,0,0,1,0,차대사람 - 횡단중,중앙선침범,포장 - 건조,맑음,단일로 - 기타,화물,남,31세,상해없음,보행자,여,22세,경상
116,2019010500100111,2019년 1월 5일 06시,토요일,세종특별자치시 세종특별자치시 반곡동,경상사고,0,0,1,0,차대사람 - 기타,기타,포장 - 건조,맑음,기타 - 기타,화물,남,64세,상해없음,보행자,남,20세,경상
117,2019010600100279,2019년 1월 6일 18시,일요일,세종특별자치시 세종특별자치시 한솔동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,이륜,남,37세,상해없음,보행자,여,18세,중상
118,2019011000100449,2019년 1월 10일 19시,목요일,세종특별자치시 세종특별자치시 조치원읍,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,42세,상해없음,보행자,여,41세,경상
119,2019012300100464,2019년 1월 23일 19시,수요일,세종특별자치시 세종특별자치시 금남면,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,44세,상해없음,보행자,남,63세,경상
120,2019020100100331,2019년 2월 1일 14시,금요일,세종특별자치시 세종특별자치시 조치원읍,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,보행자,여,57세,경상
121,2019020100100332,2019년 2월 1일 14시,금요일,세종특별자치시 세종특별자치시 조치원읍,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,보행자,여,57세,경상
122,2019020100100431,2019년 2월 1일 16시,금요일,세종특별자치시 세종특별자치시 도담동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,흐림,기타 - 기타,승용,남,34세,기타불명,보행자,남,55세,경상
123,2019020900100200,2019년 2월 9일 12시,토요일,세종특별자치시 세종특별자치시 전의면,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,63세,상해없음,보행자,여,65세,경상
124,2019021200100416,2019년 2월 12일 18시,화요일,세종특별자치시 세종특별자치시 소담동,경상사고,0,0,1,0,차대사람 - 횡단중,기타,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,50세,상해없음,보행자,남,7세,경상
125,2019021300100359,2019년 2월 13일 16시,수요일,세종특별자치시 세종특별자치시 조치원읍,경상사고,0,0,1,0,차대사람 - 보도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,40세,상해없음,보행자,남,19세,경상
126,2019021500100174,2019년 2월 15일 08시,금요일,세종특별자치시 세종특별자치시 소담동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,26세,상해없음,보행자,여,71세,중상
127,2019021600100121,2019년 2월 16일 08시,토요일,세종특별자치시 세종특별자치시 부강면,경상사고,0,0,2,0,차대사람 - 기타,안전운전불이행,포장 - 서리/결빙,눈,단일로 - 기타,승용,남,40세,상해없음,보행자,여,44세,경상
128,2019021800100136,2019년 2월 18일 08시,월요일,세종특별자치시 세종특별자치시 조치원읍,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,50세,상해없음,보행자,여,66세,경상
129,2019021800100380,2019년 2월 18일 17시,월요일,세종특별자치시 세종특별자치시 보람동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,51세,상해없음,보행자,여,11세,중상
130,2019022200100347,2019년 2월 22일 15시,금요일,세종특별자치시 세종특별자치시 고운동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,여,38세,상해없음,보행자,여,50세,중상
131,2019022200100375,2019년 2월 22일 16시,금요일,세종특별자치시 세종특별자치시 종촌동,경상사고,0,0,1,0,차대사람 - 보도통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,기타불명,기타불명,미분류,기타불명,보행자,여,7세,경상
132,2019022300100206,2019년 2월 23일 10시,토요일,세종특별자치시 세종특별자치시 조치원읍,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,기타 - 기타,승용,남,42세,상해없음,보행자,여,64세,중상
133,2019022500100180,2019년 2월 25일 10시,월요일,세종특별자치시 세종특별자치시 조치원읍,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,49세,상해없음,보행자,여,46세,경상
134,2019022600100027,2019년 2월 26일 00시,화요일,세종특별자치시 세종특별자치시 부강면,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,20세,상해없음,보행자,남,74세,중상
135,2019030400100031,2019년 3월 4일 01시,월요일,세종특별자치시 세종특별자치시 조치원읍,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,23세,상해없음,보행자,남,24세,중상
136,2019030500100408,2019년 3월 5일 18시,화요일,세종특별자치시 세종특별자치시 종촌동,경상사고,0,0,2,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로부근,이륜,남,19세,경상,보행자,남,20세,경상
137,2019030700100377,2019년 3월 7일 16시,목요일,세종특별자치시 세종특별자치시 도담동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,미분류 - 미분류,승용,남,32세,상해없음,보행자,여,67세,중상
138,2019030700100415,2019년 3월 7일 17시,목요일,세종특별자치시 세종특별자치시 아름동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,41세,상해없음,보행자,남,9세,중상
139,2019030800100608,2019년 3월 8일 19시,금요일,세종특별자치시 세종특별자치시 조치원읍,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,44세,상해없음,보행자,여,49세,경상
140,2019031300100029,2019년 3월 13일 00시,수요일,세종특별자치시 세종특별자치시 조치원읍,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,55세,상해없음,보행자,남,18세,경상
141,2019031300100449,2019년 3월 13일 17시,수요일,세종특별자치시 세종특별자치시 전의면,중상사고,0,1,0,0,차대사람 - 보도통행중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,승용,남,27세,상해없음,보행자,여,74세,중상
142,2019031300100625,2019년 3월 13일 22시,수요일,세종특별자치시 세종특별자치시 조치원읍,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,단일로 - 기타,승용,남,27세,상해없음,보행자,남,16세,중상
143,2019031400100244,2019년 3월 14일 11시,목요일,세종특별자치시 세종특별자치시 연서면,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,여,69세,상해없음,보행자,여,61세,경상
144,2019031700100474,2019년 3월 17일 21시,일요일,세종특별자치시 세종특별자치시 도담동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,59세,상해없음,보행자,여,41세,경상
145,2019031800100232,2019년 3월 18일 11시,월요일,세종특별자치시 세종특별자치시 조치원읍,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,47세,상해없음,보행자,남,21세,경상
146,2019032000100637,2019년 3월 20일 21시,수요일,세종특별자치시 세종특별자치시 어진동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 젖음/습기,비,교차로 - 교차로횡단보도내,승용,남,46세,상해없음,보행자,여,48세,중상
147,2019032000100701,2019년 3월 20일 22시,수요일,세종특별자치시 세종특별자치시 조치원읍,중상사고,0,1,0,0,차대사람 - 횡단중,과속,포장 - 젖음/습기,비,단일로 - 기타,승용,여,65세,상해없음,보행자,남,40세,중상
