,사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
0,2021010100100155,2021년 1월 1일 17시,금요일,울산광역시 중구 태화동,경상사고,0,0,1,0,차대사람 - 보도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,9세,상해없음,보행자,여,23세,경상
1,2021010200100137,2021년 1월 2일 12시,토요일,울산광역시 중구 남외동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,51세,상해없음,보행자,여,47세,경상
2,2021010200100198,2021년 1월 2일 14시,토요일,울산광역시 동구 방어동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,이륜,남,42세,상해없음,보행자,남,9세,경상
3,2021010500100023,2021년 1월 5일 06시,화요일,울산광역시 중구 태화동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,건설기계,남,69세,상해없음,보행자,여,67세,경상
4,2021010500100097,2021년 1월 5일 10시,화요일,울산광역시 남구 삼산동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,22세,상해없음,보행자,남,79세,중상
5,2021010500100372,2021년 1월 5일 19시,화요일,울산광역시 남구 달동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,53세,상해없음,보행자,남,45세,경상
6,2021010600100279,2021년 1월 6일 15시,수요일,울산광역시 남구 선암동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,54세,상해없음,보행자,남,54세,경상
7,2021010600100426,2021년 1월 6일 19시,수요일,울산광역시 중구 반구동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로안,원동기,남,24세,상해없음,보행자,남,71세,중상
8,2021010700100332,2021년 1월 7일 19시,목요일,울산광역시 중구 남외동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,화물,남,62세,상해없음,보행자,여,56세,경상
9,2021010800100066,2021년 1월 8일 08시,금요일,울산광역시 울주군 서생면,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,보행자,남,60세,중상
10,2021010800100268,2021년 1월 8일 15시,금요일,울산광역시 남구 무거동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,37세,상해없음,보행자,여,45세,경상
11,2021010800100304,2021년 1월 8일 16시,금요일,울산광역시 중구 복산동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,69세,상해없음,보행자,여,62세,중상
12,2021010900100088,2021년 1월 9일 10시,토요일,울산광역시 중구 태화동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,47세,상해없음,보행자,여,48세,경상
13,2021010900100361,2021년 1월 9일 18시,토요일,울산광역시 동구 방어동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,27세,상해없음,보행자,남,48세,경상
14,2021011100100188,2021년 1월 11일 12시,월요일,울산광역시 남구 무거동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,27세,상해없음,보행자,여,73세,경상
15,2021011100100292,2021년 1월 11일 15시,월요일,울산광역시 중구 학성동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,23세,상해없음,보행자,여,79세,중상
16,2021011100100440,2021년 1월 11일 19시,월요일,울산광역시 북구 중산동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,화물,남,64세,상해없음,보행자,남,17세,중상
17,2021011100100520,2021년 1월 11일 21시,월요일,울산광역시 남구 달동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,여,42세,상해없음,보행자,남,24세,경상
18,2021011100100540,2021년 1월 11일 22시,월요일,울산광역시 남구 달동,경상사고,0,0,1,0,차대사람 - 기타,기타,포장 - 건조,맑음,단일로 - 기타,승합,남,58세,상해없음,보행자,여,29세,경상
19,2021011200100241,2021년 1월 12일 14시,화요일,울산광역시 북구 명촌동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,22세,상해없음,보행자,여,51세,경상
20,2021011200100375,2021년 1월 12일 18시,화요일,울산광역시 중구 유곡동,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,52세,상해없음,보행자,여,14세,중상
21,2021011300100393,2021년 1월 13일 18시,수요일,울산광역시 중구 반구동,경상사고,0,0,1,1,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,39세,부상신고,보행자,남,59세,경상
22,2021011300100488,2021년 1월 13일 21시,수요일,울산광역시 북구 화봉동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,47세,상해없음,보행자,남,32세,경상
