,사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
1842,2019010100100013,2019년 1월 1일 00시,화요일,인천광역시 부평구 부평동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,기타불명,기타불명,미분류,기타불명,보행자,남,27세,경상
1843,2019010100100116,2019년 1월 1일 08시,화요일,인천광역시 서구 석남동,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,46세,상해없음,보행자,여,67세,중상
1844,2019010100100328,2019년 1월 1일 21시,화요일,인천광역시 서구 가정동,중상사고,0,1,0,0,차대사람 - 보도통행중,기타,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,30세,상해없음,보행자,남,50세,중상
1845,2019010200100073,2019년 1월 2일 06시,수요일,인천광역시 중구 운서동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 고가도로위,승용,남,57세,상해없음,보행자,남,35세,경상
1846,2019010200100160,2019년 1월 2일 10시,수요일,인천광역시 연수구 연수동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,40세,상해없음,보행자,여,49세,중상
1847,2019010200100260,2019년 1월 2일 14시,수요일,인천광역시 계양구 계산동,경상사고,0,0,1,0,차대사람 - 기타,기타,포장 - 건조,맑음,단일로 - 기타,승합,남,57세,상해없음,보행자,여,67세,경상
1848,2019010200100414,2019년 1월 2일 18시,수요일,인천광역시 서구 가좌동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,53세,상해없음,보행자,여,49세,중상
1849,2019010200100415,2019년 1월 2일 18시,수요일,인천광역시 계양구 병방동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,35세,상해없음,보행자,남,35세,경상
1850,2019010300100308,2019년 1월 3일 15시,목요일,인천광역시 강화군 강화읍,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,39세,상해없음,보행자,여,85세,중상
1851,2019010300100309,2019년 1월 3일 15시,목요일,인천광역시 부평구 갈산동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,58세,상해없음,보행자,여,14세,경상
1852,2019010300100359,2019년 1월 3일 17시,목요일,인천광역시 계양구 계산동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,화물,여,56세,상해없음,보행자,남,45세,중상
1853,2019010300100415,2019년 1월 3일 18시,목요일,인천광역시 계양구 박촌동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,18세,상해없음,보행자,여,47세,경상
1854,2019010400100033,2019년 1월 4일 01시,금요일,인천광역시 남동구 간석동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,39세,상해없음,보행자,남,55세,경상
1855,2019010400100057,2019년 1월 4일 05시,금요일,인천광역시 남동구 간석동,경상사고,0,0,1,0,차대사람 - 보도통행중,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,화물,남,40세,상해없음,보행자,남,74세,경상
1856,2019010400100263,2019년 1월 4일 14시,금요일,인천광역시 계양구 효성동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,52세,상해없음,보행자,남,75세,경상
1857,2019010400100437,2019년 1월 4일 19시,금요일,인천광역시 부평구 산곡동,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,흐림,교차로 - 교차로안,승용,남,52세,상해없음,보행자,남,48세,중상
1858,2019010400100477,2019년 1월 4일 20시,금요일,인천광역시 중구 신흥동1가,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,여,42세,상해없음,보행자,남,57세,경상
1859,2019010400100509,2019년 1월 4일 21시,금요일,인천광역시 남동구 구월동,중상사고,0,1,0,0,차대사람 - 기타,기타,포장 - 건조,흐림,단일로 - 기타,승합,남,47세,상해없음,보행자,여,61세,중상
1860,2019010400100526,2019년 1월 4일 22시,금요일,인천광역시 중구 중산동,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,42세,상해없음,보행자,남,44세,중상
1861,2019010500100115,2019년 1월 5일 06시,토요일,인천광역시 남동구 고잔동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,62세,상해없음,보행자,남,63세,중상
1862,2019010500100142,2019년 1월 5일 08시,토요일,인천광역시 부평구 부개동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,62세,상해없음,보행자,여,33세,경상
1863,2019010500100195,2019년 1월 5일 11시,토요일,인천광역시 미추홀구 주안동,중상사고,0,1,0,0,차대사람 - 기타,신호위반,포장 - 건조,맑음,단일로 - 기타,특수,남,31세,상해없음,보행자,여,80세,중상
1864,2019010500100372,2019년 1월 5일 17시,토요일,인천광역시 미추홀구 도화동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,64세,상해없음,보행자,여,11세,경상
1865,2019010500100514,2019년 1월 5일 23시,토요일,인천광역시 남동구 간석동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,57세,상해없음,보행자,남,48세,경상
1866,2019010600100068,2019년 1월 6일 05시,일요일,인천광역시 남동구 만수동,사망사고,1,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,60세,상해없음,보행자,여,83세,사망
1867,2019010600100332,2019년 1월 6일 20시,일요일,인천광역시 연수구 동춘동,사망사고,1,0,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,51세,상해없음,보행자,남,85세,사망
1868,2019010600100333,2019년 1월 6일 20시,일요일,인천광역시 부평구 부개동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,70세,상해없음,보행자,여,48세,경상
1869,2019010700100073,2019년 1월 7일 06시,월요일,인천광역시 미추홀구 숭의동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,46세,상해없음,보행자,남,50세,경상
1870,2019010700100074,2019년 1월 7일 06시,월요일,인천광역시 남동구 구월동,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,기타불명,기타불명,미분류,기타불명,보행자,남,40세,부상신고
1871,2019010700100160,2019년 1월 7일 09시,월요일,인천광역시 중구 운서동,경상사고,0,0,3,0,차대사람 - 보도통행중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,44세,상해없음,보행자,남,39세,경상
1872,2019010700100161,2019년 1월 7일 09시,월요일,인천광역시 강화군 강화읍,중상사고,0,1,0,0,차대사람 - 보도통행중,기타,포장 - 건조,맑음,단일로 - 기타,화물,남,26세,상해없음,보행자,남,84세,중상
1873,2019010700100293,2019년 1월 7일 14시,월요일,인천광역시 남동구 구월동,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,보행자,여,55세,부상신고
1874,2019010700100417,2019년 1월 7일 18시,월요일,인천광역시 남동구 논현동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,57세,상해없음,보행자,남,39세,중상
1875,2019010700100456,2019년 1월 7일 19시,월요일,인천광역시 서구 가좌동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,단일로 - 기타,승용,남,55세,상해없음,보행자,남,44세,경상
1876,2019010700100542,2019년 1월 7일 23시,월요일,인천광역시 미추홀구 용현동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,23세,상해없음,보행자,여,81세,경상
1877,2019010700100543,2019년 1월 7일 23시,월요일,인천광역시 서구 마전동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,단일로 - 기타,승용,남,42세,상해없음,보행자,남,25세,중상
1878,2019010800100100,2019년 1월 8일 07시,화요일,인천광역시 연수구 선학동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,73세,상해없음,보행자,남,26세,경상
1879,2019010800100216,2019년 1월 8일 11시,화요일,인천광역시 부평구 십정동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,기타불명,기타불명,미분류,기타불명,보행자,여,14세,경상
1880,2019010800100381,2019년 1월 8일 17시,화요일,인천광역시 부평구 일신동,경상사고,0,0,2,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,58세,상해없음,보행자,여,38세,경상
1881,2019010900100248,2019년 1월 9일 13시,수요일,인천광역시 부평구 부평동,경상사고,0,0,1,0,차대사람 - 보도통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,35세,상해없음,보행자,남,11세,경상
1882,2019010900100277,2019년 1월 9일 14시,수요일,인천광역시 미추홀구 도화동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,49세,상해없음,보행자,여,57세,경상
1883,2019010900100432,2019년 1월 9일 18시,수요일,인천광역시 미추홀구 주안동,경상사고,0,0,1,0,차대사람 - 기타,기타,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,25세,상해없음,보행자,여,57세,경상
1884,2019010900100433,2019년 1월 9일 18시,수요일,인천광역시 남동구 간석동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,52세,상해없음,보행자,남,60세,경상
1885,2019010900100540,2019년 1월 9일 22시,수요일,인천광역시 서구 마전동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,44세,상해없음,보행자,남,30세,경상
1886,2019011000100138,2019년 1월 10일 09시,목요일,인천광역시 계양구 계산동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,31세,상해없음,보행자,여,8세,경상
1887,2019011000100189,2019년 1월 10일 11시,목요일,인천광역시 남동구 구월동,부상신고사고,0,0,0,1,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,61세,상해없음,보행자,여,60세,부상신고
1888,2019011100100135,2019년 1월 11일 07시,금요일,인천광역시 부평구 청천동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,59세,상해없음,보행자,남,60세,중상
1889,2019011100100155,2019년 1월 11일 08시,금요일,인천광역시 서구 신현동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,46세,상해없음,보행자,남,26세,경상
1890,2019011100100207,2019년 1월 11일 10시,금요일,인천광역시 남동구 구월동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,57세,상해없음,보행자,여,76세,중상
1891,2019011100100272,2019년 1월 11일 12시,금요일,인천광역시 남동구 구월동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,32세,상해없음,보행자,여,87세,중상
1892,2019011100100352,2019년 1월 11일 15시,금요일,인천광역시 부평구 부개동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,승용,남,64세,상해없음,보행자,남,10세,경상
