,사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
3440,2020010100100006,2020년 1월 1일 00시,수요일,전라남도 화순군 화순읍,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,40세,상해없음,보행자,여,19세,경상
3441,2020010100100007,2020년 1월 1일 00시,수요일,전라남도 영암군 덕진면,경상사고,0,0,2,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,21세,경상,보행자,여,78세,경상
3442,2020010100100144,2020년 1월 1일 11시,수요일,전라남도 목포시 용당동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,36세,상해없음,보행자,남,79세,중상
3443,2020010100100145,2020년 1월 1일 11시,수요일,전라남도 장흥군 장흥읍,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,55세,상해없음,보행자,남,51세,경상
3444,2020010100100247,2020년 1월 1일 17시,수요일,전라남도 순천시 해룡면,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,35세,상해없음,보행자,여,80세,중상
3445,2020010200100026,2020년 1월 2일 04시,목요일,전라남도 목포시 산정동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,55세,상해없음,보행자,여,80세,중상
3446,2020010200100046,2020년 1월 2일 06시,목요일,전라남도 보성군 보성읍,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,34세,상해없음,보행자,남,78세,중상
3447,2020010200100173,2020년 1월 2일 11시,목요일,전라남도 보성군 벌교읍,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,69세,상해없음,보행자,여,62세,경상
3448,2020010200100201,2020년 1월 2일 12시,목요일,전라남도 영광군 염산면,경상사고,0,0,1,0,차대사람 - 보도통행중,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,남,73세,상해없음,보행자,남,73세,경상
3449,2020010200100230,2020년 1월 2일 13시,목요일,전라남도 여수시 웅천동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,주차장 - 주차장,승용,남,55세,상해없음,보행자,남,59세,경상
3450,2020010200100290,2020년 1월 2일 15시,목요일,전라남도 여수시 충무동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,보행자,여,67세,경상
3451,2020010200100328,2020년 1월 2일 16시,목요일,전라남도 여수시 화장동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,흐림,단일로 - 기타,승용,남,56세,상해없음,보행자,남,28세,중상
3452,2020010200100360,2020년 1월 2일 17시,목요일,전라남도 강진군 강진읍,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,여,42세,상해없음,보행자,남,67세,중상
3453,2020010300100036,2020년 1월 3일 03시,금요일,전라남도 영광군 법성면,사망사고,1,0,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,48세,상해없음,보행자,남,50세,사망
3454,2020010300100056,2020년 1월 3일 06시,금요일,전라남도 목포시 광동1가,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,83세,상해없음,보행자,남,58세,중상
3455,2020010300100095,2020년 1월 3일 08시,금요일,전라남도 목포시 석현동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,화물,남,60세,상해없음,보행자,여,73세,경상
3456,2020010300100099,2020년 1월 3일 08시,금요일,전라남도 광양시 진상면,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,59세,상해없음,보행자,여,65세,중상
3457,2020010300100249,2020년 1월 3일 13시,금요일,전라남도 여수시 봉산동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,승용,남,69세,상해없음,보행자,여,62세,경상
3458,2020010300100444,2020년 1월 3일 18시,금요일,전라남도 목포시 옥암동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 젖음/습기,흐림,교차로 - 교차로횡단보도내,승용,여,50세,상해없음,보행자,여,62세,중상
3459,2020010400100097,2020년 1월 4일 07시,토요일,전라남도 강진군 칠량면,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,72세,상해없음,보행자,여,73세,중상
