,사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
0,2021010100100038,2021년 1월 1일 07시,금요일,제주특별자치도 제주시 구좌읍,중상사고,0,2,0,0,차대사람 - 기타,안전운전불이행,비포장 - 적설,눈,단일로 - 기타,승용,여,26세,상해없음,보행자,여,22세,중상
1,2021010100100173,2021년 1월 1일 18시,금요일,제주특별자치도 서귀포시 서귀동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,53세,상해없음,보행자,남,62세,경상
2,2021010200100036,2021년 1월 2일 07시,토요일,제주특별자치도 서귀포시 동홍동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 젖음/습기,흐림,단일로 - 기타,승용,남,46세,상해없음,보행자,여,84세,중상
3,2021010200100224,2021년 1월 2일 15시,토요일,제주특별자치도 제주시 연동,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,29세,상해없음,보행자,남,48세,중상
4,2021010400100362,2021년 1월 4일 19시,월요일,제주특별자치도 제주시 연동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,24세,상해없음,보행자,남,43세,경상
5,2021010500100332,2021년 1월 5일 18시,화요일,제주특별자치도 서귀포시 안덕면,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,23세,상해없음,보행자,여,62세,경상
6,2021010600100579,2021년 1월 6일 23시,수요일,제주특별자치도 제주시 노형동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 젖음/습기,흐림,단일로 - 기타,승용,남,21세,상해없음,보행자,남,16세,중상
7,2021010700100164,2021년 1월 7일 12시,목요일,제주특별자치도 제주시 이도이동,경상사고,0,0,2,0,차대사람 - 횡단중,신호위반,포장 - 서리/결빙,눈,교차로 - 교차로횡단보도내,승용,남,52세,상해없음,보행자,여,23세,경상
8,2021011000100281,2021년 1월 10일 19시,일요일,제주특별자치도 서귀포시 표선면,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 서리/결빙,눈,교차로 - 교차로안,화물,남,47세,상해없음,보행자,남,57세,경상
9,2021011000100309,2021년 1월 10일 20시,일요일,제주특별자치도 제주시 연동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 젖음/습기,맑음,교차로 - 교차로횡단보도내,승용,남,37세,상해없음,보행자,남,32세,경상
10,2021011100100392,2021년 1월 11일 18시,월요일,제주특별자치도 서귀포시 대정읍,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 젖음/습기,비,교차로 - 교차로안,화물,남,53세,상해없음,보행자,남,64세,중상
11,2021011200100391,2021년 1월 12일 19시,화요일,제주특별자치도 서귀포시 남원읍,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,39세,상해없음,보행자,남,80세,중상
12,2021011300100300,2021년 1월 13일 16시,수요일,제주특별자치도 서귀포시 동홍동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,화물,남,61세,상해없음,보행자,남,80세,경상
13,2021011300100382,2021년 1월 13일 18시,수요일,제주특별자치도 제주시 아라이동,중상사고,0,1,0,0,차대사람 - 보도통행중,기타,포장 - 건조,흐림,단일로 - 기타,승용,여,47세,상해없음,보행자,여,41세,중상
14,2021011300100420,2021년 1월 13일 19시,수요일,제주특별자치도 제주시 이도이동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,47세,상해없음,보행자,남,45세,경상
15,2021011300100483,2021년 1월 13일 21시,수요일,제주특별자치도 제주시 노형동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,여,34세,기타불명,보행자,여,30세,경상
16,2021011400100335,2021년 1월 14일 15시,목요일,제주특별자치도 제주시 아라일동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,63세,상해없음,보행자,여,7세,중상
17,2021011500100368,2021년 1월 15일 17시,금요일,제주특별자치도 서귀포시 동홍동,경상사고,0,0,1,0,차대사람 - 기타,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,승용,남,53세,상해없음,보행자,여,8세,경상
18,2021011500100581,2021년 1월 15일 21시,금요일,제주특별자치도 서귀포시 색달동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,기타,단일로 - 기타,승용,남,26세,상해없음,보행자,남,26세,경상
19,2021011700100266,2021년 1월 17일 20시,일요일,제주특별자치도 제주시 일도이동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승합,남,45세,상해없음,보행자,남,52세,중상
20,2021012000100435,2021년 1월 20일 17시,수요일,제주특별자치도 제주시 애월읍,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,39세,상해없음,보행자,남,21세,중상
21,2021012000100511,2021년 1월 20일 18시,수요일,제주특별자치도 제주시 아라일동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,45세,기타불명,보행자,남,42세,경상
22,2021012000100512,2021년 1월 20일 18시,수요일,제주특별자치도 제주시 일도이동,경상사고,0,0,1,0,차대사람 - 기타,기타,포장 - 건조,맑음,기타 - 기타,사륜오토바이(ATV),남,35세,상해없음,보행자,남,22세,경상
23,2021012100100024,2021년 1월 21일 05시,목요일,제주특별자치도 제주시 이도일동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,단일로 - 기타,승용,남,73세,상해없음,보행자,여,63세,중상
24,2021012100100221,2021년 1월 21일 12시,목요일,제주특별자치도 제주시 이도이동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,35세,상해없음,보행자,남,27세,경상
25,2021012100100367,2021년 1월 21일 17시,목요일,제주특별자치도 제주시 한경면,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,흐림,단일로 - 기타,승용,여,33세,상해없음,보행자,여,76세,경상
26,2021012300100367,2021년 1월 23일 18시,토요일,제주특별자치도 제주시 화북일동,경상사고,0,0,1,0,차대사람 - 차도통행중,보행자보호의무위반,포장 - 젖음/습기,비,단일로 - 기타,이륜,남,48세,상해없음,보행자,남,52세,경상
27,2021012500100210,2021년 1월 25일 12시,월요일,제주특별자치도 제주시 이도이동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,화물,남,65세,상해없음,보행자,남,63세,중상
28,2021012500100319,2021년 1월 25일 15시,월요일,제주특별자치도 서귀포시 중문동,경상사고,0,0,1,0,차대사람 - 기타,기타,포장 - 건조,맑음,교차로 - 교차로안,승합,남,51세,상해없음,보행자,여,7세,경상
29,2021012500100548,2021년 1월 25일 21시,월요일,제주특별자치도 제주시 이도이동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,원동기,남,20세,상해없음,보행자,여,32세,경상
30,2021012600100548,2021년 1월 26일 22시,화요일,제주특별자치도 제주시 일도이동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,40세,상해없음,보행자,남,56세,경상
