,사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2758,2020010100100068,2020년 1월 1일 05시,수요일,충청북도 청주시 상당구 용암동,경상사고,0,0,1,0,차대사람 - 횡단중,중앙선침범,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,54세,상해없음,보행자,남,18세,경상
2759,2020010100100209,2020년 1월 1일 15시,수요일,충청북도 청주시 흥덕구 봉명동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,26세,상해없음,보행자,여,34세,중상
2760,2020010100100244,2020년 1월 1일 17시,수요일,충청북도 청주시 흥덕구 복대동,경상사고,0,0,2,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,50세,상해없음,보행자,남,13세,경상
2761,2020010100100245,2020년 1월 1일 17시,수요일,충청북도 청주시 서원구 분평동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,승용,남,27세,상해없음,보행자,남,9세,경상
2762,2020010100100320,2020년 1월 1일 20시,수요일,충청북도 청주시 서원구 미평동,중상사고,0,1,0,0,차대사람 - 기타,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,50세,상해없음,보행자,남,39세,중상
2763,2020010200100043,2020년 1월 2일 06시,목요일,충청북도 청주시 상당구 대성동,경상사고,0,0,1,0,차대사람 - 보도통행중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,61세,상해없음,보행자,여,80세,경상
2764,2020010200100323,2020년 1월 2일 16시,목요일,충청북도 청주시 흥덕구 복대동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,남,58세,상해없음,보행자,여,66세,경상
2765,2020010200100404,2020년 1월 2일 18시,목요일,충청북도 충주시 호암동,경상사고,0,0,2,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,56세,경상,보행자,남,10세,경상
2766,2020010200100405,2020년 1월 2일 18시,목요일,충청북도 음성군 감곡면,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 지하차도(도로)내,승용,남,55세,상해없음,보행자,남,49세,중상
2767,2020010200100478,2020년 1월 2일 20시,목요일,충청북도 청주시 서원구 산남동,경상사고,0,0,2,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,45세,상해없음,보행자,여,21세,경상
2768,2020010300100044,2020년 1월 3일 05시,금요일,충청북도 청주시 흥덕구 복대동,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,53세,상해없음,보행자,남,17세,부상신고
2769,2020010300100052,2020년 1월 3일 06시,금요일,충청북도 괴산군 장연면,사망사고,1,0,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,58세,상해없음,보행자,여,83세,사망
2770,2020010300100358,2020년 1월 3일 16시,금요일,충청북도 청주시 흥덕구 오송읍,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,59세,상해없음,보행자,남,38세,경상
2771,2020010300100360,2020년 1월 3일 16시,금요일,충청북도 청주시 상당구 남주동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,37세,상해없음,보행자,남,63세,경상
2772,2020010300100487,2020년 1월 3일 19시,금요일,충청북도 청주시 청원구 내수읍,중상사고,0,2,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,20세,중상,보행자,여,56세,중상
2773,2020010300100488,2020년 1월 3일 19시,금요일,충청북도 단양군 단양읍,경상사고,0,0,1,0,차대사람 - 횡단중,기타,포장 - 건조,맑음,기타 - 기타,승합,남,60세,상해없음,보행자,남,53세,경상
2774,2020010400100083,2020년 1월 4일 06시,토요일,충청북도 청주시 상당구 석교동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 지하차도(도로)내,화물,남,42세,상해없음,보행자,남,65세,중상
