구분(1),구분(2),2018.01 ,2018.02 ,2018.03 ,2018.04 ,2018.05 ,2018.06 ,2018.07 ,2018.08 ,2018.09 ,2018.10 ,2018.11 ,2018.12 ,2019.01 ,2019.02 ,2019.03 ,2019.04 ,2019.05 ,2019.06 ,2019.07 ,2019.08 ,2019.09 ,2019.10 ,2019.11 ,2019.12 ,2020.01 ,2020.02 ,2020.03 ,2020.04 ,2020.05 ,2020.06 ,2020.07 ,2020.08 ,2020.09 ,2020.10 ,2020.11 ,2020.12 ,2021.01 ,2021.02 ,2021.03 ,2021.04 ,2021.05 ,2021.06 ,2021.07 ,2021.08 ,2021.09 ,2021.10 
총계,소계,32,30,31,25,22,24,17,12,13,17,32,25,35,34,39,20,25,20,17,17,13,15,20,26,26,25,21,18,18,19,12,14,12,17,21,24,20,25,27,17,19,19,12,11,8,14
서울특별시,서울특별시,32,30,34,26,23,24,16,10,14,15,28,24,38,35,45,21,29,20,19,16,12,15,20,28,29,28,25,21,19,21,13,14,11,17,24,27,21,29,32,19,20,19,15,13,7,13
부산광역시,부산광역시,28,30,26,28,24,25,23,14,14,17,26,23,29,28,30,20,25,21,18,19,13,13,17,23,21,22,16,17,17,15,10,19,13,15,17,21,19,21,21,15,16,15,9,10,8,12
대구광역시,대구광역시,30,28,26,24,21,22,18,12,12,17,31,26,33,33,33,19,23,20,16,16,13,14,21,29,26,26,20,18,20,20,14,16,15,18,23,24,21,24,23,17,18,20,10,11,9,15
인천광역시,인천광역시,29,27,32,24,21,22,16,12,15,16,29,24,33,31,41,20,26,17,19,18,14,16,19,25,27,23,21,16,15,17,14*,14,10,15,21,24,20,28,33,19,20,23,19,13,8,14
광주광역시,광주광역시,28,31,32,25,21,27,15,14,13,20,36,26,33,34,39,20,22,25,17,17,15,18,20,22,27,21,18,17,18,18,9,14,13,17,20,24,22,25,27,18,20,18,10,10,8,15
대전광역시,대전광역시,30,28,27,23,19,19,14,11,11,17,34,27,34,36,39,16,22,18,14,15,12,15,21,25,25,23,20,17,16,19,9,10,12,18,20,20,18,21,23,15,18,18,9,11*,8,15
울산광역시,울산광역시,25,27,23,26,24,29,27,16,14,19,29,19,26,26,29,19,26,22,19,18,13,11,15,20,19,19,17,17,19,19,12,17,14,15,17,19,17,21,20,16,17,17,10,11,8,12
세종특별자치시,세종특별자치시,28,26,26,23,21,22,15,10,13,14,29,31,41,41,47,19,25,20,14,16,12,17,26,32,31,28,23,18,14,16,9,11,10,20,25,28,25,27,27,16,16,16,9,9,7,15
경기도,도평균,37,33,37,27,23,24,14,11,13,19,36,28,41,38,47,21,28,19,18,16,13,17,23,31,31,29,26,20,19,21,13,13,11,19,25,29,22,31,33,19,21,21,15,13,8,15
강원도,도평균,33,29,30,27,23,21,17,12,13,15*,26,23,33,31,38,18,23,17,15,14,10,13,19,25,24,25,21,19,15,18,9,11,10,15,20,24*,18,22,20,15,15,14,10,10,6,10
충청북도,도평균,40,33,34,28,25,25,19,13,13,22,41,33,45,45,47,23,27,25,16,17,14,19,28,33,33,30,26,21,19,20,10,11,11,21,25,29,24,28,27,18,20,19,10,11,8,18
충청남도,도평균,30,27,28*,21,19,21,12,10,13,15,35,25,37,35,43,22,28,22,17,17,14,20,24,29,32,30,26,20,19,19,13,13,13,20,25,27,25,32,34,20,22,20,13,13,9,16
전라북도,도평균,33,31,33,27,22,28,14,14,13,20,39,29,40,40,44,23,25,24,16,16,15,19,23,25,30,25,22,19,20,24,13,15,14,19,22,23,22,26,30,19,21,22,12,11,9,16
전라남도,도평균,24,27,26,22,20,23,16,12,13,15,27,21,25,29,29,17,21,20,13,16,12,13,17,18,21,19,15,15,15,14,9,16,13,14,15,17,17,19,20,14,16,15,10,10,9,13
경상북도,도평균,33,31,29,28,23,23,20,14,13,20,33,26,33,32,32,16,20,17,15,15,12,13,19,24,22,22,18,17,16,16,10,14,12,16,21,23,19,22,21,16,17,18,12,11,9,14
경상남도,도평균,24,25,23,23,20,23,19,12,12,16,25,20,24,25,26,17,20,20,15,16,12,12,16,20,19,20,16,15,16,16,11,16,13,14,17,19,17,19,19,15,15,16,12*,11*,9,13
제주특별자치도,도평균,19,22,24,24,20,21,16,13,13,16,23,16,22,23,29,19,19,19,16,18,12,15,15,16,19,21,15,18,19,14,10,15,13,16,13,14,14,17,23,14,16,13,8,7,8,11
