,사고번호,사고일시,시군구,구,lat,long
0,2021010100100175,2021년 1월 1일 18시,대구광역시 달서구 본리동,달서구,35.8400384,128.530592
1,2021010200100028,2021년 1월 2일 06시,대구광역시 달서구 신당동,달서구,35.8532393,128.4917736
2,2021010200100192,2021년 1월 2일 14시,대구광역시 달서구 상인동,달서구,35.8109973,128.5403241
3,2021010200100227,2021년 1월 2일 15시,대구광역시 북구 관음동,북구,35.9334635,128.5463304
4,2021010200100306,2021년 1월 2일 18시,대구광역시 달서구 이곡동,달서구,35.8571675,128.5140209
5,2021010200100374,2021년 1월 2일 20시,대구광역시 달서구 본동,달서구,35.8360755,128.5330472
6,2021010200100375,2021년 1월 2일 20시,대구광역시 북구 침산동,북구,35.8828198,128.5933853
7,2021010300100105,2021년 1월 3일 14시,대구광역시 동구 효목동,동구,35.8725963,128.6366566
8,2021010300100120,2021년 1월 3일 15시,대구광역시 서구 비산동,서구,35.8883181,128.5634396
9,2021010300100149,2021년 1월 3일 17시,대구광역시 동구 신암동,동구,35.8786037,128.6107176
10,2021010300100171,2021년 1월 3일 18시,대구광역시 달서구 신당동,달서구,35.8570898,128.4992795
11,2021010400100143,2021년 1월 4일 12시,대구광역시 수성구 범어동,수성구,35.859641,128.637762
12,2021010400100389,2021년 1월 4일 20시,대구광역시 남구 봉덕동,남구,35.8599484,128.5746566
13,2021010500100034,2021년 1월 5일 07시,대구광역시 달서구 죽전동,달서구,35.850088,128.5344181
14,2021010500100223,2021년 1월 5일 15시,대구광역시 달서구 감삼동,달서구,35.8472127,128.542333
15,2021010500100247,2021년 1월 5일 16시,대구광역시 동구 방촌동,동구,35.880599,128.6702981
16,2021010500100451,2021년 1월 5일 23시,대구광역시 북구 태전동,북구,35.9253581,128.5454047
17,2021010600100227,2021년 1월 6일 14시,대구광역시 달서구 성당동,달서구,35.8509155,128.5732908
18,2021010600100272,2021년 1월 6일 15시,대구광역시 수성구 중동,수성구,35.8480502,128.6113061
19,2021010600100328,2021년 1월 6일 17시,대구광역시 수성구 두산동,수성구,35.8376167,128.6157343
20,2021010600100372,2021년 1월 6일 18시,대구광역시 달성군 옥포읍,달성군,35.7924817,128.4663059
21,2021010600100373,2021년 1월 6일 18시,대구광역시 중구 삼덕동1가,중구,35.8672288,128.5987449
22,2021010600100374,2021년 1월 6일 18시,대구광역시 북구 태전동,북구,35.9249212,128.5421829
23,2021010600100464,2021년 1월 6일 20시,대구광역시 동구 신천동,동구,35.8751848,128.6171988
24,2021010600100465,2021년 1월 6일 20시,대구광역시 수성구 두산동,수성구,35.8285584,128.617914
25,2021010600100467,2021년 1월 6일 20시,대구광역시 서구 상리동,서구,35.881404,128.5320122
26,2021010700100097,2021년 1월 7일 09시,대구광역시 남구 봉덕동,남구,35.8586059,128.5776122
27,2021010700100166,2021년 1월 7일 12시,대구광역시 수성구 범어동,수성구,35.8586181,128.6213153
28,2021010700100226,2021년 1월 7일 14시,대구광역시 달서구 신당동,달서구,35.8551308,128.4963268
29,2021010700100348,2021년 1월 7일 20시,대구광역시 서구 내당동,서구,35.8553501,128.5503225
30,2021010700100361,2021년 1월 7일 21시,대구광역시 중구 삼덕동1가,중구,35.866099,128.5986668
31,2021010800100301,2021년 1월 8일 16시,대구광역시 동구 신암동,동구,35.8798785,128.6119864
32,2021010800100329,2021년 1월 8일 17시,대구광역시 수성구 지산동,수성구,35.8247365,128.6412903
33,2021010800100330,2021년 1월 8일 17시,대구광역시 수성구 지산동,수성구,35.8261602,128.6272864
34,2021010800100369,2021년 1월 8일 18시,대구광역시 달서구 장기동,달서구,35.8448927,128.523808
35,2021010800100408,2021년 1월 8일 19시,대구광역시 서구 평리동,서구,35.8763027,128.5576587
36,2021010800100445,2021년 1월 8일 20시,대구광역시 남구 대명동,남구,35.8582341,128.5784834
37,2021010800100449,2021년 1월 8일 20시,대구광역시 수성구 중동,수성구,35.8446107,128.6167268
38,2021010900100281,2021년 1월 9일 16시,대구광역시 동구 신암동,동구,35.8875819,128.6338913
39,2021010900100282,2021년 1월 9일 16시,대구광역시 수성구 지산동,수성구,35.8206326,128.6341468
40,2021010900100316,2021년 1월 9일 17시,대구광역시 남구 대명동,남구,35.8564222,128.5825404
41,2021010900100320,2021년 1월 9일 17시,대구광역시 달서구 송현동,달서구,35.8292088,128.5473659
42,2021010900100453,2021년 1월 9일 21시,대구광역시 수성구 노변동,수성구,35.8415834,128.7021449
43,2021010900100475,2021년 1월 9일 22시,대구광역시 달성군 구지면,달성군,35.6573873,128.421618
44,2021011000100260,2021년 1월 10일 18시,대구광역시 서구 평리동,서구,35.8719386,128.5655295
45,2021011000100282,2021년 1월 10일 19시,대구광역시 북구 팔달동,북구,35.8939216,128.5321936
46,2021011000100332,2021년 1월 10일 21시,대구광역시 서구 평리동,서구,35.8664292,128.5601631
47,2021011100100025,2021년 1월 11일 06시,대구광역시 남구 대명동,남구,35.8562887,128.5828243
48,2021011100100026,2021년 1월 11일 06시,대구광역시 북구 검단동,북구,35.9107714,128.6252723
49,2021011100100184,2021년 1월 11일 12시,대구광역시 수성구 만촌동,수성구,35.8756064,128.6483975
50,2021011100100432,2021년 1월 11일 19시,대구광역시 남구 봉덕동,남구,35.8563017,128.5829009
51,2021011100100435,2021년 1월 11일 19시,대구광역시 북구 복현동,북구,35.8949375,128.622077
52,2021011100100436,2021년 1월 11일 19시,대구광역시 서구 평리동,서구,35.868642,128.5560983
53,2021011100100512,2021년 1월 11일 21시,대구광역시 달서구 이곡동,달서구,35.8577765,128.5088545
54,2021011200100070,2021년 1월 12일 08시,대구광역시 동구 신암동,동구,35.8812954,128.6190654
55,2021011200100088,2021년 1월 12일 09시,대구광역시 중구 서야동,중구,35.8736817,128.5852288
56,2021011200100168,2021년 1월 12일 12시,대구광역시 동구 율암동,동구,35.8768372,128.7049035
57,2021011200100265,2021년 1월 12일 15시,대구광역시 수성구 지산동,수성구,35.820813,128.6329542
58,2021011200100366,2021년 1월 12일 18시,대구광역시 북구 산격동,북구,35.9124276,128.6052618
59,2021011200100416,2021년 1월 12일 20시,대구광역시 중구 공평동,중구,35.8686121,128.5980072
60,2021011200100447,2021년 1월 12일 21시,대구광역시 중구 사일동,중구,35.8697948,128.593837
61,2021011300100040,2021년 1월 13일 06시,대구광역시 북구 노원동3가,북구,35.8915806,128.5657584
62,2021011300100269,2021년 1월 13일 15시,대구광역시 동구 신서동,동구,35.8660718,128.7248562
63,2021011300100325,2021년 1월 13일 17시,대구광역시 달서구 신당동,달서구,35.8548572,128.4984809
64,2021011300100327,2021년 1월 13일 17시,대구광역시 북구 팔달동,북구,35.8981946,128.5443202
65,2021011300100422,2021년 1월 13일 19시,대구광역시 수성구 범어동,수성구,35.8634493,128.6196915
66,2021011400100175,2021년 1월 14일 10시,대구광역시 달성군 화원읍,달성군,35.8079207,128.4879286
67,2021011400100233,2021년 1월 14일 12시,대구광역시 동구 율하동,동구,35.8698168,128.7022147
68,2021011400100264,2021년 1월 14일 13시,대구광역시 달서구 성당동,달서구,35.8493407,128.5697919
69,2021011400100337,2021년 1월 14일 15시,대구광역시 중구 삼덕동1가,중구,35.8665095,128.5975162
70,2021011400100339,2021년 1월 14일 15시,대구광역시 달서구 두류동,달서구,35.8561183,128.5536455
71,2021011400100471,2021년 1월 14일 18시,대구광역시 북구 동천동,북구,35.9431972,128.5608486
72,2021011400100592,2021년 1월 14일 21시,대구광역시 중구 삼덕동1가,중구,35.8701516,128.5995962
73,2021011400100593,2021년 1월 14일 21시,대구광역시 중구 삼덕동1가,중구,35.866919,128.598925
74,2021011500100037,2021년 1월 15일 06시,대구광역시 서구 비산동,서구,35.8892986,128.5456524
75,2021011500100109,2021년 1월 15일 09시,대구광역시 수성구 상동,수성구,35.8290913,128.6107698
76,2021011500100188,2021년 1월 15일 12시,대구광역시 수성구 범어동,수성구,35.8529571,128.6241943
77,2021011500100190,2021년 1월 15일 12시,대구광역시 달서구 송현동,달서구,35.8237141,128.5456175
78,2021011500100298,2021년 1월 15일 15시,대구광역시 서구 평리동,서구,35.8713755,128.5592084
79,2021011500100369,2021년 1월 15일 17시,대구광역시 달서구 감삼동,달서구,35.8524434,128.5455013
80,2021011500100440,2021년 1월 15일 18시,대구광역시 동구 신천동,동구,35.8720798,128.6218154
81,2021011500100442,2021년 1월 15일 18시,대구광역시 수성구 수성동1가,수성구,35.8597342,128.6132069
82,2021011500100443,2021년 1월 15일 18시,대구광역시 북구 산격동,북구,35.8933,128.5977307
83,2021011500100444,2021년 1월 15일 18시,대구광역시 달서구 성당동,달서구,35.8452707,128.5446009
84,2021011500100619,2021년 1월 15일 23시,대구광역시 달성군 가창면,달성군,35.8042648,128.6227799
85,2021011600100056,2021년 1월 16일 08시,대구광역시 수성구 지산동,수성구,35.8351905,128.6289431
86,2021011600100163,2021년 1월 16일 13시,대구광역시 달서구 상인동,달서구,35.8155859,128.5466702
87,2021011600100200,2021년 1월 16일 14시,대구광역시 달서구 진천동,달서구,35.8127727,128.527736
88,2021011600100231,2021년 1월 16일 15시,대구광역시 수성구 범어동,수성구,35.8550486,128.638061
89,2021011600100444,2021년 1월 16일 21시,대구광역시 중구 삼덕동1가,중구,35.8661783,128.5986951
90,2021011700100127,2021년 1월 17일 14시,대구광역시 달서구 송현동,달서구,35.8338536,128.5487363
91,2021011800100020,2021년 1월 18일 06시,대구광역시 북구 매천동,북구,35.9042028,128.542432
92,2021011800100156,2021년 1월 18일 12시,대구광역시 동구 신천동,동구,35.8731759,128.6278834
93,2021011800100178,2021년 1월 18일 13시,대구광역시 동구 율하동,동구,35.8660427,128.7014066
94,2021011800100222,2021년 1월 18일 15시,대구광역시 동구 검사동,동구,35.8870071,128.6483297
95,2021011800100326,2021년 1월 18일 18시,대구광역시 남구 대명동,남구,35.8562735,128.5828864
96,2021011800100446,2021년 1월 18일 21시,대구광역시 달성군 현풍읍,달성군,35.691315,128.4557257
97,2021011800100450,2021년 1월 18일 21시,대구광역시 달서구 본리동,달서구,35.8381849,128.535924
98,2021011900100188,2021년 1월 19일 11시,대구광역시 수성구 두산동,수성구,35.8392121,128.622503
99,2021011900100317,2021년 1월 19일 15시,대구광역시 달서구 상인동,달서구,35.8125641,128.5443512
100,2021011900100393,2021년 1월 19일 17시,대구광역시 달서구 죽전동,달서구,35.8543651,128.5344871
101,2021011900100443,2021년 1월 19일 18시,대구광역시 북구 침산동,북구,35.9015931,128.5791643
102,2021011900100535,2021년 1월 19일 20시,대구광역시 달성군 화원읍,달성군,35.7997562,128.4958002
103,2021012000100290,2021년 1월 20일 13시,대구광역시 달서구 두류동,달서구,35.8566588,128.5545841
104,2021012000100349,2021년 1월 20일 15시,대구광역시 수성구 지산동,수성구,35.8283069,128.6279649
105,2021012100100151,2021년 1월 21일 10시,대구광역시 수성구 지산동,수성구,35.8228589,128.6270999
106,2021012100100188,2021년 1월 21일 11시,대구광역시 동구 불로동,동구,35.9104755,128.6410544
107,2021012100100299,2021년 1월 21일 15시,대구광역시 남구 대명동,남구,35.8560148,128.5829298
108,2021012100100303,2021년 1월 21일 15시,대구광역시 북구 침산동,북구,35.8845796,128.600525
109,2021012100100484,2021년 1월 21일 19시,대구광역시 달서구 상인동,달서구,35.8105256,128.546352
110,2021012100100486,2021년 1월 21일 19시,대구광역시 서구 평리동,서구,35.8705856,128.5583134
111,2021012100100524,2021년 1월 21일 20시,대구광역시 달성군 가창면,달성군,35.8035849,128.6220668
112,2021012100100570,2021년 1월 21일 21시,대구광역시 달서구 월성동,달서구,35.8222111,128.5306553
113,2021012100100572,2021년 1월 21일 21시,대구광역시 달서구 감삼동,달서구,35.8476445,128.5325892
114,2021012200100025,2021년 1월 22일 05시,대구광역시 중구 계산동2가,중구,35.8666409,128.5923107
115,2021012200100043,2021년 1월 22일 06시,대구광역시 서구 비산동,서구,35.8883618,128.5616242
116,2021012200100171,2021년 1월 22일 12시,대구광역시 수성구 황금동,수성구,35.8419224,128.6232172
117,2021012200100175,2021년 1월 22일 12시,대구광역시 남구 대명동,남구,35.8546711,128.5830564
118,2021012200100229,2021년 1월 22일 14시,대구광역시 수성구 범어동,수성구,35.8646353,128.6239478
119,2021012200100288,2021년 1월 22일 16시,대구광역시 수성구 수성동4가,수성구,35.8671714,128.615123
120,2021012200100289,2021년 1월 22일 16시,대구광역시 달서구 상인동,달서구,35.8180763,128.534654
