지역명,2018,2019,2020,2021
강원도  (4200000000),1543052,1541502,1542840,1538492
경기도  (4100000000),13077153,13239666,13427014,13565450
경상남도  (4800000000),3373988,3362553,3340216,3314183
경상북도  (4700000000),2676831,2665836,2639422,2626609
광주광역시  (2900000000),1459336,1456468,1450062,1441611
대구광역시  (2700000000),2461769,2438031,2418346,2385412
대전광역시  (3000000000),1489936,1474870,1463882,1452251
부산광역시  (2600000000),3441453,3413841,3391946,3350380
서울특별시  (1100000000),9765623,9729107,9668465,9509458
세종특별자치시  (3600000000),314126,340575,355831,371895
울산광역시  (3100000000),1155623,1148019,1136017,1121592
인천광역시  (2800000000),2954642,2957026,2942828,2948375
전라남도  (4600000000),1882970,1868745,1851549,1832803
전라북도  (4500000000),1836832,1818917,1804104,1786855
제주특별자치도  (5000000000),667191,670989,674635,676759
충청남도  (4400000000),2126282,2123709,2121029,2119257
충청북도  (4300000000),1599252,1600007,1600837,1597427
