"행정구역","2017년_총인구수","2017년_세대수","2017년_세대당 인구","2017년_남자 인구수","2017년_여자 인구수","2017년_남여 비율","2018년_총인구수","2018년_세대수","2018년_세대당 인구","2018년_남자 인구수","2018년_여자 인구수","2018년_남여 비율","2019년_총인구수","2019년_세대수","2019년_세대당 인구","2019년_남자 인구수","2019년_여자 인구수","2019년_남여 비율","2020년_총인구수","2020년_세대수","2020년_세대당 인구","2020년_남자 인구수","2020년_여자 인구수","2020년_남여 비율","2021년_총인구수","2021년_세대수","2021년_세대당 인구","2021년_남자 인구수","2021년_여자 인구수","2021년_남여 비율"
"강원도  (4200000000)","1,550,142","700,265","          2.21","780,635","769,507","          1.01","1,543,052","707,245","          2.18","776,456","766,596","          1.01","1,541,502","719,524","          2.14","775,386","766,116","          1.01","1,542,840","736,301","          2.10","776,505","766,335","          1.01","1,538,492","746,220","          2.06","774,332","764,160","          1.01"
"강원도 춘천시 (4211000000)","280,514","118,450","          2.37","138,159","142,355","          0.97","280,640","120,190","          2.33","138,243","142,397","          0.97","281,291","123,006","          2.29","138,700","142,591","          0.97","282,765","126,685","          2.23","139,576","143,189","          0.97","284,594","130,277","          2.18","140,584","144,010","          0.98"
"강원도 원주시 (4213000000)","341,337","145,521","          2.35","169,742","171,595","          0.99","344,070","149,166","          2.31","171,048","173,022","          0.99","349,215","154,583","          2.26","173,425","175,790","          0.99","354,376","160,307","          2.21","175,939","178,437","          0.99","357,757","164,895","          2.17","177,396","180,361","          0.98"
"강원도 강릉시 (4215000000)","213,952","95,963","          2.23","106,286","107,666","          0.99","212,957","96,859","          2.20","105,697","107,260","          0.99","213,442","99,086","          2.15","105,893","107,549","          0.98","213,321","101,424","          2.10","105,794","107,527","          0.98","212,965","102,879","          2.07","105,667","107,298","          0.98"
"강원도 동해시 (4217000000)","92,851","40,730","          2.28","47,067","45,784","          1.03","91,272","40,784","          2.24","46,212","45,060","          1.03","90,522","41,141","          2.20","45,845","44,677","          1.03","90,593","42,306","          2.14","45,991","44,602","          1.03","90,081","42,916","          2.10","45,795","44,286","          1.03"
"강원도 태백시 (4219000000)","45,888","21,889","          2.10","23,196","22,692","          1.02","44,858","21,832","          2.05","22,612","22,246","          1.02","43,866","21,798","          2.01","22,168","21,698","          1.02","42,719","21,588","          1.98","21,640","21,079","          1.03","40,844","20,731","          1.97","20,656","20,188","          1.02"
"강원도 속초시 (4221000000)","82,273","37,772","          2.18","40,531","41,742","          0.97","81,682","37,993","          2.15","40,248","41,434","          0.97","81,786","38,689","          2.11","40,420","41,366","          0.98","82,665","39,932","          2.07","40,965","41,700","          0.98","82,791","40,706","          2.03","41,080","41,711","          0.98"
"강원도 삼척시 (4223000000)","68,514","33,863","          2.02","34,638","33,876","          1.02","68,326","34,227","          2.00","34,587","33,739","          1.03","67,228","34,082","          1.97","34,038","33,190","          1.03","65,243","33,635","          1.94","33,011","32,232","          1.02","63,429","33,184","          1.91","32,043","31,386","          1.02"
"강원도 홍천군 (4272000000)","70,340","32,467","          2.17","35,855","34,485","          1.04","69,949","32,760","          2.14","35,671","34,278","          1.04","69,150","33,142","          2.09","35,359","33,791","          1.05","69,242","34,187","          2.03","35,663","33,579","          1.06","68,365","34,237","          2.00","35,184","33,181","          1.06"
"강원도 횡성군 (4273000000)","46,281","21,777","          2.13","23,541","22,740","          1.04","46,726","22,411","          2.08","23,828","22,898","          1.04","46,575","22,832","          2.04","23,785","22,790","          1.04","46,472","23,276","          2.00","23,822","22,650","          1.05","46,481","23,593","          1.97","23,859","22,622","          1.05"
"강원도 영월군 (4275000000)","40,067","20,715","          1.93","20,639","19,428","          1.06","39,730","21,011","          1.89","20,493","19,237","          1.07","39,127","21,044","          1.86","20,143","18,984","          1.06","38,662","21,246","          1.82","19,986","18,676","          1.07","37,904","21,143","          1.79","19,626","18,278","          1.07"
"강원도 평창군 (4276000000)","43,092","21,008","          2.05","22,021","21,071","          1.05","42,610","21,172","          2.01","21,771","20,839","          1.04","42,106","21,379","          1.97","21,550","20,556","          1.05","41,681","21,618","          1.93","21,321","20,360","          1.05","40,996","21,665","          1.89","21,091","19,905","          1.06"
"강원도 정선군 (4277000000)","38,173","19,554","          1.95","19,748","18,425","          1.07","37,700","19,761","          1.91","19,595","18,105","          1.08","37,271","19,974","          1.87","19,360","17,911","          1.08","36,870","20,230","          1.82","19,174","17,696","          1.08","35,675","19,713","          1.81","18,565","17,110","          1.09"
"강원도 철원군 (4278000000)","47,185","21,583","          2.19","24,886","22,299","          1.12","46,413","21,451","          2.16","24,408","22,005","          1.11","45,584","21,216","          2.15","23,767","21,817","          1.09","44,699","21,182","          2.11","23,216","21,483","          1.08","43,340","20,862","          2.08","22,453","20,887","          1.07"
"강원도 화천군 (4279000000)","26,022","13,065","          1.99","14,313","11,709","          1.22","25,084","12,564","          2.00","13,603","11,481","          1.18","24,917","12,603","          1.98","13,495","11,422","          1.18","24,857","12,862","          1.93","13,472","11,385","          1.18","24,195","12,556","          1.93","13,138","11,057","          1.19"
"강원도 양구군 (4280000000)","23,835","11,340","          2.10","12,768","11,067","          1.15","23,408","11,058","          2.12","12,462","10,946","          1.14","22,764","10,840","          2.10","12,082","10,682","          1.13","22,278","10,828","          2.06","11,829","10,449","          1.13","21,748","10,660","          2.04","11,464","10,284","          1.11"
"강원도 인제군 (4281000000)","32,582","15,523","          2.10","17,579","15,003","          1.17","32,136","15,550","          2.07","17,349","14,787","          1.17","31,672","15,583","          2.03","17,143","14,529","          1.18","31,694","15,900","          1.99","17,084","14,610","          1.17","32,165","16,380","          1.96","17,461","14,704","          1.19"
"강원도 고성군 (4282000000)","30,029","15,519","          1.93","15,817","14,212","          1.11","28,144","14,763","          1.91","14,729","13,415","          1.10","27,260","14,445","          1.89","14,114","13,146","          1.07","26,757","14,546","          1.84","13,802","12,955","          1.07","27,249","15,064","          1.81","14,019","13,230","          1.06"
"강원도 양양군 (4283000000)","27,207","13,526","          2.01","13,849","13,358","          1.04","27,347","13,693","          2.00","13,900","13,447","          1.03","27,726","14,081","          1.97","14,099","13,627","          1.03","27,946","14,549","          1.92","14,220","13,726","          1.04","27,913","14,759","          1.89","14,251","13,662","          1.04"
