"행정구역","2017년_총인구수","2017년_세대수","2017년_세대당 인구","2017년_남자 인구수","2017년_여자 인구수","2017년_남여 비율","2018년_총인구수","2018년_세대수","2018년_세대당 인구","2018년_남자 인구수","2018년_여자 인구수","2018년_남여 비율","2019년_총인구수","2019년_세대수","2019년_세대당 인구","2019년_남자 인구수","2019년_여자 인구수","2019년_남여 비율","2020년_총인구수","2020년_세대수","2020년_세대당 인구","2020년_남자 인구수","2020년_여자 인구수","2020년_남여 비율","2021년_총인구수","2021년_세대수","2021년_세대당 인구","2021년_남자 인구수","2021년_여자 인구수","2021년_남여 비율"
"경기도  (4100000000)","12,873,895","5,131,379","          2.51","6,475,323","6,398,572","          1.01","13,077,153","5,306,214","          2.46","6,577,501","6,499,652","          1.01","13,239,666","5,468,920","          2.42","6,659,995","6,579,671","          1.01","13,427,014","5,676,401","          2.37","6,754,469","6,672,545","          1.01","13,565,450","5,841,995","          2.32","6,827,298","6,738,152","          1.01"
"경기도 수원시 (4111000000)","1,202,628","483,558","          2.49","605,835","596,793","          1.02","1,201,166","492,939","          2.44","604,918","596,248","          1.01","1,194,465","498,836","          2.39","601,410","593,055","          1.01","1,186,078","506,950","          2.34","597,076","589,002","          1.01","1,183,714","517,822","          2.29","595,933","587,781","          1.01"
"경기도 수원시 장안구 (4111100000)","293,828","116,486","          2.52","147,806","146,022","          1.01","286,433","116,250","          2.46","144,163","142,270","          1.01","278,377","115,180","          2.42","140,218","138,159","          1.01","273,661","115,738","          2.36","137,807","135,854","          1.01","273,835","118,432","          2.31","137,861","135,974","          1.01"
"경기도 수원시 권선구 (4111300000)","365,653","145,514","          2.51","184,383","181,270","          1.02","377,647","152,432","          2.48","190,493","187,154","          1.02","371,754","152,733","          2.43","187,627","184,127","          1.02","368,645","154,921","          2.38","186,050","182,595","          1.02","364,136","157,041","          2.32","183,925","180,211","          1.02"
"경기도 수원시 팔달구 (4111500000)","193,311","87,895","          2.20","97,427","95,884","          1.02","180,974","84,558","          2.14","91,091","89,883","          1.01","175,866","84,282","          2.09","88,523","87,343","          1.01","174,930","86,362","          2.03","88,180","86,750","          1.02","182,321","91,278","          2.00","91,926","90,395","          1.02"
"경기도 수원시 영통구 (4111700000)","349,836","133,663","          2.62","176,219","173,617","          1.01","356,112","139,699","          2.55","179,171","176,941","          1.01","368,468","146,641","          2.51","185,042","183,426","          1.01","368,842","149,929","          2.46","185,039","183,803","          1.01","363,422","151,071","          2.41","182,221","181,201","          1.01"
"경기도 성남시 (4113000000)","967,510","396,403","          2.44","479,225","488,285","          0.98","954,347","398,412","          2.40","472,506","481,841","          0.98","942,724","400,460","          2.35","466,644","476,080","          0.98","940,064","407,912","          2.30","465,407","474,657","          0.98","930,948","409,320","          2.27","461,131","469,817","          0.98"
"경기도 성남시 수정구 (4113100000)","236,932","107,823","          2.20","120,180","116,752","          1.03","234,133","108,396","          2.16","118,563","115,570","          1.03","234,678","110,333","          2.13","118,631","116,047","          1.02","241,701","115,709","          2.09","122,204","119,497","          1.02","235,988","114,620","          2.06","119,517","116,471","          1.03"
"경기도 성남시 중원구 (4113300000)","230,366","99,438","          2.32","116,610","113,756","          1.03","224,885","99,495","          2.26","113,912","110,973","          1.03","220,041","99,940","          2.20","111,444","108,597","          1.03","216,131","101,151","          2.14","109,444","106,687","          1.03","210,777","100,328","          2.10","106,772","104,005","          1.03"
"경기도 성남시 분당구 (4113500000)","500,212","189,142","          2.64","242,435","257,777","          0.94","495,329","190,521","          2.60","240,031","255,298","          0.94","488,005","190,187","          2.57","236,569","251,436","          0.94","482,232","191,052","          2.52","233,759","248,473","          0.94","484,183","194,372","          2.49","234,842","249,341","          0.94"
"경기도 의정부시 (4115000000)","441,584","179,505","          2.46","217,944","223,640","          0.97","447,026","185,319","          2.41","220,360","226,666","          0.97","451,868","190,760","          2.37","222,590","229,278","          0.97","461,710","201,630","          2.29","227,342","234,368","          0.97","463,661","205,792","          2.25","228,538","235,123","          0.97"
"경기도 안양시 (4117000000)","587,764","223,172","          2.63","291,751","296,013","          0.99","576,831","222,361","          2.59","285,816","291,015","          0.98","567,044","222,589","          2.55","280,652","286,392","          0.98","550,027","220,552","          2.49","271,936","278,091","          0.98","547,178","224,620","          2.44","270,496","276,682","          0.98"
"경기도 안양시 만안구 (4117100000)","254,977","101,859","          2.50","127,999","126,978","          1.01","251,512","102,157","          2.46","126,059","125,453","          1.00","244,235","100,974","          2.42","122,326","121,909","          1.00","239,413","101,305","          2.36","119,864","119,549","          1.00","238,311","103,012","          2.31","119,239","119,072","          1.00"
"경기도 안양시 동안구 (4117300000)","332,787","121,313","          2.74","163,752","169,035","          0.97","325,319","120,204","          2.71","159,757","165,562","          0.96","322,809","121,615","          2.65","158,326","164,483","          0.96","310,614","119,247","          2.60","152,072","158,542","          0.96","308,867","121,608","          2.54","151,257","157,610","          0.96"
"경기도 부천시 (4119000000)","850,329","335,384","          2.54","424,038","426,291","          0.99","843,768","338,759","          2.49","420,179","423,589","          0.99","829,996","340,160","          2.44","412,500","417,496","          0.99","818,383","344,495","          2.38","406,023","412,360","          0.98","806,067","347,024","          2.32","399,484","406,583","          0.98"
"경기도 광명시 (4121000000)","332,790","127,168","          2.62","164,878","167,912","          0.98","326,841","128,126","          2.55","161,734","165,107","          0.98","316,552","126,001","          2.51","156,405","160,147","          0.98","298,599","120,560","          2.48","147,278","151,321","          0.97","292,893","119,817","          2.44","144,384","148,509","          0.97"
"경기도 평택시 (4122000000)","481,530","204,252","          2.36","246,618","234,912","          1.05","495,642","214,409","          2.31","254,336","241,306","          1.05","513,027","226,020","          2.27","264,012","249,015","          1.06","537,307","243,838","          2.20","277,617","259,690","          1.07","564,288","262,097","          2.15","293,954","270,334","          1.09"
"경기도 동두천시 (4125000000)","97,071","42,420","          2.29","48,344","48,727","          0.99","96,226","42,919","          2.24","47,988","48,238","          0.99","94,768","42,999","          2.20","47,308","47,460","          1.00","94,353","43,874","          2.15","47,038","47,315","          0.99","93,592","44,369","          2.11","46,694","46,898","          1.00"
"경기도 안산시 (4127000000)","677,710","278,240","          2.44","347,585","330,125","          1.05","660,343","276,662","          2.39","338,701","321,642","          1.05","650,918","277,331","          2.35","333,766","317,152","          1.05","654,915","286,061","          2.29","335,804","319,111","          1.05","652,726","292,113","          2.23","334,646","318,080","          1.05"
"경기도 안산시 상록구 (4127100000)","370,744","152,176","          2.44","189,102","181,642","          1.04","356,311","149,499","          2.38","181,742","174,569","          1.04","344,613","147,231","          2.34","175,789","168,824","          1.04","351,888","153,103","          2.30","179,452","172,436","          1.04","350,668","156,527","          2.24","178,943","171,725","          1.04"
"경기도 안산시 단원구 (4127300000)","306,966","126,064","          2.44","158,483","148,483","          1.07","304,032","127,163","          2.39","156,959","147,073","          1.07","306,305","130,100","          2.35","157,977","148,328","          1.07","303,027","132,958","          2.28","156,352","146,675","          1.07","302,058","135,586","          2.23","155,703","146,355","          1.06"
"경기도 고양시 (4128000000)","1,041,983","408,816","          2.55","511,564","530,419","          0.96","1,044,189","417,607","          2.50","512,359","531,830","          0.96","1,066,351","434,028","          2.46","522,749","543,602","          0.96","1,079,216","448,574","          2.41","528,480","550,736","          0.96","1,079,353","456,852","          2.36","528,094","551,259","          0.96"
"경기도 고양시 덕양구 (4128100000)","448,684","181,875","          2.47","222,646","226,038","          0.98","450,449","185,883","          2.42","223,323","227,126","          0.98","466,157","195,766","          2.38","230,858","235,299","          0.98","476,962","203,939","          2.34","235,773","241,189","          0.98","482,927","210,486","          2.29","238,375","244,552","          0.97"
"경기도 고양시 일산동구 (4128500000)","293,673","117,436","          2.50","143,253","150,420","          0.95","296,223","120,658","          2.46","144,394","151,829","          0.95","297,671","122,981","          2.42","144,991","152,680","          0.95","299,716","126,569","          2.37","145,874","153,842","          0.95","298,873","128,436","          2.33","145,362","153,511","          0.95"
"경기도 고양시 일산서구 (4128700000)","299,626","109,505","          2.74","145,665","153,961","          0.95","297,517","111,066","          2.68","144,642","152,875","          0.95","302,523","115,281","          2.62","146,900","155,623","          0.94","302,538","118,066","          2.56","146,833","155,705","          0.94","297,553","117,930","          2.52","144,357","153,196","          0.94"
