"행정구역","2017년_총인구수","2017년_세대수","2017년_세대당 인구","2017년_남자 인구수","2017년_여자 인구수","2017년_남여 비율","2018년_총인구수","2018년_세대수","2018년_세대당 인구","2018년_남자 인구수","2018년_여자 인구수","2018년_남여 비율","2019년_총인구수","2019년_세대수","2019년_세대당 인구","2019년_남자 인구수","2019년_여자 인구수","2019년_남여 비율","2020년_총인구수","2020년_세대수","2020년_세대당 인구","2020년_남자 인구수","2020년_여자 인구수","2020년_남여 비율","2021년_총인구수","2021년_세대수","2021년_세대당 인구","2021년_남자 인구수","2021년_여자 인구수","2021년_남여 비율"
"경상남도  (4800000000)","3,380,404","1,406,011","          2.40","1,701,413","1,678,991","          1.01","3,373,988","1,425,271","          2.37","1,697,412","1,676,576","          1.01","3,362,553","1,450,822","          2.32","1,692,032","1,670,521","          1.01","3,340,216","1,484,601","          2.25","1,681,423","1,658,793","          1.01","3,314,183","1,505,971","          2.20","1,668,338","1,645,845","          1.01"
"경상남도 창원시 (4812000000)","1,057,032","420,517","          2.51","536,167","520,865","          1.03","1,053,601","425,771","          2.47","534,119","519,482","          1.03","1,044,740","431,382","          2.42","529,262","515,478","          1.03","1,036,738","442,097","          2.35","525,278","511,460","          1.03","1,032,741","451,940","          2.29","523,223","509,518","          1.03"
"경상남도 창원시 의창구 (4812100000)","253,349","101,257","          2.50","129,036","124,313","          1.04","252,896","102,538","          2.47","128,759","124,137","          1.04","258,582","106,817","          2.42","131,544","127,038","          1.04","262,408","111,656","          2.35","133,544","128,864","          1.04","218,027","95,630","          2.28","110,998","107,029","          1.04"
"경상남도 창원시 성산구 (4812300000)","227,942","84,149","          2.71","116,518","111,424","          1.05","227,337","85,722","          2.65","116,199","111,138","          1.05","220,945","85,420","          2.59","112,865","108,080","          1.04","214,570","86,158","          2.49","109,642","104,928","          1.04","251,562","105,052","          2.39","128,346","123,216","          1.04"
"경상남도 창원시 마산합포구 (4812500000)","181,917","77,798","          2.34","90,772","91,145","          1.00","180,535","78,259","          2.31","89,925","90,610","          0.99","177,784","78,684","          2.26","88,457","89,327","          0.99","175,716","80,142","          2.19","87,418","88,298","          0.99","181,322","84,087","          2.16","90,141","91,181","          0.99"
"경상남도 창원시 마산회원구 (4812700000)","203,926","81,903","          2.49","102,876","101,050","          1.02","199,457","81,278","          2.45","100,512","98,945","          1.02","193,807","80,629","          2.40","97,453","96,354","          1.01","191,289","82,303","          2.32","95,938","95,351","          1.01","186,881","82,405","          2.27","93,661","93,220","          1.00"
"경상남도 창원시 진해구 (4812900000)","189,898","75,410","          2.52","96,965","92,933","          1.04","193,376","77,974","          2.48","98,724","94,652","          1.04","193,622","79,832","          2.43","98,943","94,679","          1.05","192,755","81,838","          2.36","98,736","94,019","          1.05","194,949","84,766","          2.30","100,077","94,872","          1.05"
"경상남도 진주시 (4817000000)","346,681","142,865","          2.43","171,801","174,880","          0.98","345,987","145,153","          2.38","171,321","174,666","          0.98","347,334","149,078","          2.33","171,834","175,500","          0.98","348,096","154,197","          2.26","172,107","175,989","          0.98","347,097","157,292","          2.21","171,601","175,496","          0.98"
"경상남도 통영시 (4822000000)","135,833","58,941","          2.30","68,528","67,305","          1.02","133,720","59,125","          2.26","67,303","66,417","          1.01","131,404","59,423","          2.21","66,053","65,351","          1.01","128,293","59,813","          2.14","64,502","63,791","          1.01","125,383","59,738","          2.10","62,928","62,455","          1.01"
"경상남도 사천시 (4824000000)","114,252","51,348","          2.23","57,476","56,776","          1.01","113,888","52,184","          2.18","57,394","56,494","          1.02","111,925","52,503","          2.13","56,451","55,474","          1.02","111,105","53,509","          2.08","56,010","55,095","          1.02","109,953","53,944","          2.04","55,433","54,520","          1.02"
"경상남도 김해시 (4825000000)","532,132","204,894","          2.60","268,959","263,173","          1.02","533,672","208,710","          2.56","269,736","263,936","          1.02","542,455","217,228","          2.50","274,336","268,119","          1.02","542,338","223,242","          2.43","274,313","268,025","          1.02","537,673","225,984","          2.38","271,899","265,774","          1.02"
"경상남도 밀양시 (4827000000)","107,898","50,597","          2.13","52,692","55,206","          0.95","106,744","51,044","          2.09","52,161","54,583","          0.96","105,552","51,541","          2.05","51,618","53,934","          0.96","104,831","52,673","          1.99","51,356","53,475","          0.96","103,525","53,120","          1.95","50,849","52,676","          0.97"
"경상남도 거제시 (4831000000)","254,073","101,279","          2.51","133,467","120,606","          1.11","250,516","100,775","          2.49","131,003","119,513","          1.10","248,276","101,969","          2.43","130,141","118,135","          1.10","245,754","103,779","          2.37","128,978","116,776","          1.10","241,216","103,674","          2.33","126,291","114,925","          1.10"
"경상남도 양산시 (4833000000)","338,535","135,821","          2.49","170,132","168,403","          1.01","348,639","141,871","          2.46","175,184","173,455","          1.01","350,759","145,297","          2.41","176,114","174,645","          1.01","352,229","149,595","          2.35","176,641","175,588","          1.01","354,726","153,732","          2.31","177,759","176,967","          1.00"
"경상남도 의령군 (4872000000)","27,849","14,436","          1.93","13,478","14,371","          0.94","27,667","14,587","          1.90","13,418","14,249","          0.94","27,168","14,577","          1.86","13,242","13,926","          0.95","26,800","14,917","          1.80","13,140","13,660","          0.96","26,322","15,010","          1.75","12,966","13,356","          0.97"
"경상남도 함안군 (4873000000)","68,207","31,076","          2.19","34,433","33,774","          1.02","67,025","30,989","          2.16","33,923","33,102","          1.02","65,700","30,910","          2.13","33,203","32,497","          1.02","64,182","31,056","          2.07","32,561","31,621","          1.03","62,547","30,978","          2.02","31,816","30,731","          1.04"
