"행정구역","2017년_총인구수","2017년_세대수","2017년_세대당 인구","2017년_남자 인구수","2017년_여자 인구수","2017년_남여 비율","2018년_총인구수","2018년_세대수","2018년_세대당 인구","2018년_남자 인구수","2018년_여자 인구수","2018년_남여 비율","2019년_총인구수","2019년_세대수","2019년_세대당 인구","2019년_남자 인구수","2019년_여자 인구수","2019년_남여 비율","2020년_총인구수","2020년_세대수","2020년_세대당 인구","2020년_남자 인구수","2020년_여자 인구수","2020년_남여 비율","2021년_총인구수","2021년_세대수","2021년_세대당 인구","2021년_남자 인구수","2021년_여자 인구수","2021년_남여 비율"
"경상북도  (4700000000)","2,691,706","1,193,261","          2.26","1,353,164","1,338,542","          1.01","2,676,831","1,207,351","          2.22","1,346,689","1,330,142","          1.01","2,665,836","1,227,548","          2.17","1,342,037","1,323,799","          1.01","2,639,422","1,254,662","          2.10","1,329,211","1,310,211","          1.01","2,626,609","1,276,846","          2.06","1,323,661","1,302,948","          1.02"
"경상북도 포항시 (4711000000)","513,832","214,012","          2.40","259,491","254,341","          1.02","510,013","216,654","          2.35","257,789","252,224","          1.02","507,025","220,328","          2.30","256,140","250,885","          1.02","502,916","225,693","          2.23","254,222","248,694","          1.02","503,852","232,201","          2.17","255,292","248,560","          1.03"
"경상북도 포항시 남구 (4711100000)","242,469","103,117","          2.35","124,553","117,916","          1.06","239,400","103,887","          2.30","123,222","116,178","          1.06","235,633","104,824","          2.25","121,261","114,372","          1.06","230,422","106,025","          2.17","118,767","111,655","          1.06","230,801","109,419","          2.11","119,438","111,363","          1.07"
"경상북도 포항시 북구 (4711300000)","271,363","110,895","          2.45","134,938","136,425","          0.99","270,613","112,767","          2.40","134,567","136,046","          0.99","271,392","115,504","          2.35","134,879","136,513","          0.99","272,494","119,668","          2.28","135,455","137,039","          0.99","273,051","122,782","          2.22","135,854","137,197","          0.99"
"경상북도 경주시 (4713000000)","257,903","114,942","          2.24","129,178","128,725","          1.00","256,864","116,805","          2.20","128,802","128,062","          1.01","255,402","118,542","          2.15","127,928","127,474","          1.00","253,502","121,505","          2.09","126,911","126,591","          1.00","251,889","123,071","          2.05","126,024","125,865","          1.00"
"경상북도 김천시 (4715000000)","142,908","63,360","          2.26","71,556","71,352","          1.00","141,104","63,443","          2.22","70,663","70,441","          1.00","141,229","65,273","          2.16","70,743","70,486","          1.00","140,548","67,122","          2.09","70,525","70,023","          1.01","140,239","68,393","          2.05","70,305","69,934","          1.01"
"경상북도 안동시 (4717000000)","166,272","73,816","          2.25","82,143","84,129","          0.98","162,180","73,863","          2.20","80,204","81,976","          0.98","160,052","74,827","          2.14","79,239","80,813","          0.98","158,907","76,915","          2.07","78,661","80,246","          0.98","156,972","77,666","          2.02","77,590","79,382","          0.98"
"경상북도 구미시 (4719000000)","421,799","171,387","          2.46","215,826","205,973","          1.05","421,494","173,269","          2.43","215,863","205,631","          1.05","419,742","176,015","          2.38","215,208","204,534","          1.05","416,328","179,889","          2.31","213,720","202,608","          1.05","412,581","182,645","          2.26","212,021","200,560","          1.06"
"경상북도 영주시 (4721000000)","108,371","48,845","          2.22","53,737","54,634","          0.98","106,801","48,982","          2.18","52,941","53,860","          0.98","105,067","49,063","          2.14","52,060","53,007","          0.98","103,119","49,718","          2.07","51,070","52,049","          0.98","101,942","50,271","          2.03","50,591","51,351","          0.99"
"경상북도 영천시 (4723000000)","100,615","48,564","          2.07","50,857","49,758","          1.02","101,595","50,020","          2.03","51,453","50,142","          1.03","102,470","51,439","          1.99","52,100","50,370","          1.03","102,015","52,861","          1.93","51,812","50,203","          1.03","101,888","53,904","          1.89","51,737","50,151","          1.03"
"경상북도 상주시 (4725000000)","100,947","47,048","          2.15","49,344","51,603","          0.96","100,297","47,527","          2.11","49,046","51,251","          0.96","100,688","48,796","          2.06","49,378","51,310","          0.96","97,228","48,856","          1.99","47,634","49,594","          0.96","95,566","48,965","          1.95","46,869","48,697","          0.96"
"경상북도 문경시 (4728000000)","73,294","34,555","          2.12","35,907","37,387","          0.96","71,874","34,644","          2.07","35,174","36,700","          0.96","72,242","35,587","          2.03","35,391","36,851","          0.96","71,406","36,268","          1.97","35,000","36,406","          0.96","71,154","37,069","          1.92","34,919","36,235","          0.96"
"경상북도 경산시 (4729000000)","259,485","109,849","          2.36","130,775","128,710","          1.02","261,093","112,513","          2.32","131,537","129,556","          1.02","263,185","115,537","          2.28","132,616","130,569","          1.02","263,728","119,680","          2.20","132,805","130,923","          1.01","268,369","124,869","          2.15","134,940","133,429","          1.01"
"경상북도 군위군 (4772000000)","24,215","12,670","          1.91","12,247","11,968","          1.02","23,919","12,784","          1.87","12,188","11,731","          1.04","23,843","12,938","          1.84","12,166","11,677","          1.04","23,256","13,096","          1.78","11,892","11,364","          1.05","22,945","13,258","          1.73","11,761","11,184","          1.05"
"경상북도 의성군 (4773000000)","53,474","27,574","          1.94","26,102","27,372","          0.95","52,944","27,822","          1.90","25,838","27,106","          0.95","52,595","28,212","          1.86","25,720","26,875","          0.96","51,724","28,750","          1.80","25,265","26,459","          0.95","50,632","28,798","          1.76","24,796","25,836","          0.96"
"경상북도 청송군 (4775000000)","26,006","13,562","          1.92","12,891","13,115","          0.98","25,678","13,723","          1.87","12,762","12,916","          0.99","25,416","13,862","          1.83","12,694","12,722","          1.00","25,044","14,064","          1.78","12,482","12,562","          0.99","24,539","14,029","          1.75","12,261","12,278","          1.00"
"경상북도 영양군 (4776000000)","17,479","8,827","          1.98","8,618","8,861","          0.97","17,356","8,913","          1.95","8,567","8,789","          0.97","16,993","8,942","          1.90","8,419","8,574","          0.98","16,692","9,127","          1.83","8,263","8,429","          0.98","16,320","9,055","          1.80","8,144","8,176","          1.00"
"경상북도 영덕군 (4777000000)","38,529","20,045","          1.92","18,360","20,169","          0.91","38,108","20,123","          1.89","18,103","20,005","          0.90","37,361","20,085","          1.86","17,777","19,584","          0.91","36,313","20,153","          1.80","17,197","19,116","          0.90","35,314","19,895","          1.78","16,777","18,537","          0.91"
"경상북도 청도군 (4782000000)","43,346","21,912","          1.98","21,221","22,125","          0.96","43,057","22,181","          1.94","21,117","21,940","          0.96","42,910","22,473","          1.91","21,065","21,845","          0.96","42,263","22,843","          1.85","20,775","21,488","          0.97","41,891","23,251","          1.80","20,598","21,293","          0.97"
"경상북도 고령군 (4783000000)","33,768","16,241","          2.08","17,200","16,568","          1.04","32,969","16,204","          2.03","16,818","16,151","          1.04","32,373","16,227","          2.00","16,548","15,825","          1.05","31,361","16,497","          1.90","16,074","15,287","          1.05","30,626","16,556","          1.85","15,741","14,885","          1.06"
"경상북도 성주군 (4784000000)","45,138","22,389","          2.02","23,191","21,947","          1.06","44,672","22,677","          1.97","23,011","21,661","          1.06","44,015","22,915","          1.92","22,716","21,299","          1.07","43,414","23,516","          1.85","22,473","20,941","          1.07","42,842","23,621","          1.81","22,216","20,626","          1.08"
