"행정구역","2017년_총인구수","2017년_세대수","2017년_세대당 인구","2017년_남자 인구수","2017년_여자 인구수","2017년_남여 비율","2018년_총인구수","2018년_세대수","2018년_세대당 인구","2018년_남자 인구수","2018년_여자 인구수","2018년_남여 비율","2019년_총인구수","2019년_세대수","2019년_세대당 인구","2019년_남자 인구수","2019년_여자 인구수","2019년_남여 비율","2020년_총인구수","2020년_세대수","2020년_세대당 인구","2020년_남자 인구수","2020년_여자 인구수","2020년_남여 비율","2021년_총인구수","2021년_세대수","2021년_세대당 인구","2021년_남자 인구수","2021년_여자 인구수","2021년_남여 비율"
"부산광역시  (2600000000)","3,470,653","1,467,555","          2.36","1,709,508","1,761,145","          0.97","3,441,453","1,480,468","          2.32","1,692,421","1,749,032","          0.97","3,413,841","1,497,908","          2.28","1,675,417","1,738,424","          0.96","3,391,946","1,530,431","          2.22","1,661,000","1,730,946","          0.96","3,350,380","1,544,663","          2.17","1,639,044","1,711,336","          0.96"
"부산광역시 중구 (2611000000)","44,218","23,284","          1.90","21,662","22,556","          0.96","42,795","22,975","          1.86","20,992","21,803","          0.96","41,910","23,160","          1.81","20,557","21,353","          0.96","41,523","23,847","          1.74","20,282","21,241","          0.95","40,524","23,925","          1.69","19,755","20,769","          0.95"
"부산광역시 서구 (2614000000)","110,039","51,953","          2.12","53,873","56,166","          0.96","110,534","52,819","          2.09","53,978","56,556","          0.95","108,229","52,786","          2.05","52,627","55,602","          0.95","108,135","53,853","          2.01","52,341","55,794","          0.94","105,164","52,960","          1.99","50,853","54,311","          0.94"
"부산광역시 동구 (2617000000)","88,868","43,413","          2.05","43,927","44,941","          0.98","86,912","43,261","          2.01","42,830","44,082","          0.97","88,165","44,657","          1.97","43,327","44,838","          0.97","88,901","46,003","          1.93","43,509","45,392","          0.96","87,679","46,362","          1.89","42,877","44,802","          0.96"
"부산광역시 영도구 (2620000000)","123,521","55,713","          2.22","61,156","62,365","          0.98","120,109","55,312","          2.17","59,429","60,680","          0.98","116,711","54,859","          2.13","57,629","59,082","          0.98","113,342","54,903","          2.06","55,846","57,496","          0.97","110,638","54,659","          2.02","54,471","56,167","          0.97"
"부산광역시 부산진구 (2623000000)","371,703","166,491","          2.23","181,502","190,201","          0.95","362,357","165,253","          2.19","176,316","186,041","          0.95","357,880","166,865","          2.14","173,446","184,434","          0.94","359,886","173,263","          2.08","173,920","185,966","          0.94","353,159","173,353","          2.04","170,181","182,978","          0.93"
"부산광역시 동래구 (2626000000)","270,727","108,609","          2.49","132,673","138,054","          0.96","266,515","108,757","          2.45","130,338","136,177","          0.96","271,247","112,136","          2.42","132,295","138,952","          0.95","270,745","114,987","          2.35","131,735","139,010","          0.95","266,866","115,718","          2.31","129,681","137,185","          0.95"
"부산광역시 남구 (2629000000)","273,854","113,898","          2.40","134,592","139,262","          0.97","279,917","117,558","          2.38","137,437","142,480","          0.96","274,480","117,397","          2.34","134,519","139,961","          0.96","267,731","117,876","          2.27","131,037","136,694","          0.96","262,069","117,821","          2.22","127,955","134,114","          0.95"
"부산광역시 북구 (2632000000)","302,924","120,249","          2.52","150,355","152,569","          0.99","296,952","120,036","          2.47","147,233","149,719","          0.98","291,132","120,273","          2.42","144,229","146,903","          0.98","283,952","120,668","          2.35","140,527","143,425","          0.98","283,211","123,316","          2.30","139,795","143,416","          0.97"
"부산광역시 해운대구 (2635000000)","412,039","165,002","          2.50","199,630","212,409","          0.94","409,347","166,748","          2.45","197,871","211,476","          0.94","406,102","168,650","          2.41","195,960","210,142","          0.93","402,169","171,376","          2.35","193,618","208,551","          0.93","396,438","172,397","          2.30","190,624","205,814","          0.93"
"부산광역시 사하구 (2638000000)","333,301","137,679","          2.42","166,434","166,867","          1.00","327,791","138,503","          2.37","163,766","164,025","          1.00","321,004","138,790","          2.31","160,101","160,903","          1.00","311,757","138,854","          2.25","155,228","156,529","          0.99","306,003","139,604","          2.19","152,197","153,806","          0.99"
"부산광역시 금정구 (2641000000)","244,469","104,827","          2.33","120,153","124,316","          0.97","242,956","106,415","          2.28","119,261","123,695","          0.96","239,062","107,024","          2.23","117,070","121,992","          0.96","232,666","107,561","          2.16","113,595","119,071","          0.95","228,049","108,070","          2.11","111,513","116,536","          0.96"
"부산광역시 강서구 (2644000000)","117,382","47,850","          2.45","60,677","56,705","          1.07","122,957","50,488","          2.44","63,491","59,466","          1.07","129,566","53,731","          2.41","66,982","62,584","          1.07","137,957","58,141","          2.37","71,245","66,712","          1.07","142,918","61,502","          2.32","74,047","68,871","          1.08"
"부산광역시 연제구 (2647000000)","206,742","85,892","          2.41","100,613","106,129","          0.95","207,840","87,833","          2.37","100,789","107,051","          0.94","209,395","90,266","          2.32","101,253","108,142","          0.94","209,157","92,583","          2.26","100,700","108,457","          0.93","207,144","93,606","          2.21","99,761","107,383","          0.93"
"부산광역시 수영구 (2650000000)","179,996","79,788","          2.26","85,778","94,218","          0.91","176,246","79,842","          2.21","83,852","92,394","          0.91","176,148","81,452","          2.16","83,565","92,583","          0.90","176,894","84,311","          2.10","83,573","93,321","          0.90","175,095","85,896","          2.04","82,609","92,486","          0.89"
"부산광역시 사상구 (2653000000)","229,219","97,169","          2.36","116,416","112,803","          1.03","223,361","96,698","          2.31","113,240","110,121","          1.03","218,094","96,726","          2.25","110,286","107,808","          1.02","212,586","97,556","          2.18","107,405","105,181","          1.02","208,298","98,621","          2.11","105,034","103,264","          1.02"
"부산광역시 기장군 (2671000000)","161,651","65,738","          2.46","80,067","81,584","          0.98","164,864","67,970","          2.43","81,598","83,266","          0.98","164,716","69,136","          2.38","81,571","83,145","          0.98","174,545","74,649","          2.34","86,439","88,106","          0.98","177,125","76,853","          2.30","87,691","89,434","          0.98"
