"행정구역","2017년_총인구수","2017년_세대수","2017년_세대당 인구","2017년_남자 인구수","2017년_여자 인구수","2017년_남여 비율","2018년_총인구수","2018년_세대수","2018년_세대당 인구","2018년_남자 인구수","2018년_여자 인구수","2018년_남여 비율","2019년_총인구수","2019년_세대수","2019년_세대당 인구","2019년_남자 인구수","2019년_여자 인구수","2019년_남여 비율","2020년_총인구수","2020년_세대수","2020년_세대당 인구","2020년_남자 인구수","2020년_여자 인구수","2020년_남여 비율","2021년_총인구수","2021년_세대수","2021년_세대당 인구","2021년_남자 인구수","2021년_여자 인구수","2021년_남여 비율"
"서울특별시  (1100000000)","9,857,426","4,220,082","          2.34","4,830,206","5,027,220","          0.96","9,765,623","4,263,868","          2.29","4,773,899","4,991,724","          0.96","9,729,107","4,327,605","          2.25","4,744,059","4,985,048","          0.95","9,668,465","4,417,954","          2.19","4,701,723","4,966,742","          0.95","9,509,458","4,426,007","          2.15","4,618,040","4,891,418","          0.94"
"서울특별시 종로구 (1111000000)","154,770","73,594","          2.10","75,967","78,803","          0.96","153,065","73,735","          2.08","74,825","78,240","          0.96","151,290","73,947","          2.05","73,746","77,544","          0.95","149,384","75,003","          1.99","72,635","76,749","          0.95","144,683","73,494","          1.97","70,183","74,500","          0.94"
"서울특별시 중구 (1114000000)","125,709","60,412","          2.08","62,253","63,456","          0.98","125,725","61,502","          2.04","61,947","63,778","          0.97","126,171","62,739","          2.01","61,910","64,261","          0.96","125,240","63,686","          1.97","61,222","64,018","          0.96","122,499","63,519","          1.93","59,630","62,869","          0.95"
"서울특별시 용산구 (1117000000)","229,161","107,666","          2.13","110,878","118,283","          0.94","228,999","108,974","          2.10","110,640","118,359","          0.93","228,670","110,126","          2.08","110,356","118,314","          0.93","230,040","113,093","          2.03","110,722","119,318","          0.93","222,953","111,036","          2.01","107,210","115,743","          0.93"
"서울특별시 성동구 (1120000000)","304,808","132,902","          2.29","150,368","154,440","          0.97","308,221","137,209","          2.25","151,359","156,862","          0.96","300,889","135,838","          2.22","147,273","153,616","          0.96","293,556","135,870","          2.16","143,387","150,169","          0.95","285,990","134,233","          2.13","139,380","146,610","          0.95"
"서울특별시 광진구 (1121500000)","357,703","160,798","          2.22","174,414","183,289","          0.95","355,559","162,606","          2.19","172,794","182,765","          0.95","351,350","164,428","          2.14","170,262","181,088","          0.94","346,682","167,427","          2.07","167,310","179,372","          0.93","339,996","167,949","          2.02","164,058","175,938","          0.93"
"서울특별시 동대문구 (1123000000)","350,647","159,938","          2.19","175,324","175,323","          1.00","348,052","161,820","          2.15","173,567","174,485","          0.99","346,194","164,191","          2.11","172,113","174,081","          0.99","342,837","167,598","          2.05","169,769","173,068","          0.98","337,400","168,219","          2.01","166,646","170,754","          0.98"
"서울특별시 중랑구 (1126000000)","408,226","179,132","          2.28","203,325","204,901","          0.99","403,209","180,511","          2.23","200,419","202,790","          0.99","397,015","181,579","          2.19","196,959","200,056","          0.98","394,702","185,920","          2.12","195,165","199,537","          0.98","387,350","185,712","          2.09","191,112","196,238","          0.97"
"서울특별시 성북구 (1129000000)","444,055","187,112","          2.37","216,556","227,499","          0.95","435,868","186,601","          2.34","211,904","223,964","          0.95","442,650","192,592","          2.30","214,437","228,213","          0.94","437,153","195,396","          2.24","210,810","226,343","          0.93","430,528","195,017","          2.21","207,578","222,950","          0.93"
"서울특별시 강북구 (1130500000)","324,479","142,533","          2.28","158,918","165,561","          0.96","319,164","143,395","          2.23","156,071","163,093","          0.96","313,954","144,277","          2.18","153,235","160,719","          0.95","308,055","145,896","          2.11","150,143","157,912","          0.95","299,182","144,536","          2.07","145,705","153,477","          0.95"
"서울특별시 도봉구 (1132000000)","344,166","137,378","          2.51","168,759","175,407","          0.96","339,413","138,087","          2.46","166,160","173,253","          0.96","333,362","138,508","          2.41","163,051","170,311","          0.96","325,257","139,114","          2.34","158,620","166,637","          0.95","317,366","138,656","          2.29","154,487","162,879","          0.95"
"서울특별시 노원구 (1135000000)","554,403","217,619","          2.55","269,508","284,895","          0.95","543,752","217,655","          2.50","263,919","279,833","          0.94","532,905","216,966","          2.46","257,923","274,982","          0.94","523,037","218,270","          2.40","252,383","270,654","          0.93","510,956","217,378","          2.35","246,053","264,903","          0.93"
"서울특별시 은평구 (1138000000)","486,794","202,839","          2.40","236,353","250,441","          0.94","483,197","205,001","          2.36","233,702","249,495","          0.94","480,032","207,681","          2.31","231,528","248,504","          0.93","479,835","213,914","          2.24","230,279","249,556","          0.92","473,307","214,711","          2.20","226,458","246,849","          0.92"
"서울특별시 서대문구 (1141000000)","312,800","137,266","          2.28","151,144","161,656","          0.93","310,313","138,549","          2.24","149,569","160,744","          0.93","309,397","140,157","          2.21","148,663","160,734","          0.92","312,173","144,838","          2.16","149,360","162,813","          0.92","304,819","143,647","          2.12","145,694","159,125","          0.92"
"서울특별시 마포구 (1144000000)","374,915","169,408","          2.21","178,939","195,976","          0.91","375,077","172,505","          2.17","178,240","196,837","          0.91","374,035","175,023","          2.14","176,891","197,144","          0.90","371,890","178,482","          2.08","175,150","196,740","          0.89","368,905","179,861","          2.05","173,504","195,401","          0.89"
"서울특별시 양천구 (1147000000)","471,154","176,649","          2.67","232,518","238,636","          0.97","464,185","176,498","          2.63","228,634","235,551","          0.97","458,165","177,256","          2.58","225,186","232,979","          0.97","454,251","180,633","          2.51","222,824","231,427","          0.96","447,302","181,404","          2.47","219,214","228,088","          0.96"
"서울특별시 강서구 (1150000000)","601,691","254,257","          2.37","292,989","308,702","          0.95","596,949","258,503","          2.31","290,079","306,870","          0.95","591,796","262,708","          2.25","286,563","305,233","          0.94","580,185","266,982","          2.17","280,034","300,151","          0.93","574,315","271,175","          2.12","276,292","298,023","          0.93"
"서울특별시 구로구 (1153000000)","410,742","171,570","          2.39","204,003","206,739","          0.99","404,497","172,457","          2.35","200,417","204,080","          0.98","406,664","176,568","          2.30","200,987","205,677","          0.98","404,408","180,531","          2.24","199,673","204,735","          0.98","396,754","180,929","          2.19","195,537","201,217","          0.97"
"서울특별시 금천구 (1154500000)","235,154","106,066","          2.22","119,497","115,657","          1.03","233,917","107,971","          2.17","118,915","115,002","          1.03","232,810","110,622","          2.10","118,209","114,601","          1.03","231,733","114,715","          2.02","117,226","114,507","          1.02","230,811","117,595","          1.96","116,527","114,284","          1.02"
"서울특별시 영등포구 (1156000000)","368,550","167,355","          2.20","183,975","184,575","          1.00","367,778","171,085","          2.15","183,224","184,554","          0.99","367,678","174,806","          2.10","182,438","185,240","          0.98","379,480","184,714","          2.05","187,647","191,833","          0.98","376,837","187,020","          2.01","185,926","190,911","          0.97"
"서울특별시 동작구 (1159000000)","396,217","172,995","          2.29","193,255","202,962","          0.95","396,203","177,176","          2.24","192,533","203,670","          0.95","395,963","180,753","          2.19","191,976","203,987","          0.94","391,220","184,229","          2.12","189,152","202,068","          0.94","385,483","184,812","          2.09","186,426","199,057","          0.94"
"서울특별시 관악구 (1162000000)","503,297","255,352","          1.97","253,661","249,636","          1.02","501,957","262,222","          1.91","252,160","249,797","          1.01","500,094","268,559","          1.86","251,009","249,085","          1.01","495,060","274,811","          1.80","248,339","246,721","          1.01","485,699","276,597","          1.76","243,991","241,708","          1.01"
"서울특별시 서초구 (1165000000)","441,102","173,594","          2.54","211,236","229,866","          0.92","433,951","172,918","          2.51","207,868","226,083","          0.92","430,826","173,199","          2.49","206,039","224,787","          0.92","425,126","173,502","          2.45","203,359","221,767","          0.92","412,279","170,244","          2.42","197,034","215,245","          0.92"
"서울특별시 강남구 (1168000000)","556,164","231,612","          2.40","266,442","289,722","          0.92","542,364","228,775","          2.37","259,611","282,753","          0.92","545,169","232,981","          2.34","260,806","284,363","          0.92","539,231","234,872","          2.30","257,999","281,232","          0.92","533,042","234,233","          2.28","255,047","277,995","          0.92"
"서울특별시 송파구 (1171000000)","664,496","264,628","          2.51","323,147","341,349","          0.95","666,635","270,866","          2.46","323,526","343,109","          0.94","675,961","278,711","          2.43","327,164","348,797","          0.94","667,960","281,959","          2.37","322,299","345,661","          0.93","658,338","282,417","          2.33","317,346","340,992","          0.93"
"서울특별시 강동구 (1174000000)","436,223","177,407","          2.46","216,777","219,446","          0.99","427,573","177,247","          2.41","211,816","215,757","          0.98","436,067","183,390","          2.38","215,335","220,732","          0.98","459,970","196,499","          2.34","226,216","233,754","          0.97","462,664","201,613","          2.29","227,002","235,662","          0.96"
