"행정구역","2017년_총인구수","2017년_세대수","2017년_세대당 인구","2017년_남자 인구수","2017년_여자 인구수","2017년_남여 비율","2018년_총인구수","2018년_세대수","2018년_세대당 인구","2018년_남자 인구수","2018년_여자 인구수","2018년_남여 비율","2019년_총인구수","2019년_세대수","2019년_세대당 인구","2019년_남자 인구수","2019년_여자 인구수","2019년_남여 비율","2020년_총인구수","2020년_세대수","2020년_세대당 인구","2020년_남자 인구수","2020년_여자 인구수","2020년_남여 비율","2021년_총인구수","2021년_세대수","2021년_세대당 인구","2021년_남자 인구수","2021년_여자 인구수","2021년_남여 비율"
"인천광역시  (2800000000)","2,948,542","1,188,917","          2.48","1,479,597","1,468,945","          1.01","2,954,642","1,213,201","          2.44","1,481,844","1,472,798","          1.01","2,957,026","1,238,641","          2.39","1,482,249","1,474,777","          1.01","2,942,828","1,267,956","          2.32","1,473,943","1,468,885","          1.00","2,948,375","1,298,647","          2.27","1,476,373","1,472,002","          1.00"
"인천광역시 중구 (2811000000)","117,999","54,525","          2.16","61,344","56,655","          1.08","122,499","57,887","          2.12","63,700","58,799","          1.08","135,135","65,002","          2.08","70,063","65,072","          1.08","139,729","68,379","          2.04","72,485","67,244","          1.08","143,633","71,061","          2.02","74,679","68,954","          1.08"
"인천광역시 동구 (2814000000)","69,487","29,870","          2.33","35,057","34,430","          1.02","66,233","28,952","          2.29","33,433","32,800","          1.02","64,427","28,739","          2.24","32,536","31,891","          1.02","62,542","28,777","          2.17","31,575","30,967","          1.02","61,486","28,681","          2.14","30,998","30,488","          1.02"
"인천광역시 남구 (2817000000)","419,267","182,292","          2.30","211,602","207,665","          1.02","","","","","","","","","","","","","","","","","","","","","","","",""
"인천광역시 미추홀구 (2817700000)","0","0","          0.00","0","0","          0.00","416,542","184,275","          2.26","210,088","206,454","          1.02","408,862","184,872","          2.21","206,129","202,733","          1.02","404,343","188,277","          2.15","203,638","200,705","          1.01","407,464","193,561","          2.11","205,283","202,181","          1.02"
"인천광역시 연수구 (2818500000)","335,142","123,913","          2.70","166,878","168,264","          0.99","346,359","129,806","          2.67","172,298","174,061","          0.99","366,550","140,700","          2.61","182,374","184,176","          0.99","387,450","152,266","          2.54","192,570","194,880","          0.99","389,644","155,984","          2.50","193,417","196,227","          0.99"
"인천광역시 남동구 (2820000000)","536,578","214,280","          2.50","267,290","269,288","          0.99","537,161","218,945","          2.45","267,426","269,735","          0.99","532,704","221,455","          2.41","264,955","267,749","          0.99","525,354","225,394","          2.33","260,923","264,431","          0.99","518,272","228,442","          2.27","257,468","260,804","          0.99"
"인천광역시 부평구 (2823700000)","539,941","215,192","          2.51","268,118","271,823","          0.99","524,640","212,906","          2.46","260,144","264,496","          0.98","511,577","211,851","          2.41","253,338","258,239","          0.98","494,962","211,305","          2.34","244,713","250,249","          0.98","486,765","213,372","          2.28","240,348","246,417","          0.98"
"인천광역시 계양구 (2824500000)","323,784","125,936","          2.57","161,925","161,859","          1.00","312,680","124,281","          2.52","156,128","156,552","          1.00","303,471","123,283","          2.46","151,569","151,902","          1.00","296,750","124,421","          2.39","147,976","148,774","          0.99","295,696","127,984","          2.31","147,316","148,380","          0.99"
"인천광역시 서구 (2826000000)","516,017","199,152","          2.59","260,649","255,368","          1.02","538,596","211,847","          2.54","272,153","266,443","          1.02","544,556","217,887","          2.50","274,942","269,614","          1.02","542,040","223,229","          2.43","273,778","268,262","          1.02","555,380","232,834","          2.39","280,398","274,982","          1.02"
"인천광역시 강화군 (2871000000)","68,754","31,869","          2.16","34,509","34,245","          1.01","68,896","32,556","          2.12","34,546","34,350","          1.01","69,178","33,163","          2.09","34,665","34,513","          1.00","69,203","33,915","          2.04","34,644","34,559","          1.00","69,693","34,667","          2.01","34,868","34,825","          1.00"
"인천광역시 옹진군 (2872000000)","21,573","11,888","          1.81","12,225","9,348","          1.31","21,036","11,746","          1.79","11,928","9,108","          1.31","20,566","11,689","          1.76","11,678","8,888","          1.31","20,455","11,993","          1.71","11,641","8,814","          1.32","20,342","12,061","          1.69","11,598","8,744","          1.33"
