"행정구역","2017년_총인구수","2017년_세대수","2017년_세대당 인구","2017년_남자 인구수","2017년_여자 인구수","2017년_남여 비율","2018년_총인구수","2018년_세대수","2018년_세대당 인구","2018년_남자 인구수","2018년_여자 인구수","2018년_남여 비율","2019년_총인구수","2019년_세대수","2019년_세대당 인구","2019년_남자 인구수","2019년_여자 인구수","2019년_남여 비율","2020년_총인구수","2020년_세대수","2020년_세대당 인구","2020년_남자 인구수","2020년_여자 인구수","2020년_남여 비율","2021년_총인구수","2021년_세대수","2021년_세대당 인구","2021년_남자 인구수","2021년_여자 인구수","2021년_남여 비율"
"전라남도  (4600000000)","1,896,424","851,376","          2.23","948,290","948,134","          1.00","1,882,970","860,303","          2.19","943,000","939,970","          1.00","1,868,745","872,628","          2.14","937,674","931,071","          1.01","1,851,549","893,152","          2.07","930,615","920,934","          1.01","1,832,803","903,108","          2.03","922,221","910,582","          1.01"
"전라남도 목포시 (4611000000)","234,379","100,845","          2.32","116,763","117,616","          0.99","232,327","101,609","          2.29","115,729","116,598","          0.99","229,861","102,481","          2.24","114,565","115,296","          0.99","224,044","103,316","          2.17","111,578","112,466","          0.99","218,589","103,162","          2.12","108,808","109,781","          0.99"
"전라남도 여수시 (4613000000)","286,382","119,684","          2.39","145,122","141,260","          1.03","283,300","120,810","          2.35","143,802","139,498","          1.03","282,786","123,677","          2.29","143,791","138,995","          1.03","280,242","126,988","          2.21","142,995","137,247","          1.04","276,762","128,169","          2.16","141,074","135,688","          1.04"
"전라남도 순천시 (4615000000)","279,331","111,677","          2.50","139,167","140,164","          0.99","279,389","113,942","          2.45","139,114","140,275","          0.99","279,598","116,946","          2.39","139,324","140,274","          0.99","282,189","121,488","          2.32","140,772","141,417","          1.00","281,436","124,029","          2.27","140,466","140,970","          1.00"
"전라남도 나주시 (4617000000)","110,110","52,303","          2.11","55,396","54,714","          1.01","113,839","54,872","          2.07","57,274","56,565","          1.01","114,664","56,090","          2.04","57,668","56,996","          1.01","115,613","58,025","          1.99","58,194","57,419","          1.01","116,726","59,292","          1.97","58,906","57,820","          1.02"
"전라남도 광양시 (4623000000)","155,857","62,790","          2.48","80,301","75,556","          1.06","156,564","64,186","          2.44","80,972","75,592","          1.07","156,750","65,725","          2.38","81,365","75,385","          1.08","151,769","65,668","          2.31","79,144","72,625","          1.09","150,531","67,103","          2.24","78,626","71,905","          1.09"
"전라남도 담양군 (4671000000)","47,285","22,710","          2.08","23,746","23,539","          1.01","46,917","23,129","          2.03","23,683","23,234","          1.02","46,535","23,521","          1.98","23,719","22,816","          1.04","46,280","24,369","          1.90","23,502","22,778","          1.03","46,180","24,773","          1.86","23,428","22,752","          1.03"
"전라남도 곡성군 (4672000000)","30,131","15,090","          2.00","14,643","15,488","          0.95","29,624","15,132","          1.96","14,417","15,207","          0.95","28,887","15,289","          1.89","14,114","14,773","          0.96","28,039","15,414","          1.82","13,707","14,332","          0.96","27,535","15,536","          1.77","13,540","13,995","          0.97"
"전라남도 구례군 (4673000000)","27,525","13,106","          2.10","13,392","14,133","          0.95","27,117","13,151","          2.06","13,191","13,926","          0.95","26,563","13,243","          2.01","12,924","13,639","          0.95","25,719","13,414","          1.92","12,519","13,200","          0.95","25,235","13,462","          1.87","12,285","12,950","          0.95"
"전라남도 고흥군 (4677000000)","66,736","34,516","          1.93","32,112","34,624","          0.93","65,777","34,536","          1.90","31,783","33,994","          0.93","64,913","34,791","          1.87","31,445","33,468","          0.94","63,922","35,290","          1.81","31,051","32,871","          0.94","62,762","35,379","          1.77","30,569","32,193","          0.95"
"전라남도 보성군 (4678000000)","43,755","22,428","          1.95","21,153","22,602","          0.94","42,803","22,459","          1.91","20,725","22,078","          0.94","41,420","22,276","          1.86","20,063","21,357","          0.94","40,482","22,628","          1.79","19,719","20,763","          0.95","39,375","22,511","          1.75","19,221","20,154","          0.95"
"전라남도 화순군 (4679000000)","64,680","29,671","          2.18","31,838","32,842","          0.97","63,933","29,928","          2.14","31,488","32,445","          0.97","62,737","30,103","          2.08","31,061","31,676","          0.98","62,522","31,090","          2.01","30,906","31,616","          0.98","62,624","32,012","          1.96","30,910","31,714","          0.97"
"전라남도 장흥군 (4680000000)","40,136","20,232","          1.98","19,499","20,637","          0.94","39,312","20,139","          1.95","19,085","20,227","          0.94","38,563","20,143","          1.91","18,690","19,873","          0.94","37,800","20,431","          1.85","18,381","19,419","          0.95","36,547","20,103","          1.82","17,785","18,762","          0.95"
"전라남도 강진군 (4681000000)","36,868","18,358","          2.01","17,731","19,137","          0.93","36,144","18,352","          1.97","17,350","18,794","          0.92","35,286","18,351","          1.92","16,944","18,342","          0.92","34,597","18,612","          1.86","16,715","17,882","          0.93","33,753","18,592","          1.82","16,359","17,394","          0.94"
"전라남도 해남군 (4682000000)","73,604","35,071","          2.10","35,867","37,737","          0.95","71,901","34,745","          2.07","35,253","36,648","          0.96","70,354","34,824","          2.02","34,642","35,712","          0.97","68,806","35,259","          1.95","33,975","34,831","          0.98","67,166","35,225","          1.91","33,273","33,893","          0.98"
"전라남도 영암군 (4683000000)","55,616","26,885","          2.07","28,502","27,114","          1.05","54,731","26,851","          2.04","28,118","26,613","          1.06","54,593","27,362","          2.00","28,027","26,566","          1.05","53,699","27,827","          1.93","27,595","26,104","          1.06","52,937","28,197","          1.88","27,485","25,452","          1.08"
"전라남도 무안군 (4684000000)","82,872","36,235","          2.29","41,473","41,399","          1.00","81,991","36,410","          2.25","41,104","40,887","          1.01","81,105","36,722","          2.21","40,659","40,446","          1.01","86,132","40,114","          2.15","43,254","42,878","          1.01","91,107","42,739","          2.13","45,753","45,354","          1.01"
"전라남도 함평군 (4686000000)","34,328","17,790","          1.93","17,004","17,324","          0.98","33,420","17,751","          1.88","16,642","16,778","          0.99","32,861","17,837","          1.84","16,404","16,457","          1.00","32,050","17,995","          1.78","16,062","15,988","          1.00","31,274","17,980","          1.74","15,730","15,544","          1.01"
"전라남도 영광군 (4687000000)","54,774","26,244","          2.09","27,296","27,478","          0.99","54,127","26,378","          2.05","27,000","27,127","          1.00","53,852","26,687","          2.02","26,828","27,024","          0.99","53,099","27,138","          1.96","26,468","26,631","          0.99","51,985","27,112","          1.92","25,959","26,026","          1.00"
"전라남도 장성군 (4688000000)","46,111","21,885","          2.11","23,300","22,811","          1.02","45,795","22,095","          2.07","23,205","22,590","          1.03","45,739","22,850","          2.00","23,489","22,250","          1.06","44,464","23,178","          1.92","22,781","21,683","          1.05","43,365","23,160","          1.87","22,206","21,159","          1.05"
"전라남도 완도군 (4689000000)","52,109","25,750","          2.02","26,092","26,017","          1.00","51,477","25,835","          1.99","25,822","25,655","          1.01","50,689","25,872","          1.96","25,457","25,232","          1.01","49,916","26,241","          1.90","25,099","24,817","          1.01","48,631","26,029","          1.87","24,475","24,156","          1.01"
"전라남도 진도군 (4690000000)","31,765","16,060","          1.98","15,592","16,173","          0.96","31,219","16,110","          1.94","15,328","15,891","          0.96","30,715","16,102","          1.91","15,093","15,622","          0.97","31,227","16,840","          1.85","15,429","15,798","          0.98","30,066","16,700","          1.80","14,908","15,158","          0.98"
"전라남도 신안군 (4691000000)","42,070","22,046","          1.91","22,301","19,769","          1.13","41,263","21,883","          1.89","21,915","19,348","          1.13","40,274","21,736","          1.85","21,402","18,872","          1.13","38,938","21,827","          1.78","20,769","18,169","          1.14","38,217","21,843","          1.75","20,455","17,762","          1.15"
