"행정구역","2017년_총인구수","2017년_세대수","2017년_세대당 인구","2017년_남자 인구수","2017년_여자 인구수","2017년_남여 비율","2018년_총인구수","2018년_세대수","2018년_세대당 인구","2018년_남자 인구수","2018년_여자 인구수","2018년_남여 비율","2019년_총인구수","2019년_세대수","2019년_세대당 인구","2019년_남자 인구수","2019년_여자 인구수","2019년_남여 비율","2020년_총인구수","2020년_세대수","2020년_세대당 인구","2020년_남자 인구수","2020년_여자 인구수","2020년_남여 비율","2021년_총인구수","2021년_세대수","2021년_세대당 인구","2021년_남자 인구수","2021년_여자 인구수","2021년_남여 비율"
"전라북도  (4500000000)","1,854,607","797,916","          2.32","922,307","932,300","          0.99","1,836,832","806,235","          2.28","913,297","923,535","          0.99","1,818,917","816,191","          2.23","904,110","914,807","          0.99","1,804,104","836,660","          2.16","896,874","907,230","          0.99","1,786,855","849,001","          2.10","888,994","897,861","          0.99"
"전라북도 전주시 (4511000000)","648,964","260,683","          2.49","319,442","329,522","          0.97","651,091","266,541","          2.44","320,576","330,515","          0.97","654,394","273,753","          2.39","322,236","332,158","          0.97","657,432","284,106","          2.31","323,542","333,890","          0.97","657,269","293,207","          2.24","323,427","333,842","          0.97"
"전라북도 전주시 완산구 (4511100000)","359,012","144,937","          2.48","175,076","183,936","          0.95","345,065","142,949","          2.41","168,181","176,884","          0.95","338,839","143,731","          2.36","165,180","173,659","          0.95","339,718","149,040","          2.28","165,413","174,305","          0.95","335,804","152,056","          2.21","163,494","172,310","          0.95"
"전라북도 전주시 덕진구 (4511300000)","289,952","115,746","          2.51","144,366","145,586","          0.99","306,026","123,592","          2.48","152,395","153,631","          0.99","315,555","130,022","          2.43","157,056","158,499","          0.99","317,714","135,066","          2.35","158,129","159,585","          0.99","321,465","141,151","          2.28","159,933","161,532","          0.99"
"전라북도 군산시 (4513000000)","274,997","115,657","          2.38","139,246","135,751","          1.03","272,645","117,068","          2.33","137,897","134,748","          1.02","270,131","118,264","          2.28","136,421","133,710","          1.02","267,859","121,220","          2.21","135,332","132,527","          1.02","265,304","122,250","          2.17","134,290","131,014","          1.03"
"전라북도 익산시 (4514000000)","300,187","126,333","          2.38","149,587","150,600","          0.99","294,062","126,516","          2.32","146,494","147,568","          0.99","287,771","126,876","          2.27","143,392","144,379","          0.99","282,276","128,400","          2.20","140,573","141,703","          0.99","278,113","129,962","          2.14","138,427","139,686","          0.99"
"전라북도 정읍시 (4518000000)","113,776","52,722","          2.16","56,365","57,411","          0.98","112,169","53,110","          2.11","55,529","56,640","          0.98","110,541","53,582","          2.06","54,736","55,805","          0.98","108,508","54,335","          2.00","53,791","54,717","          0.98","106,487","54,242","          1.96","52,892","53,595","          0.99"
"전라북도 남원시 (4519000000)","83,281","37,686","          2.21","40,868","42,413","          0.96","82,554","38,054","          2.17","40,508","42,046","          0.96","81,441","38,427","          2.12","39,884","41,557","          0.96","80,662","39,457","          2.04","39,560","41,102","          0.96","79,431","39,670","          2.00","38,965","40,466","          0.96"
"전라북도 김제시 (4521000000)","86,926","41,712","          2.08","43,110","43,816","          0.98","85,331","41,618","          2.05","42,357","42,974","          0.99","83,895","41,850","          2.00","41,624","42,271","          0.98","82,450","42,459","          1.94","40,844","41,606","          0.98","80,913","42,509","          1.90","40,193","40,720","          0.99"
"전라북도 완주군 (4571000000)","95,975","41,835","          2.29","49,282","46,693","          1.06","94,444","41,881","          2.26","48,457","45,987","          1.05","92,220","41,800","          2.21","47,290","44,930","          1.05","91,609","43,275","          2.12","47,077","44,532","          1.06","91,142","44,020","          2.07","46,845","44,297","          1.06"
"전라북도 진안군 (4572000000)","26,271","12,927","          2.03","13,149","13,122","          1.00","25,963","13,023","          1.99","13,030","12,933","          1.01","25,697","13,131","          1.96","12,966","12,731","          1.02","25,394","13,406","          1.89","12,832","12,562","          1.02","24,987","13,494","          1.85","12,667","12,320","          1.03"
"전라북도 무주군 (4573000000)","24,809","12,001","          2.07","12,294","12,515","          0.98","24,589","12,204","          2.01","12,209","12,380","          0.99","24,303","12,421","          1.96","12,090","12,213","          0.99","24,036","12,674","          1.90","11,959","12,077","          0.99","23,748","12,823","          1.85","11,826","11,922","          0.99"
"전라북도 장수군 (4574000000)","23,003","11,144","          2.06","11,410","11,593","          0.98","23,221","11,327","          2.05","11,533","11,688","          0.99","22,441","11,308","          1.98","11,165","11,276","          0.99","22,085","11,554","          1.91","11,000","11,085","          0.99","21,695","11,584","          1.87","10,812","10,883","          0.99"
"전라북도 임실군 (4575000000)","30,162","14,557","          2.07","15,391","14,771","          1.04","30,072","14,790","          2.03","15,288","14,784","          1.03","28,902","14,788","          1.95","14,659","14,243","          1.03","27,314","14,801","          1.85","13,966","13,348","          1.05","26,730","14,899","          1.79","13,692","13,038","          1.05"
"전라북도 순창군 (4577000000)","29,698","13,872","          2.14","14,349","15,349","          0.93","29,209","13,877","          2.10","14,156","15,053","          0.94","28,382","13,816","          2.05","13,756","14,626","          0.94","27,810","14,097","          1.97","13,520","14,290","          0.95","26,855","13,996","          1.92","13,189","13,666","          0.97"
"전라북도 고창군 (4579000000)","60,472","29,159","          2.07","29,934","30,538","          0.98","57,041","28,802","          1.98","28,215","28,826","          0.98","55,504","28,735","          1.93","27,418","28,086","          0.98","54,529","29,057","          1.88","26,964","27,565","          0.98","53,386","28,757","          1.86","26,507","26,879","          0.99"
"전라북도 부안군 (4580000000)","56,086","27,628","          2.03","27,880","28,206","          0.99","54,441","27,424","          1.99","27,048","27,393","          0.99","53,295","27,440","          1.94","26,473","26,822","          0.99","52,140","27,819","          1.87","25,914","26,226","          0.99","50,795","27,588","          1.84","25,262","25,533","          0.99"
