"행정구역","2017년_총인구수","2017년_세대수","2017년_세대당 인구","2017년_남자 인구수","2017년_여자 인구수","2017년_남여 비율","2018년_총인구수","2018년_세대수","2018년_세대당 인구","2018년_남자 인구수","2018년_여자 인구수","2018년_남여 비율","2019년_총인구수","2019년_세대수","2019년_세대당 인구","2019년_남자 인구수","2019년_여자 인구수","2019년_남여 비율","2020년_총인구수","2020년_세대수","2020년_세대당 인구","2020년_남자 인구수","2020년_여자 인구수","2020년_남여 비율","2021년_총인구수","2021년_세대수","2021년_세대당 인구","2021년_남자 인구수","2021년_여자 인구수","2021년_남여 비율"
"전국  (1000000000)","51,778,544","21,632,851","          2.39","25,855,919","25,922,625","          1.00","51,826,059","22,042,947","          2.35","25,866,129","25,959,930","          1.00","51,849,861","22,481,466","          2.31","25,864,816","25,985,045","          1.00","51,829,023","23,093,108","          2.24","25,841,029","25,987,994","          0.99","51,638,809","23,472,895","          2.20","25,746,684","25,892,125","          0.99"
"서울특별시  (1100000000)","9,857,426","4,220,082","          2.34","4,830,206","5,027,220","          0.96","9,765,623","4,263,868","          2.29","4,773,899","4,991,724","          0.96","9,729,107","4,327,605","          2.25","4,744,059","4,985,048","          0.95","9,668,465","4,417,954","          2.19","4,701,723","4,966,742","          0.95","9,509,458","4,426,007","          2.15","4,618,040","4,891,418","          0.94"
"부산광역시  (2600000000)","3,470,653","1,467,555","          2.36","1,709,508","1,761,145","          0.97","3,441,453","1,480,468","          2.32","1,692,421","1,749,032","          0.97","3,413,841","1,497,908","          2.28","1,675,417","1,738,424","          0.96","3,391,946","1,530,431","          2.22","1,661,000","1,730,946","          0.96","3,350,380","1,544,663","          2.17","1,639,044","1,711,336","          0.96"
"대구광역시  (2700000000)","2,475,231","1,006,753","          2.46","1,227,814","1,247,417","          0.98","2,461,769","1,021,266","          2.41","1,219,342","1,242,427","          0.98","2,438,031","1,031,251","          2.36","1,205,286","1,232,745","          0.98","2,418,346","1,056,627","          2.29","1,193,109","1,225,237","          0.97","2,385,412","1,063,893","          2.24","1,175,632","1,209,780","          0.97"
"인천광역시  (2800000000)","2,948,542","1,188,917","          2.48","1,479,597","1,468,945","          1.01","2,954,642","1,213,201","          2.44","1,481,844","1,472,798","          1.01","2,957,026","1,238,641","          2.39","1,482,249","1,474,777","          1.01","2,942,828","1,267,956","          2.32","1,473,943","1,468,885","          1.00","2,948,375","1,298,647","          2.27","1,476,373","1,472,002","          1.00"
"광주광역시  (2900000000)","1,463,770","592,818","          2.47","725,295","738,475","          0.98","1,459,336","603,107","          2.42","722,581","736,755","          0.98","1,456,468","616,485","          2.36","720,740","735,728","          0.98","1,450,062","633,582","          2.29","717,348","732,714","          0.98","1,441,611","645,712","          2.23","713,015","728,596","          0.98"
"대전광역시  (3000000000)","1,502,227","614,639","          2.44","750,969","751,258","          1.00","1,489,936","624,965","          2.38","744,338","745,598","          1.00","1,474,870","635,343","          2.32","736,607","738,263","          1.00","1,463,882","652,783","          2.24","730,699","733,183","          1.00","1,452,251","664,417","          2.19","724,626","727,625","          1.00"
"울산광역시  (3100000000)","1,165,132","458,547","          2.54","599,480","565,652","          1.06","1,155,623","461,756","          2.50","593,819","561,804","          1.06","1,148,019","468,659","          2.45","589,712","558,307","          1.06","1,136,017","476,893","          2.38","583,708","552,309","          1.06","1,121,592","482,650","          2.32","576,217","545,375","          1.06"
"세종특별자치시  (3600000000)","280,100","109,490","          2.56","139,734","140,366","          1.00","314,126","123,762","          2.54","156,831","157,295","          1.00","340,575","135,408","          2.52","169,845","170,730","          0.99","355,831","144,275","          2.47","177,568","178,263","          1.00","371,895","153,649","          2.42","185,678","186,217","          1.00"
"경기도  (4100000000)","12,873,895","5,131,379","          2.51","6,475,323","6,398,572","          1.01","13,077,153","5,306,214","          2.46","6,577,501","6,499,652","          1.01","13,239,666","5,468,920","          2.42","6,659,995","6,579,671","          1.01","13,427,014","5,676,401","          2.37","6,754,469","6,672,545","          1.01","13,565,450","5,841,995","          2.32","6,827,298","6,738,152","          1.01"
"강원도  (4200000000)","1,550,142","700,265","          2.21","780,635","769,507","          1.01","1,543,052","707,245","          2.18","776,456","766,596","          1.01","1,541,502","719,524","          2.14","775,386","766,116","          1.01","1,542,840","736,301","          2.10","776,505","766,335","          1.01","1,538,492","746,220","          2.06","774,332","764,160","          1.01"
"충청북도  (4300000000)","1,594,432","692,140","          2.30","805,091","789,341","          1.02","1,599,252","707,220","          2.26","808,971","790,281","          1.02","1,600,007","722,123","          2.22","810,384","789,623","          1.03","1,600,837","745,644","          2.15","811,591","789,246","          1.03","1,597,427","760,672","          2.10","810,672","786,755","          1.03"
