"행정구역","2017년_총인구수","2017년_세대수","2017년_세대당 인구","2017년_남자 인구수","2017년_여자 인구수","2017년_남여 비율","2018년_총인구수","2018년_세대수","2018년_세대당 인구","2018년_남자 인구수","2018년_여자 인구수","2018년_남여 비율","2019년_총인구수","2019년_세대수","2019년_세대당 인구","2019년_남자 인구수","2019년_여자 인구수","2019년_남여 비율","2020년_총인구수","2020년_세대수","2020년_세대당 인구","2020년_남자 인구수","2020년_여자 인구수","2020년_남여 비율","2021년_총인구수","2021년_세대수","2021년_세대당 인구","2021년_남자 인구수","2021년_여자 인구수","2021년_남여 비율"
"충청남도  (4400000000)","2,116,770","923,499","          2.29","1,076,270","1,040,500","          1.03","2,126,282","943,611","          2.25","1,082,009","1,044,273","          1.04","2,123,709","959,255","          2.21","1,081,938","1,041,771","          1.04","2,121,029","983,153","          2.16","1,082,634","1,038,395","          1.04","2,119,257","1,001,915","          2.12","1,083,366","1,035,891","          1.05"
"충청남도 천안시 (4413000000)","631,531","263,434","          2.40","321,435","310,096","          1.04","646,075","273,851","          2.36","329,079","316,996","          1.04","652,258","281,333","          2.32","332,447","319,811","          1.04","658,808","291,425","          2.26","336,221","322,587","          1.04","658,486","297,987","          2.21","336,612","321,874","          1.05"
"충청남도 천안시 동남구 (4413100000)","255,878","108,090","          2.37","129,875","126,003","          1.03","257,978","110,982","          2.32","130,988","126,990","          1.03","259,411","113,406","          2.29","131,586","127,825","          1.03","258,009","115,586","          2.23","130,719","127,290","          1.03","255,292","116,963","          2.18","129,399","125,893","          1.03"
"충청남도 천안시 서북구 (4413300000)","375,653","155,344","          2.42","191,560","184,093","          1.04","388,097","162,869","          2.38","198,091","190,006","          1.04","392,847","167,927","          2.34","200,861","191,986","          1.05","400,799","175,839","          2.28","205,502","195,297","          1.05","403,194","181,024","          2.23","207,213","195,981","          1.06"
"충청남도 공주시 (4415000000)","108,432","49,393","          2.20","54,437","53,995","          1.01","107,581","50,134","          2.15","53,979","53,602","          1.01","106,474","50,519","          2.11","53,343","53,131","          1.00","104,545","50,966","          2.05","52,297","52,248","          1.00","103,145","51,580","          2.00","51,459","51,686","          1.00"
"충청남도 보령시 (4418000000)","103,198","47,407","          2.18","52,214","50,984","          1.02","101,990","47,705","          2.14","51,580","50,410","          1.02","101,114","48,324","          2.09","51,146","49,968","          1.02","100,229","49,361","          2.03","50,807","49,422","          1.03","98,408","49,419","          1.99","49,933","48,475","          1.03"
"충청남도 아산시 (4420000000)","311,453","129,188","          2.41","160,483","150,970","          1.06","312,822","132,159","          2.37","161,546","151,276","          1.07","314,395","135,159","          2.33","162,694","151,701","          1.07","316,129","139,580","          2.26","164,115","152,014","          1.08","324,580","145,869","          2.23","168,881","155,699","          1.08"
"충청남도 서산시 (4421000000)","171,678","72,469","          2.37","88,359","83,319","          1.06","174,162","75,091","          2.32","89,793","84,369","          1.06","174,690","76,748","          2.28","90,348","84,342","          1.07","175,591","79,103","          2.22","91,399","84,192","          1.09","176,645","81,407","          2.17","92,122","84,523","          1.09"
"충청남도 논산시 (4423000000)","122,240","56,679","          2.16","61,204","61,036","          1.00","120,230","56,729","          2.12","60,113","60,117","          1.00","118,842","57,196","          2.08","59,406","59,436","          1.00","116,675","57,826","          2.02","58,316","58,359","          1.00","114,483","58,048","          1.97","57,147","57,336","          1.00"
"충청남도 계룡시 (4425000000)","43,967","15,647","          2.81","21,834","22,133","          0.99","43,731","15,860","          2.76","21,674","22,057","          0.98","42,971","15,967","          2.69","21,338","21,633","          0.99","42,822","16,531","          2.59","21,343","21,479","          0.99","43,331","17,152","          2.53","21,563","21,768","          0.99"
