"행정구역","2017년_총인구수","2017년_세대수","2017년_세대당 인구","2017년_남자 인구수","2017년_여자 인구수","2017년_남여 비율","2018년_총인구수","2018년_세대수","2018년_세대당 인구","2018년_남자 인구수","2018년_여자 인구수","2018년_남여 비율","2019년_총인구수","2019년_세대수","2019년_세대당 인구","2019년_남자 인구수","2019년_여자 인구수","2019년_남여 비율","2020년_총인구수","2020년_세대수","2020년_세대당 인구","2020년_남자 인구수","2020년_여자 인구수","2020년_남여 비율","2021년_총인구수","2021년_세대수","2021년_세대당 인구","2021년_남자 인구수","2021년_여자 인구수","2021년_남여 비율"
"충청북도  (4300000000)","1,594,432","692,140","          2.30","805,091","789,341","          1.02","1,599,252","707,220","          2.26","808,971","790,281","          1.02","1,600,007","722,123","          2.22","810,384","789,623","          1.03","1,600,837","745,644","          2.15","811,591","789,246","          1.03","1,597,427","760,672","          2.10","810,672","786,755","          1.03"
"충청북도 청주시 (4311000000)","835,590","346,000","          2.42","419,676","415,914","          1.01","837,749","353,320","          2.37","421,774","415,975","          1.01","839,566","360,496","          2.33","422,864","416,702","          1.01","844,993","376,252","          2.25","425,848","419,145","          1.02","848,482","387,016","          2.19","427,881","420,601","          1.02"
"충청북도 청주시 상당구 (4311100000)","171,129","69,624","          2.46","85,402","85,727","          1.00","176,818","72,401","          2.44","88,060","88,758","          0.99","178,352","73,870","          2.41","88,765","89,587","          0.99","190,034","81,185","          2.34","94,480","95,554","          0.99","193,827","84,548","          2.29","96,267","97,560","          0.99"
"충청북도 청주시 서원구 (4311200000)","216,782","88,484","          2.45","107,632","109,150","          0.99","209,404","87,678","          2.39","104,071","105,333","          0.99","203,209","87,148","          2.33","100,853","102,356","          0.99","194,720","87,404","          2.23","96,695","98,025","          0.99","192,899","89,194","          2.16","95,958","96,941","          0.99"
"충청북도 청주시 흥덕구 (4311300000)","253,912","106,959","          2.37","128,106","125,806","          1.02","254,302","109,293","          2.33","128,949","125,353","          1.03","262,137","114,477","          2.29","132,999","129,138","          1.03","265,866","120,261","          2.21","134,958","130,908","          1.03","267,429","123,699","          2.16","135,780","131,649","          1.03"
"충청북도 청주시 청원구 (4311400000)","193,767","80,933","          2.39","98,536","95,231","          1.03","197,225","83,948","          2.35","100,694","96,531","          1.04","195,868","85,001","          2.30","100,247","95,621","          1.05","194,373","87,402","          2.22","99,715","94,658","          1.05","194,327","89,575","          2.17","99,876","94,451","          1.06"
"충청북도 충주시 (4313000000)","208,316","90,246","          2.31","105,000","103,316","          1.02","210,504","93,163","          2.26","106,222","104,282","          1.02","210,737","95,648","          2.20","106,569","104,168","          1.02","210,186","98,020","          2.14","106,273","103,913","          1.02","209,358","99,651","          2.10","105,932","103,426","          1.02"
"충청북도 제천시 (4315000000)","136,432","61,949","          2.20","68,428","68,004","          1.01","135,386","62,367","          2.17","67,792","67,594","          1.00","134,617","63,417","          2.12","67,459","67,158","          1.00","133,018","63,945","          2.08","66,705","66,313","          1.01","131,591","64,540","          2.04","66,170","65,421","          1.01"
"충청북도 보은군 (4372000000)","34,053","16,501","          2.06","17,009","17,044","          1.00","33,680","16,600","          2.03","16,834","16,846","          1.00","32,949","16,684","          1.97","16,531","16,418","          1.01","32,412","16,981","          1.91","16,292","16,120","          1.01","31,878","17,039","          1.87","16,074","15,804","          1.02"
"충청북도 옥천군 (4373000000)","51,766","23,290","          2.22","26,049","25,717","          1.01","51,465","23,681","          2.17","25,911","25,554","          1.01","51,023","24,004","          2.13","25,707","25,316","          1.02","50,527","24,437","          2.07","25,489","25,038","          1.02","50,093","25,104","          2.00","25,242","24,851","          1.02"
"충청북도 영동군 (4374000000)","50,240","24,132","          2.08","24,960","25,280","          0.99","49,715","24,370","          2.04","24,663","25,052","          0.98","48,738","24,509","          1.99","24,181","24,557","          0.98","47,475","24,414","          1.94","23,624","23,851","          0.99","45,773","23,813","          1.92","22,810","22,963","          0.99"
"충청북도 증평군 (4374500000)","37,783","16,694","          2.26","19,446","18,337","          1.06","37,317","16,854","          2.21","19,229","18,088","          1.06","37,392","17,283","          2.16","19,350","18,042","          1.07","36,807","17,697","          2.08","19,129","17,678","          1.08","36,426","17,832","          2.04","18,993","17,433","          1.09"
"충청북도 진천군 (4375000000)","73,677","32,898","          2.24","38,314","35,363","          1.08","78,218","35,276","          2.22","40,839","37,379","          1.09","81,084","37,213","          2.18","42,388","38,696","          1.10","83,718","39,594","          2.11","43,836","39,882","          1.10","85,176","41,323","          2.06","44,715","40,461","          1.11"
"충청북도 괴산군 (4376000000)","39,054","20,577","          1.90","19,855","19,199","          1.03","39,133","20,899","          1.87","19,924","19,209","          1.04","39,163","21,256","          1.84","20,013","19,150","          1.05","39,393","22,145","          1.78","20,225","19,168","          1.06","38,122","21,851","          1.74","19,612","18,510","          1.06"
"충청북도 음성군 (4377000000)","97,306","45,069","          2.16","51,156","46,150","          1.11","95,830","45,571","          2.10","50,546","45,284","          1.12","94,982","46,402","          2.05","50,264","44,718","          1.12","93,153","46,831","          1.99","49,388","43,765","          1.13","92,197","47,431","          1.94","48,883","43,314","          1.13"
"충청북도 단양군 (4380000000)","30,215","14,784","          2.04","15,198","15,017","          1.01","30,255","15,119","          2.00","15,237","15,018","          1.01","29,756","15,211","          1.96","15,058","14,698","          1.02","29,155","15,328","          1.90","14,782","14,373","          1.03","28,331","15,072","          1.88","14,360","13,971","          1.03"
