사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021012600100309,2021년 1월 26일 15시,화요일,대구광역시 동구 신서동,사망사고,1,0,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 젖음/습기,비,교차로 - 교차로횡단보도내,건설기계,남,52세,상해없음,보행자,여,72세,사망
2021012600100471,2021년 1월 26일 19시,화요일,대구광역시 북구 노원동3가,사망사고,1,0,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,화물,남,65세,상해없음,보행자,여,64세,사망
2021012900100141,2021년 1월 29일 09시,금요일,대구광역시 달서구 월성동,사망사고,1,0,0,0,차대사람 - 횡단중,과속,포장 - 건조,맑음,단일로 - 기타,승용,남,62세,상해없음,보행자,남,63세,사망
2021020500100353,2021년 2월 5일 16시,금요일,대구광역시 중구 교동,사망사고,1,0,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,56세,상해없음,보행자,여,87세,사망
2021031400100350,2021년 3월 14일 20시,일요일,대구광역시 북구 태전동,사망사고,1,0,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,44세,상해없음,보행자,여,57세,사망
2021032300100170,2021년 3월 23일 11시,화요일,대구광역시 북구 산격동,사망사고,1,0,0,0,차대사람 - 기타,기타,포장 - 건조,맑음,단일로 - 기타,승합,남,58세,상해없음,보행자,여,82세,사망
2021032400100033,2021년 3월 24일 05시,수요일,대구광역시 달서구 감삼동,사망사고,1,0,0,0,차대사람 - 기타,과속,포장 - 건조,맑음,단일로 - 기타,화물,남,45세,상해없음,보행자,여,79세,사망
2021032800100040,2021년 3월 28일 01시,일요일,대구광역시 달서구 상인동,사망사고,1,0,0,0,차대사람 - 차도통행중,과속,포장 - 젖음/습기,비,교차로 - 교차로부근,승용,남,42세,상해없음,보행자,남,23세,사망
2021041000100610,2021년 4월 10일 23시,토요일,대구광역시 달성군 다사읍,사망사고,1,0,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,53세,상해없음,보행자,남,61세,사망
2021050400100194,2021년 5월 4일 12시,화요일,대구광역시 동구 신천동,사망사고,1,0,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,29세,상해없음,보행자,여,82세,사망
2021051000100317,2021년 5월 10일 15시,월요일,대구광역시 서구 내당동,사망사고,1,0,0,0,차대사람 - 보도통행중,기타,포장 - 젖음/습기,비,교차로 - 교차로부근,승용,여,63세,상해없음,보행자,여,81세,사망
2021052600100308,2021년 5월 26일 15시,수요일,대구광역시 중구 동성로3가,사망사고,1,0,0,0,차대사람 - 보도통행중,중앙선침범,포장 - 건조,맑음,단일로 - 기타,화물,남,31세,상해없음,보행자,남,78세,사망
2021060100100610,2021년 6월 1일 22시,화요일,대구광역시 서구 비산동,사망사고,1,0,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,53세,상해없음,보행자,남,57세,사망
2021060200100041,2021년 6월 2일 06시,수요일,대구광역시 남구 이천동,사망사고,1,0,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,이륜,남,57세,상해없음,보행자,여,60세,사망
2021062700100037,2021년 6월 27일 01시,일요일,대구광역시 달서구 용산동,사망사고,1,0,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,47세,상해없음,보행자,남,32세,사망
2021070500100309,2021년 7월 5일 14시,월요일,대구광역시 달성군 화원읍,사망사고,1,0,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,37세,상해없음,보행자,여,75세,사망
2021070800100220,2021년 7월 8일 11시,목요일,대구광역시 중구 태평로2가,사망사고,1,0,0,0,차대사람 - 기타,안전운전불이행,포장 - 기타,비,단일로 - 기타,자전거,남,48세,사망,보행자,기타불명,미분류,기타불명
2021071700100013,2021년 7월 17일 00시,토요일,대구광역시 달성군 현풍읍,사망사고,1,0,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,32세,상해없음,보행자,남,48세,사망
2021073000100038,2021년 7월 30일 06시,금요일,대구광역시 북구 침산동,사망사고,1,0,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승합,남,62세,상해없음,보행자,남,89세,사망
2021073100100292,2021년 7월 31일 14시,토요일,대구광역시 북구 산격동,사망사고,1,0,0,0,차대사람 - 기타,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,승용,여,60세,상해없음,보행자,남,78세,사망
