사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2018010100100261,2018년 1월 1일 15시,월요일,강원도 정선군 사북읍,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,주차장 - 주차장,승용,남,52세,상해없음,보행자,남,31세,경상
2018010100100297,2018년 1월 1일 17시,월요일,강원도 원주시 중앙동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,54세,상해없음,보행자,남,50세,경상
2018010200100032,2018년 1월 2일 04시,화요일,강원도 춘천시 퇴계동,중상사고,0,1,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,31세,상해없음,보행자,남,21세,경상
2018010200100087,2018년 1월 2일 08시,화요일,강원도 춘천시 후평동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,68세,상해없음,보행자,여,64세,중상
2018010200100172,2018년 1월 2일 11시,화요일,강원도 원주시 중앙동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,40세,상해없음,보행자,여,59세,경상
2018010200100255,2018년 1월 2일 14시,화요일,강원도 원주시 중앙동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 서리/결빙,맑음,단일로 - 기타,승용,남,38세,상해없음,보행자,여,57세,중상
2018010200100327,2018년 1월 2일 17시,화요일,강원도 원주시 무실동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,52세,상해없음,보행자,여,57세,경상
2018010300100317,2018년 1월 3일 17시,수요일,강원도 강릉시 노암동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,60세,상해없음,보행자,여,68세,중상
2018010400100147,2018년 1월 4일 10시,목요일,강원도 홍천군 홍천읍,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로안,화물,남,26세,상해없음,보행자,여,71세,중상
2018010400100312,2018년 1월 4일 17시,목요일,강원도 원주시 태장동,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,42세,상해없음,보행자,남,29세,중상
2018010400100402,2018년 1월 4일 20시,목요일,강원도 원주시 봉산동,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,39세,상해없음,보행자,여,55세,중상
2018010500100187,2018년 1월 5일 12시,금요일,강원도 속초시 교동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,41세,상해없음,보행자,여,27세,경상
2018010500100300,2018년 1월 5일 16시,금요일,강원도 고성군 토성면,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,보행자,여,73세,부상신고
2018010600100180,2018년 1월 6일 11시,토요일,강원도 강릉시 금학동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,55세,상해없음,보행자,여,79세,경상
2018010600100325,2018년 1월 6일 16시,토요일,강원도 원주시 흥업면,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 젖음/습기,흐림,단일로 - 기타,화물,남,81세,상해없음,보행자,여,63세,중상
2018010600100449,2018년 1월 6일 20시,토요일,강원도 속초시 조양동,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,52세,상해없음,보행자,남,60세,중상
2018010600100502,2018년 1월 6일 22시,토요일,강원도 춘천시 석사동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,주차장 - 주차장,승용,남,49세,상해없음,보행자,여,49세,경상
2018010600100503,2018년 1월 6일 22시,토요일,강원도 춘천시 효자동,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,40세,상해없음,보행자,여,18세,중상
2018010600100504,2018년 1월 6일 22시,토요일,강원도 강릉시 연곡면,경상사고,0,0,2,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,32세,상해없음,보행자,여,23세,경상
2018010700100234,2018년 1월 7일 17시,일요일,강원도 원주시 학성동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,48세,상해없음,보행자,남,83세,경상
2018010800100486,2018년 1월 8일 19시,월요일,강원도 속초시 영랑동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,60세,상해없음,보행자,남,64세,경상
2018010800100487,2018년 1월 8일 19시,월요일,강원도 홍천군 홍천읍,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,화물,여,46세,상해없음,보행자,여,81세,경상
2018010900100181,2018년 1월 9일 09시,화요일,강원도 삼척시 남양동,중상사고,0,1,0,0,차대사람 - 기타,보행자보호의무위반,포장 - 건조,맑음,기타 - 기타,화물,남,61세,상해없음,보행자,여,70세,중상
