사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2018010100100117,2018년 1월 1일 06시,월요일,광주광역시 서구 치평동,부상신고사고,0,0,0,2,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,26세,상해없음,보행자,남,24세,부상신고
2018010100100250,2018년 1월 1일 14시,월요일,광주광역시 북구 용봉동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,47세,상해없음,보행자,남,31세,경상
2018010100100305,2018년 1월 1일 17시,월요일,광주광역시 북구 운암동,중상사고,0,1,0,0,차대사람 - 보도통행중,신호위반,포장 - 건조,맑음,교차로 - 교차로안,원동기,남,24세,상해없음,보행자,남,66세,중상
2018010100100390,2018년 1월 1일 20시,월요일,광주광역시 광산구 신가동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,50세,상해없음,보행자,남,51세,중상
2018010200100075,2018년 1월 2일 07시,화요일,광주광역시 서구 쌍촌동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,보행자,여,17세,경상
2018010200100153,2018년 1월 2일 10시,화요일,광주광역시 서구 금호동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,화물,남,55세,상해없음,보행자,남,74세,중상
2018010200100185,2018년 1월 2일 11시,화요일,광주광역시 서구 광천동,사망사고,1,0,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,41세,상해없음,보행자,남,80세,사망
2018010200100390,2018년 1월 2일 18시,화요일,광주광역시 북구 오치동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,화물,남,58세,상해없음,보행자,남,61세,중상
2018010200100472,2018년 1월 2일 23시,화요일,광주광역시 북구 오치동,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,43세,상해없음,보행자,남,55세,중상
2018010300100004,2018년 1월 3일 00시,수요일,광주광역시 서구 금호동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,58세,상해없음,보행자,남,39세,경상
2018010300100073,2018년 1월 3일 07시,수요일,광주광역시 서구 화정동,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,기타 - 기타,기타불명,기타불명,미분류,기타불명,보행자,여,84세,중상
2018010300100102,2018년 1월 3일 08시,수요일,광주광역시 서구 치평동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,60세,상해없음,보행자,남,22세,경상
2018010300100270,2018년 1월 3일 15시,수요일,광주광역시 동구 호남동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,기타,단일로 - 기타,승용,남,19세,상해없음,보행자,남,29세,경상
2018010300100296,2018년 1월 3일 16시,수요일,광주광역시 동구 학동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,32세,상해없음,보행자,남,47세,중상
2018010300100297,2018년 1월 3일 16시,수요일,광주광역시 서구 치평동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,여,48세,상해없음,보행자,여,75세,중상
2018010300100331,2018년 1월 3일 17시,수요일,광주광역시 남구 봉선동,경상사고,0,0,2,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,58세,상해없음,보행자,여,13세,경상
2018010300100332,2018년 1월 3일 17시,수요일,광주광역시 북구 두암동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,65세,상해없음,보행자,여,59세,중상
2018010300100333,2018년 1월 3일 17시,수요일,광주광역시 북구 양산동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,특수,남,51세,상해없음,보행자,여,65세,경상
2018010300100407,2018년 1월 3일 19시,수요일,광주광역시 서구 치평동,경상사고,0,0,2,0,차대사람 - 기타,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,21세,상해없음,보행자,여,36세,경상
2018010300100408,2018년 1월 3일 19시,수요일,광주광역시 광산구 신가동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,31세,상해없음,보행자,남,40세,경상
2018010400100178,2018년 1월 4일 11시,목요일,광주광역시 북구 일곡동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,64세,상해없음,보행자,남,80세,경상
2018010400100267,2018년 1월 4일 15시,목요일,광주광역시 동구 동명동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,보행자,남,67세,중상
2018010400100386,2018년 1월 4일 19시,목요일,광주광역시 북구 문흥동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,53세,상해없음,보행자,여,88세,경상
2018010500100039,2018년 1월 5일 03시,금요일,광주광역시 동구 지산동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,38세,상해없음,보행자,여,80세,경상
2018010500100066,2018년 1월 5일 06시,금요일,광주광역시 서구 매월동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,화물,여,61세,상해없음,보행자,여,20세,경상
2018010500100348,2018년 1월 5일 17시,금요일,광주광역시 광산구 신창동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로부근,승합,남,35세,상해없음,보행자,여,12세,상해없음
2018010500100467,2018년 1월 5일 20시,금요일,광주광역시 동구 학동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,24세,상해없음,보행자,남,60세,경상
2018010600100016,2018년 1월 6일 00시,토요일,광주광역시 서구 치평동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,48세,상해없음,보행자,여,21세,경상
2018010700100031,2018년 1월 7일 01시,일요일,광주광역시 서구 풍암동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,56세,상해없음,보행자,남,32세,경상
2018010700100064,2018년 1월 7일 04시,일요일,광주광역시 광산구 월계동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,단일로 - 기타,승용,남,67세,상해없음,보행자,여,19세,경상
2018010700100313,2018년 1월 7일 20시,일요일,광주광역시 서구 쌍촌동,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 젖음/습기,비,단일로 - 기타,승용,남,36세,상해없음,보행자,남,50세,중상
2018010800100186,2018년 1월 8일 10시,월요일,광주광역시 북구 중흥동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 젖음/습기,비,교차로 - 교차로안,화물,남,51세,상해없음,보행자,남,13세,중상
2018010800100211,2018년 1월 8일 11시,월요일,광주광역시 광산구 신가동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 젖음/습기,비,교차로 - 교차로횡단보도내,승용,남,34세,상해없음,보행자,여,24세,중상
2018010800100536,2018년 1월 8일 20시,월요일,광주광역시 북구 삼각동,중상사고,0,1,0,0,차대사람 - 보도통행중,기타,포장 - 젖음/습기,비,단일로 - 기타,승합,남,68세,상해없음,보행자,여,78세,중상
2018010900100372,2018년 1월 9일 15시,화요일,광주광역시 서구 농성동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 젖음/습기,흐림,단일로 - 기타,승용,여,52세,상해없음,보행자,남,43세,경상
2018010900100564,2018년 1월 9일 20시,화요일,광주광역시 북구 용봉동,경상사고,0,0,1,0,차대사람 - 보도통행중,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,34세,상해없음,보행자,여,50세,경상
2018010900100594,2018년 1월 9일 21시,화요일,광주광역시 북구 용봉동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 젖음/습기,눈,교차로 - 교차로횡단보도내,승용,남,56세,상해없음,보행자,남,33세,경상
2018011000100133,2018년 1월 10일 08시,수요일,광주광역시 광산구 신가동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 적설,눈,교차로 - 교차로횡단보도내,승용,남,45세,상해없음,보행자,여,25세,경상
2018011000100422,2018년 1월 10일 16시,수요일,광주광역시 북구 일곡동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 기타,눈,기타 - 기타,승용,남,57세,상해없음,보행자,여,27세,경상
2018011000100612,2018년 1월 10일 20시,수요일,광주광역시 북구 오치동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 적설,눈,단일로 - 기타,승용,남,49세,상해없음,보행자,남,70세,경상
2018011100100520,2018년 1월 11일 19시,목요일,광주광역시 서구 내방동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 적설,눈,교차로 - 교차로횡단보도내,승용,남,31세,상해없음,보행자,남,63세,중상
