사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2018010100100118,2018년 1월 1일 06시,월요일,대전광역시 서구 탄방동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,21세,상해없음,보행자,남,60세,중상
2018010100100307,2018년 1월 1일 17시,월요일,대전광역시 서구 둔산동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,50세,상해없음,보행자,남,38세,경상
2018010100100391,2018년 1월 1일 20시,월요일,대전광역시 대덕구 비래동,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,53세,기타불명,보행자,남,35세,부상신고
2018010100100404,2018년 1월 1일 21시,월요일,대전광역시 대덕구 중리동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,77세,상해없음,보행자,여,58세,중상
2018010200100104,2018년 1월 2일 08시,화요일,대전광역시 중구 문화동,경상사고,0,0,1,0,차대사람 - 보도통행중,신호위반,포장 - 건조,흐림,단일로 - 기타,승합,남,59세,상해없음,보행자,남,17세,경상
2018010200100186,2018년 1월 2일 11시,화요일,대전광역시 서구 괴정동,경상사고,0,0,1,0,차대사람 - 기타,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,승용,여,43세,상해없음,보행자,여,68세,경상
2018010200100243,2018년 1월 2일 13시,화요일,대전광역시 서구 도마동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,45세,상해없음,보행자,여,65세,경상
2018010300100222,2018년 1월 3일 13시,수요일,대전광역시 서구 가수원동,중상사고,0,1,0,0,차대사람 - 보도통행중,안전운전불이행,포장 - 건조,맑음,기타 - 기타,화물,남,61세,상해없음,보행자,여,83세,중상
2018010300100382,2018년 1월 3일 18시,수요일,대전광역시 중구 옥계동,경상사고,0,0,1,0,차대사람 - 보도통행중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,59세,상해없음,보행자,남,68세,경상
2018010300100384,2018년 1월 3일 18시,수요일,대전광역시 서구 월평동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,57세,상해없음,보행자,남,75세,중상
