사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2018010100100070,2018년 1월 1일 03시,월요일,전라북도 전주시 완산구 효자동3가,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,51세,상해없음,보행자,남,41세,경상
2018010100100072,2018년 1월 1일 03시,월요일,전라북도 익산시 신동,경상사고,0,0,2,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,24세,상해없음,보행자,남,18세,경상
2018010100100262,2018년 1월 1일 15시,월요일,전라북도 전주시 완산구 전동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승합,남,55세,상해없음,보행자,여,78세,중상
2018010100100413,2018년 1월 1일 22시,월요일,전라북도 군산시 수송동,경상사고,0,0,2,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,45세,상해없음,보행자,남,31세,경상
2018010200100044,2018년 1월 2일 05시,화요일,전라북도 익산시 남중동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,59세,상해없음,보행자,여,73세,중상
2018010200100045,2018년 1월 2일 05시,화요일,전라북도 정읍시 태인면,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,42세,상해없음,보행자,여,67세,중상
2018010200100284,2018년 1월 2일 15시,화요일,전라북도 완주군 용진읍,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,48세,상해없음,보행자,남,83세,중상
2018010200100378,2018년 1월 2일 18시,화요일,전라북도 무주군 무주읍,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,51세,상해없음,보행자,남,58세,중상
2018010300100191,2018년 1월 3일 12시,수요일,전라북도 완주군 삼례읍,중상사고,0,1,1,0,차대사람 - 기타,중앙선침범,포장 - 건조,맑음,단일로 - 기타,승용,남,56세,경상,보행자,여,63세,중상
2018010300100366,2018년 1월 3일 18시,수요일,전라북도 전주시 완산구 효자동3가,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,남,19세,상해없음,보행자,남,51세,중상
2018010300100398,2018년 1월 3일 19시,수요일,전라북도 군산시 지곡동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,흐림,기타 - 기타,승용,남,47세,상해없음,보행자,여,39세,중상
2018010400100078,2018년 1월 4일 07시,목요일,전라북도 군산시 미장동,사망사고,1,0,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,34세,상해없음,보행자,여,76세,사망
2018010400100339,2018년 1월 4일 18시,목요일,전라북도 익산시 마동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,45세,상해없음,보행자,여,25세,중상
2018010400100378,2018년 1월 4일 19시,목요일,전라북도 익산시 춘포면,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,59세,상해없음,보행자,남,76세,중상
2018010400100406,2018년 1월 4일 20시,목요일,전라북도 전주시 완산구 효자동1가,사망사고,1,0,0,0,차대사람 - 횡단중,과속,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,47세,상해없음,보행자,남,78세,사망
2018010400100408,2018년 1월 4일 20시,목요일,전라북도 군산시 개정면,중상사고,0,1,0,0,차대사람 - 기타,중앙선침범,포장 - 건조,맑음,단일로 - 기타,승용,남,62세,상해없음,보행자,남,67세,중상
2018010500100074,2018년 1월 5일 07시,금요일,전라북도 김제시 서암동,사망사고,1,0,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,47세,상해없음,보행자,남,84세,사망
2018010500100166,2018년 1월 5일 11시,금요일,전라북도 군산시 수송동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,26세,상해없음,보행자,남,55세,경상
2018010500100483,2018년 1월 5일 21시,금요일,전라북도 전주시 완산구 효자동3가,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,36세,상해없음,보행자,남,42세,중상
2018010600100033,2018년 1월 6일 01시,토요일,전라북도 전주시 덕진구 덕진동1가,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,흐림,교차로 - 교차로안,승용,남,24세,상해없음,보행자,여,26세,경상
2018010600100183,2018년 1월 6일 11시,토요일,전라북도 김제시 요촌동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,48세,상해없음,보행자,남,79세,중상
2018010600100220,2018년 1월 6일 12시,토요일,전라북도 전주시 완산구 평화동1가,중상사고,0,1,0,0,차대사람 - 보도통행중,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,이륜,남,36세,상해없음,보행자,여,55세,중상
2018010600100330,2018년 1월 6일 16시,토요일,전라북도 전주시 완산구 평화동1가,경상사고,0,0,1,0,차대사람 - 보도통행중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,화물,남,47세,상해없음,보행자,여,75세,경상
2018010600100389,2018년 1월 6일 18시,토요일,전라북도 전주시 덕진구 인후동1가,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,남,46세,상해없음,보행자,남,15세,경상
2018010600100390,2018년 1월 6일 18시,토요일,전라북도 정읍시 태인면,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,남,44세,상해없음,보행자,남,69세,중상
2018010600100485,2018년 1월 6일 21시,토요일,전라북도 전주시 완산구 동완산동,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,여,52세,상해없음,보행자,남,61세,중상
2018010700100009,2018년 1월 7일 00시,일요일,전라북도 익산시 부송동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,22세,기타불명,보행자,여,20세,경상
2018010700100259,2018년 1월 7일 18시,일요일,전라북도 익산시 부송동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,47세,상해없음,보행자,남,71세,중상
2018010700100260,2018년 1월 7일 18시,일요일,전라북도 정읍시 상동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,흐림,교차로 - 교차로안,승용,남,58세,상해없음,보행자,남,50세,중상
2018010700100343,2018년 1월 7일 22시,일요일,전라북도 전주시 완산구 중화산동2가,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 젖음/습기,흐림,단일로 - 기타,승용,여,39세,상해없음,보행자,여,83세,중상
2018010800100010,2018년 1월 8일 00시,월요일,전라북도 정읍시 수성동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,흐림,교차로 - 교차로안,승용,남,76세,상해없음,보행자,남,55세,경상
2018010800100203,2018년 1월 8일 11시,월요일,전라북도 익산시 동산동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 젖음/습기,맑음,단일로 - 기타,화물,남,36세,상해없음,보행자,남,56세,경상
2018010800100388,2018년 1월 8일 17시,월요일,전라북도 전주시 완산구 평화동1가,경상사고,0,0,1,0,차대사람 - 보도통행중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,승용,여,49세,상해없음,보행자,남,50세,경상
2018010800100438,2018년 1월 8일 18시,월요일,전라북도 전주시 덕진구 인후동1가,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 젖음/습기,비,교차로 - 교차로안,승용,남,28세,상해없음,보행자,여,67세,중상
2018010800100439,2018년 1월 8일 18시,월요일,전라북도 김제시 요촌동,경상사고,0,0,2,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 젖음/습기,비,교차로 - 교차로횡단보도내,화물,남,60세,상해없음,보행자,여,74세,경상
2018010800100490,2018년 1월 8일 19시,월요일,전라북도 전주시 덕진구 반월동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 젖음/습기,비,교차로 - 교차로안,승용,남,52세,상해없음,보행자,여,80세,중상
2018010800100527,2018년 1월 8일 20시,월요일,전라북도 전주시 완산구 서노송동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 젖음/습기,흐림,단일로 - 기타,이륜,남,69세,상해없음,보행자,남,69세,경상
2018010900100562,2018년 1월 9일 20시,화요일,전라북도 전주시 덕진구 우아동2가,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,43세,기타불명,보행자,여,48세,경상
2018010900100585,2018년 1월 9일 21시,화요일,전라북도 군산시 소룡동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 적설,눈,교차로 - 교차로안,승용,남,62세,상해없음,보행자,남,48세,경상
2018011000100012,2018년 1월 10일 00시,수요일,전라북도 익산시 모현동1가,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,34세,상해없음,보행자,남,62세,중상
2018011000100157,2018년 1월 10일 09시,수요일,전라북도 고창군 아산면,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 적설,눈,단일로 - 기타,승합,남,66세,상해없음,보행자,남,79세,중상
2018011000100229,2018년 1월 10일 11시,수요일,전라북도 전주시 완산구 고사동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 적설,눈,단일로 - 기타,기타불명,기타불명,미분류,기타불명,보행자,남,66세,경상
2018011000100259,2018년 1월 10일 12시,수요일,전라북도 남원시 동충동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,72세,상해없음,보행자,여,9세,경상
2018011000100372,2018년 1월 10일 15시,수요일,전라북도 부안군 백산면,중상사고,0,2,1,0,차대사람 - 기타,안전운전불이행,포장 - 적설,눈,단일로 - 기타,승용,남,56세,상해없음,보행자,여,48세,경상
2018011100100133,2018년 1월 11일 08시,목요일,전라북도 익산시 신동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,승용,남,37세,상해없음,보행자,여,72세,중상
2018011100100306,2018년 1월 11일 13시,목요일,전라북도 고창군 고창읍,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 젖음/습기,눈,교차로 - 교차로부근,승용,여,51세,상해없음,보행자,여,64세,경상
2018011100100506,2018년 1월 11일 19시,목요일,전라북도 정읍시 수성동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 적설,눈,단일로 - 기타,승용,남,59세,상해없음,보행자,여,26세,경상
2018011100100637,2018년 1월 11일 23시,목요일,전라북도 군산시 수송동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 적설,눈,교차로 - 교차로안,승용,남,35세,상해없음,보행자,여,29세,경상
2018011200100339,2018년 1월 12일 13시,금요일,전라북도 전주시 덕진구 우아동3가,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,51세,상해없음,보행자,남,55세,경상
2018011200100654,2018년 1월 12일 21시,금요일,전라북도 전주시 덕진구 덕진동1가,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승합,남,49세,상해없음,보행자,남,27세,경상
2018011200100713,2018년 1월 12일 23시,금요일,전라북도 김제시 신풍동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,29세,상해없음,보행자,여,43세,경상
2018011300100026,2018년 1월 13일 00시,토요일,전라북도 전주시 완산구 효자동1가,사망사고,1,0,0,0,차대사람 - 횡단중,과속,포장 - 건조,맑음,교차로 - 교차로안,승용,남,56세,상해없음,보행자,남,42세,사망
2018011300100332,2018년 1월 13일 16시,토요일,전라북도 전주시 완산구 다가동4가,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 서리/결빙,맑음,단일로 - 기타,승용,남,26세,상해없음,보행자,여,34세,경상
2018011400100070,2018년 1월 14일 03시,일요일,전라북도 익산시 부송동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,53세,상해없음,보행자,남,19세,중상
2018011500100105,2018년 1월 15일 07시,월요일,전라북도 전주시 완산구 서신동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,기타불명,기타불명,미분류,기타불명,보행자,여,61세,경상
2018011500100138,2018년 1월 15일 08시,월요일,전라북도 익산시 창인동1가,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,56세,상해없음,보행자,남,23세,경상
2018011500100204,2018년 1월 15일 10시,월요일,전라북도 임실군 청웅면,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,57세,상해없음,보행자,남,89세,경상
2018011500100407,2018년 1월 15일 16시,월요일,전라북도 전주시 완산구 서노송동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,62세,상해없음,보행자,여,70세,중상
2018011500100409,2018년 1월 15일 16시,월요일,전라북도 익산시 어양동,경상사고,0,0,1,0,차대사람 - 횡단중,중앙선침범,포장 - 건조,맑음,교차로 - 교차로부근,이륜,남,28세,상해없음,보행자,여,47세,경상
2018011600100325,2018년 1월 16일 16시,화요일,전라북도 군산시 소룡동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 젖음/습기,비,단일로 - 기타,승용,여,30세,상해없음,보행자,여,69세,중상
2018011600100348,2018년 1월 16일 17시,화요일,전라북도 전주시 완산구 중화산동1가,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,57세,상해없음,보행자,남,63세,경상
2018011600100394,2018년 1월 16일 18시,화요일,전라북도 익산시 인화동1가,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 젖음/습기,비,단일로 - 기타,승용,남,32세,상해없음,보행자,여,57세,경상
2018011600100439,2018년 1월 16일 19시,화요일,전라북도 전주시 완산구 평화동2가,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 젖음/습기,비,교차로 - 교차로안,승합,남,53세,상해없음,보행자,여,71세,중상
2018011600100509,2018년 1월 16일 21시,화요일,전라북도 전주시 완산구 효자동2가,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 젖음/습기,비,단일로 - 기타,승용,여,40세,상해없음,보행자,남,49세,경상
2018011600100510,2018년 1월 16일 21시,화요일,전라북도 정읍시 연지동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 젖음/습기,비,교차로 - 교차로안,승용,남,64세,상해없음,보행자,남,59세,중상
2018011600100564,2018년 1월 16일 23시,화요일,전라북도 전주시 완산구 평화동1가,중상사고,0,1,0,0,차대사람 - 기타,불법유턴,포장 - 젖음/습기,흐림,단일로 - 기타,승용,남,59세,기타불명,보행자,남,54세,중상
2018011700100138,2018년 1월 17일 07시,수요일,전라북도 익산시 모현동2가,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 젖음/습기,비,교차로 - 교차로안,화물,남,81세,상해없음,보행자,여,54세,경상
2018011700100423,2018년 1월 17일 17시,수요일,전라북도 전주시 덕진구 동산동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,43세,상해없음,보행자,여,56세,경상
2018011700100466,2018년 1월 17일 18시,수요일,전라북도 전주시 덕진구 송천동1가,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,50세,상해없음,보행자,남,48세,경상
2018011700100557,2018년 1월 17일 20시,수요일,전라북도 전주시 덕진구 덕진동2가,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,61세,상해없음,보행자,남,47세,중상
2018011700100593,2018년 1월 17일 21시,수요일,전라북도 군산시 수송동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,53세,상해없음,보행자,남,51세,경상
2018011800100081,2018년 1월 18일 06시,목요일,전라북도 진안군 진안읍,사망사고,1,0,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 젖음/습기,안개,단일로 - 기타,화물,남,57세,상해없음,보행자,남,76세,사망
2018011800100226,2018년 1월 18일 11시,목요일,전라북도 김제시 신풍동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,45세,상해없음,보행자,남,75세,경상
2018011800100318,2018년 1월 18일 15시,목요일,전라북도 정읍시 수성동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,42세,상해없음,보행자,여,67세,중상
2018011800100410,2018년 1월 18일 18시,목요일,전라북도 익산시 남중동,사망사고,1,0,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,72세,기타불명,보행자,여,79세,사망
2018011900100105,2018년 1월 19일 07시,금요일,전라북도 익산시 남중동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,51세,상해없음,보행자,여,65세,중상
2018011900100434,2018년 1월 19일 18시,금요일,전라북도 전주시 완산구 평화동1가,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,여,28세,상해없음,보행자,여,54세,중상
2018011900100437,2018년 1월 19일 18시,금요일,전라북도 완주군 용진읍,부상신고사고,0,0,0,1,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 교량,기타불명,기타불명,미분류,기타불명,보행자,남,68세,부상신고
2018011900100478,2018년 1월 19일 19시,금요일,전라북도 정읍시 농소동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,화물,남,41세,상해없음,보행자,여,42세,중상
2018011900100527,2018년 1월 19일 20시,금요일,전라북도 무주군 설천면,사망사고,1,0,0,0,차대사람 - 횡단중,과속,포장 - 건조,맑음,단일로 - 지하차도(도로)내,승용,남,46세,상해없음,보행자,남,67세,사망
2018012000100114,2018년 1월 20일 06시,토요일,전라북도 전주시 덕진구 송천동2가,중상사고,0,1,0,0,차대사람 - 차도통행중,중앙선침범,포장 - 건조,맑음,단일로 - 기타,승용,여,52세,상해없음,보행자,여,53세,중상
2018012000100115,2018년 1월 20일 06시,토요일,전라북도 김제시 요촌동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,여,52세,상해없음,보행자,남,59세,경상
2018012000100335,2018년 1월 20일 16시,토요일,전라북도 정읍시 시기동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,77세,상해없음,보행자,남,65세,경상
2018012000100399,2018년 1월 20일 18시,토요일,전라북도 전주시 덕진구 인후동1가,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,34세,상해없음,보행자,여,80세,중상
2018012000100400,2018년 1월 20일 18시,토요일,전라북도 정읍시 수성동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,27세,상해없음,보행자,여,46세,중상
