사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2018010100100030,2018년 1월 1일 01시,월요일,충청북도 제천시 송학면,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 서리/결빙,흐림,단일로 - 기타,화물,남,64세,상해없음,보행자,여,90세 이상,경상
2018010100100398,2018년 1월 1일 21시,월요일,충청북도 청주시 청원구 내덕동,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,59세,상해없음,보행자,여,43세,중상
2018010200100042,2018년 1월 2일 05시,화요일,충청북도 옥천군 이원면,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,57세,상해없음,보행자,남,17세,중상
2018010200100052,2018년 1월 2일 06시,화요일,충청북도 청주시 청원구 내덕동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,78세,상해없음,보행자,여,80세,경상
2018010200100089,2018년 1월 2일 08시,화요일,충청북도 청주시 청원구 율량동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승합,여,44세,상해없음,보행자,남,77세,경상
2018010200100227,2018년 1월 2일 13시,화요일,충청북도 충주시 교현동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,51세,상해없음,보행자,여,85세,경상
2018010300100062,2018년 1월 3일 07시,수요일,충청북도 청주시 청원구 오창읍,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,화물,남,38세,상해없음,보행자,여,55세,중상
2018010300100115,2018년 1월 3일 09시,수요일,충청북도 음성군 감곡면,중상사고,0,1,0,0,차대사람 - 기타,기타,포장 - 건조,맑음,교차로 - 교차로부근,승합,남,49세,상해없음,보행자,여,83세,중상
2018010300100187,2018년 1월 3일 12시,수요일,충청북도 충주시 연수동,경상사고,0,0,1,0,차대사람 - 기타,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,29세,상해없음,보행자,남,20세,경상
2018010300100235,2018년 1월 3일 14시,수요일,충청북도 제천시 의림동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,흐림,단일로 - 지하차도(도로)내,승용,남,23세,상해없음,보행자,여,8세,경상
2018010300100321,2018년 1월 3일 17시,수요일,충청북도 충주시 성서동,중상사고,0,1,0,1,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,16세,부상신고,보행자,남,53세,중상
2018010300100354,2018년 1월 3일 18시,수요일,충청북도 충주시 봉방동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,44세,상해없음,보행자,여,83세,중상
2018010300100426,2018년 1월 3일 20시,수요일,충청북도 청주시 청원구 율량동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,51세,상해없음,보행자,남,39세,경상
2018010300100465,2018년 1월 3일 22시,수요일,충청북도 청주시 흥덕구 복대동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승합,남,63세,상해없음,보행자,여,22세,중상
2018010400100166,2018년 1월 4일 11시,목요일,충청북도 영동군 용산면,중상사고,0,1,0,0,차대사람 - 횡단중,기타,포장 - 건조,맑음,교차로 - 교차로안,승용,여,57세,상해없음,보행자,남,83세,중상
2018010400100218,2018년 1월 4일 13시,목요일,충청북도 청주시 청원구 율량동,경상사고,0,0,1,0,차대사람 - 기타,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,42세,상해없음,보행자,남,8세,경상
2018010400100404,2018년 1월 4일 20시,목요일,충청북도 음성군 감곡면,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,68세,상해없음,보행자,여,50세,중상
2018010500100060,2018년 1월 5일 06시,금요일,충청북도 청주시 서원구 사직동,경상사고,0,0,1,0,차대사람 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,72세,상해없음,보행자,남,40세,경상
2018010500100327,2018년 1월 5일 17시,금요일,충청북도 제천시 화산동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,흐림,교차로 - 교차로안,승용,남,31세,상해없음,보행자,여,74세,중상
2018010500100371,2018년 1월 5일 18시,금요일,충청북도 충주시 성서동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,43세,상해없음,보행자,남,34세,경상
2018010500100372,2018년 1월 5일 18시,금요일,충청북도 청주시 상당구 용암동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로안,화물,남,61세,상해없음,보행자,남,10세,경상
2018010600100100,2018년 1월 6일 07시,토요일,충청북도 충주시 봉방동,경상사고,0,0,1,0,차대사람 - 기타,직진우회전진행방해,포장 - 건조,맑음,교차로 - 교차로안,승용,남,59세,상해없음,보행자,남,68세,경상
2018010600100139,2018년 1월 6일 09시,토요일,충청북도 충주시 교현동,경상사고,0,0,1,0,차대사람 - 기타,기타,포장 - 건조,맑음,단일로 - 기타,승용,남,58세,상해없음,보행자,여,18세,경상
