사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021010100100167,2021년 1월 1일 18시,금요일,충청남도 논산시 반월동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 서리/결빙,맑음,교차로 - 교차로안,화물,남,34세,기타불명,보행자,여,55세,중상
2021010100100252,2021년 1월 1일 22시,금요일,충청남도 천안시 서북구 직산읍,사망사고,1,0,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,28세,상해없음,보행자,여,88세,사망
2021010200100024,2021년 1월 2일 06시,토요일,충청남도 아산시 신창면,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,44세,상해없음,보행자,남,80세,중상
2021010200100154,2021년 1월 2일 13시,토요일,충청남도 당진시 읍내동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,45세,상해없음,보행자,여,60세,중상
2021010300100019,2021년 1월 3일 03시,일요일,충청남도 아산시 온천동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,남,44세,상해없음,보행자,여,36세,경상
2021010400100035,2021년 1월 4일 07시,월요일,충청남도 천안시 서북구 두정동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승합,남,69세,상해없음,보행자,여,62세,중상
2021010400100159,2021년 1월 4일 13시,월요일,충청남도 논산시 내동,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,흐림,교차로 - 교차로안,승용,여,43세,상해없음,보행자,남,62세,중상
2021010400100236,2021년 1월 4일 16시,월요일,충청남도 천안시 동남구 원성동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,70세,상해없음,보행자,남,46세,경상
2021010400100309,2021년 1월 4일 18시,월요일,충청남도 천안시 서북구 성정동,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,64세,상해없음,보행자,여,62세,중상
2021010400100355,2021년 1월 4일 19시,월요일,충청남도 천안시 서북구 불당동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,화물,남,37세,상해없음,보행자,남,28세,경상
