사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021010200100153,2021년 1월 2일 13시,토요일,충청북도 음성군 대소면,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,27세,상해없음,보행자,남,67세,경상
2021010200100331,2021년 1월 2일 19시,토요일,충청북도 충주시 교현동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,65세,상해없음,보행자,여,56세,경상
2021010200100333,2021년 1월 2일 19시,토요일,충청북도 청주시 서원구 산남동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,44세,상해없음,보행자,남,18세,경상
2021010300100185,2021년 1월 3일 19시,일요일,충청북도 청주시 서원구 사창동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,26세,상해없음,보행자,남,21세,경상
2021010300100207,2021년 1월 3일 20시,일요일,충청북도 충주시 대소원면,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,26세,상해없음,보행자,남,55세,중상
2021010300100227,2021년 1월 3일 21시,일요일,충청북도 청주시 서원구 사창동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,기타불명,기타불명,미분류,기타불명,보행자,남,18세,경상
2021010400100269,2021년 1월 4일 17시,월요일,충청북도 청주시 서원구 개신동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 젖음/습기,맑음,단일로 - 기타,승용,남,45세,상해없음,보행자,남,18세,경상
2021010400100354,2021년 1월 4일 19시,월요일,충청북도 청주시 서원구 분평동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,26세,상해없음,보행자,남,12세,경상
2021010500100029,2021년 1월 5일 07시,화요일,충청북도 옥천군 이원면,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,화물,남,68세,상해없음,보행자,남,63세,중상
2021010500100316,2021년 1월 5일 18시,화요일,충청북도 진천군 진천읍,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,주차장 - 주차장,승용,남,46세,상해없음,보행자,여,59세,중상
2021010600100060,2021년 1월 6일 07시,수요일,충청북도 음성군 음성읍,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,51세,상해없음,보행자,여,53세,중상
2021010600100188,2021년 1월 6일 13시,수요일,충청북도 충주시 연수동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,61세,상해없음,보행자,여,64세,경상
2021010600100414,2021년 1월 6일 19시,수요일,충청북도 영동군 영동읍,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,62세,상해없음,보행자,여,43세,경상
2021010700100063,2021년 1월 7일 08시,목요일,충청북도 청주시 흥덕구 향정동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 적설,눈,교차로 - 교차로횡단보도내,기타불명,기타불명,미분류,기타불명,보행자,여,61세,중상
2021010700100112,2021년 1월 7일 10시,목요일,충청북도 충주시 충의동,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,39세,상해없음,보행자,여,65세,중상
2021010700100155,2021년 1월 7일 12시,목요일,충청북도 청주시 서원구 수곡동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승합,여,44세,상해없음,보행자,여,66세,경상
2021010700100285,2021년 1월 7일 17시,목요일,충청북도 음성군 음성읍,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,44세,상해없음,보행자,남,34세,중상
2021010800100177,2021년 1월 8일 13시,금요일,충청북도 음성군 원남면,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,미분류 - 미분류,승용,남,76세,상해없음,보행자,남,45세,경상
2021010800100178,2021년 1월 8일 13시,금요일,충청북도 청주시 상당구 금천동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 젖음/습기,맑음,교차로 - 교차로안,승용,남,54세,상해없음,보행자,남,52세,경상
2021010800100354,2021년 1월 8일 18시,금요일,충청북도 청주시 청원구 율량동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,37세,상해없음,보행자,남,43세,경상
2021010800100437,2021년 1월 8일 20시,금요일,충청북도 제천시 장락동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 서리/결빙,맑음,교차로 - 교차로안,승용,여,31세,상해없음,보행자,여,67세,중상
2021010900100042,2021년 1월 9일 08시,토요일,충청북도 청주시 흥덕구 가경동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,60세,상해없음,보행자,여,34세,중상
2021010900100215,2021년 1월 9일 14시,토요일,충청북도 청주시 흥덕구 가경동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,44세,상해없음,보행자,여,71세,중상
2021011000100104,2021년 1월 10일 13시,일요일,충청북도 청주시 상당구 수동,경상사고,0,0,1,0,차대사람 - 기타,중앙선침범,포장 - 건조,맑음,단일로 - 기타,승용,여,66세,상해없음,보행자,남,34세,경상
